# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.0514566119542
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.96702645
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:05:50
# Scan.end_time: 02/22/2022  16:06:14
# Scan.duration: 00:24
# Scan.transient_id: 197195
# Scan.uid: e1771692-2bfa-4124-830c-4338f02609c7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.614829e-05 -2.110251e-06 -3.298557e-07 -6.693956e-09 -1.260332e-04 -1.074272e-04 -2.067895e-05 -1.025246e-04
 7614.000000 -2.379248e-05 -3.119695e-06 -4.885004e-07 -9.887070e-09 -1.842291e-04 -1.582901e-04 -2.866238e-05 -1.487022e-04
 7619.000000 -2.391198e-05 -3.151288e-06 -4.944224e-07 -9.972261e-09 -1.850162e-04 -1.678677e-04 -3.168494e-05 -1.466763e-04
 7624.000000 -2.401598e-05 -3.183091e-06 -5.002638e-07 -1.003632e-08 -1.911399e-04 -1.720867e-04 -2.450699e-05 -1.450679e-04
 7629.000000 -2.400174e-05 -3.195499e-06 -5.032999e-07 -1.005522e-08 -1.942237e-04 -1.651347e-04 -2.619229e-05 -1.516291e-04
 7634.000000 -2.403590e-05 -3.215481e-06 -5.074861e-07 -1.009590e-08 -1.943468e-04 -1.691779e-04 -2.851982e-05 -1.498162e-04
 7639.000000 -2.403295e-05 -3.229308e-06 -5.106452e-07 -1.012934e-08 -1.864112e-04 -1.692955e-04 -2.495283e-05 -1.487404e-04
 7644.000000 -2.418742e-05 -3.268658e-06 -5.177593e-07 -1.020697e-08 -1.820195e-04 -1.708309e-04 -2.399284e-05 -1.420372e-04
 7649.000000 -2.426254e-05 -3.295670e-06 -5.230439e-07 -1.026620e-08 -1.820932e-04 -1.716378e-04 -2.801097e-05 -1.378151e-04
 7654.000000 -2.424864e-05 -3.309341e-06 -5.261167e-07 -1.028648e-08 -1.801012e-04 -1.740726e-04 -2.740904e-05 -1.463330e-04
 7659.000000 -2.429703e-05 -3.331147e-06 -5.304930e-07 -1.033919e-08 -1.768470e-04 -1.749247e-04 -2.357134e-05 -1.433536e-04
 7664.000000 -2.426724e-05 -3.345413e-06 -5.339533e-07 -1.036893e-08 -1.709634e-04 -1.792466e-04 -2.989358e-05 -1.421794e-04
 7669.000000 -2.426517e-05 -3.361428e-06 -5.372556e-07 -1.040889e-08 -1.699694e-04 -1.852126e-04 -2.895166e-05 -1.416998e-04
 7674.000000 -2.430744e-05 -3.383059e-06 -5.414235e-07 -1.045954e-08 -1.791883e-04 -1.784134e-04 -3.640117e-05 -1.474900e-04
 7679.000000 -2.438334e-05 -3.410395e-06 -5.463611e-07 -1.052559e-08 -1.906935e-04 -1.715896e-04 -4.511042e-05 -1.612698e-04
 7683.000000 -2.444142e-05 -3.431928e-06 -5.502214e-07 -1.057958e-08 -1.901995e-04 -1.660153e-04 -3.231259e-05 -1.687384e-04
 7686.000000 -2.444779e-05 -3.441517e-06 -5.519326e-07 -1.060160e-08 -1.889477e-04 -1.560910e-04 -3.791772e-05 -1.669550e-04
 7688.000000 -2.438748e-05 -3.437528e-06 -5.514325e-07 -1.058892e-08 -1.886863e-04 -1.589197e-04 -4.030972e-05 -1.553326e-04
 7689.000000 -2.448974e-05 -3.459436e-06 -5.548858e-07 -1.065179e-08 -1.844631e-04 -1.605090e-04 -3.931257e-05 -1.561982e-04
 7689.200000 -2.451034e-05 -3.463533e-06 -5.555292e-07 -1.064758e-08 -1.805198e-04 -1.604011e-04 -4.214922e-05 -1.511261e-04
 7689.400000 -2.450702e-05 -3.463464e-06 -5.554498e-07 -1.063850e-08 -1.893198e-04 -1.584879e-04 -3.603944e-05 -1.501743e-04
 7689.600000 -2.448598e-05 -3.461720e-06 -5.552515e-07 -1.062336e-08 -1.859901e-04 -1.568582e-04 -3.535016e-05 -1.507738e-04
 7689.800000 -2.444234e-05 -3.455754e-06 -5.544142e-07 -1.061484e-08 -1.868796e-04 -1.639004e-04 -3.738020e-05 -1.483068e-04
 7690.000000 -2.439515e-05 -3.447285e-06 -5.531182e-07 -1.065390e-08 -1.879788e-04 -1.599018e-04 -4.139504e-05 -1.485063e-04
 7690.200000 -2.440439e-05 -3.449538e-06 -5.533513e-07 -1.063890e-08 -1.824942e-04 -1.499670e-04 -3.703256e-05 -1.566992e-04
 7690.400000 -2.438373e-05 -3.447407e-06 -5.532440e-07 -1.061442e-08 -1.837375e-04 -1.589931e-04 -5.371502e-05 -1.611705e-04
 7690.600000 -2.437609e-05 -3.446178e-06 -5.531531e-07 -1.061904e-08 -1.832327e-04 -1.529594e-04 -3.784599e-05 -1.518571e-04
 7690.800000 -2.428839e-05 -3.430905e-06 -5.505481e-07 -1.058596e-08 -1.910765e-04 -1.541453e-04 -3.115223e-05 -1.462186e-04
 7691.000000 -2.430296e-05 -3.433201e-06 -5.507464e-07 -1.058657e-08 -1.923202e-04 -1.567279e-04 -2.979814e-05 -1.500458e-04
 7691.200000 -2.417054e-05 -3.413433e-06 -5.477441e-07 -1.051797e-08 -1.958445e-04 -1.534474e-04 -3.594941e-05 -1.509958e-04
 7691.400000 -2.423937e-05 -3.424936e-06 -5.496847e-07 -1.055525e-08 -2.035165e-04 -1.448327e-04 -4.610037e-05 -1.511813e-04
 7691.600000 -2.408784e-05 -3.401127e-06 -5.458102e-07 -1.050416e-08 -2.092038e-04 -1.440379e-04 -3.813498e-05 -1.643895e-04
 7691.800000 -2.420769e-05 -3.420863e-06 -5.490391e-07 -1.053029e-08 -1.989093e-04 -1.496691e-04 -3.983520e-05 -1.612270e-04
 7692.000000 -2.413015e-05 -3.407608e-06 -5.468688e-07 -1.050294e-08 -2.014962e-04 -1.443338e-04 -2.865619e-05 -1.504828e-04
 7692.200000 -2.422579e-05 -3.423794e-06 -5.492571e-07 -1.056023e-08 -2.009120e-04 -1.457609e-04 -3.898100e-05 -1.501398e-04
 7692.400000 -2.429928e-05 -3.436444e-06 -5.512575e-07 -1.057991e-08 -2.003288e-04 -1.421325e-04 -4.034677e-05 -1.493370e-04
