# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 401.21136903700864
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.9669883029999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:22:45
# Scan.end_time: 02/22/2022  16:23:11
# Scan.duration: 00:25
# Scan.transient_id: 197225
# Scan.uid: 8cc993b6-ee67-488c-b274-6221bfe080e2
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.319148e-06 -4.220068e-07 -3.275285e-08 -7.795410e-11 -1.269446e-04 -1.314701e-04 -2.863636e-05 -7.383565e-05
 6444.000000 -1.259548e-05 -6.429688e-07 -5.005418e-08 -1.208840e-10 -1.964217e-04 -2.015026e-04 -4.384606e-05 -1.058400e-04
 6449.000000 -1.268026e-05 -6.526129e-07 -5.101110e-08 -1.242440e-10 -2.004641e-04 -1.973527e-04 -5.266801e-05 -9.870591e-05
 6454.000000 -1.270049e-05 -6.592434e-07 -5.170749e-08 -1.242255e-10 -2.051871e-04 -1.980378e-04 -5.437949e-05 -9.886718e-05
 6459.000000 -1.278860e-05 -6.686535e-07 -5.271699e-08 -1.281251e-10 -2.050558e-04 -1.978802e-04 -5.159049e-05 -1.061721e-04
 6464.000000 -1.284294e-05 -6.772756e-07 -5.356911e-08 -1.276088e-10 -1.974008e-04 -1.915462e-04 -4.666024e-05 -1.032413e-04
 6469.000000 -1.287608e-05 -6.847079e-07 -5.437781e-08 -1.295941e-10 -1.921489e-04 -1.947012e-04 -5.043485e-05 -1.092816e-04
 6474.000000 -1.296718e-05 -6.947622e-07 -5.540508e-08 -1.352894e-10 -1.880317e-04 -1.888466e-04 -5.897059e-05 -1.054737e-04
 6479.000000 -1.304601e-05 -7.037076e-07 -5.635315e-08 -1.407777e-10 -1.819566e-04 -2.024768e-04 -5.090163e-05 -1.043813e-04
 6484.000000 -1.310692e-05 -7.125841e-07 -5.724506e-08 -1.381994e-10 -1.888191e-04 -1.980798e-04 -4.783597e-05 -1.051005e-04
 6489.000000 -1.316548e-05 -7.216954e-07 -5.822768e-08 -1.436397e-10 -1.946720e-04 -1.981471e-04 -5.732421e-05 -1.051531e-04
 6494.000000 -1.322623e-05 -7.304909e-07 -5.920678e-08 -1.480188e-10 -1.976285e-04 -1.927434e-04 -6.457510e-05 -1.059901e-04
 6499.000000 -1.329286e-05 -7.391377e-07 -6.007337e-08 -1.549948e-10 -2.002307e-04 -1.958884e-04 -6.090400e-05 -1.037266e-04
 6504.000000 -1.336690e-05 -7.484175e-07 -6.107180e-08 -1.597378e-10 -1.987022e-04 -1.924369e-04 -5.508069e-05 -9.443576e-05
 6509.000000 -1.340701e-05 -7.562608e-07 -6.193738e-08 -1.634624e-10 -1.973259e-04 -1.877566e-04 -5.236971e-05 -9.648844e-05
 6513.000000 -1.335139e-05 -7.584733e-07 -6.231125e-08 -1.645460e-10 -1.972165e-04 -1.898092e-04 -4.903754e-05 -9.829588e-05
 6516.000000 -1.349632e-05 -7.697929e-07 -6.334515e-08 -1.712770e-10 -1.965669e-04 -1.888617e-04 -4.379694e-05 -1.029086e-04
 6518.000000 -1.354091e-05 -7.746678e-07 -6.388474e-08 -1.761776e-10 -1.896489e-04 -1.951982e-04 -4.848792e-05 -1.039818e-04
 6519.000000 -1.354002e-05 -7.753385e-07 -6.403228e-08 -1.834487e-10 -1.823923e-04 -1.932379e-04 -5.431488e-05 -1.036941e-04
 6519.200000 -1.353400e-05 -7.745846e-07 -6.395911e-08 -1.855678e-10 -1.788933e-04 -1.912468e-04 -6.357746e-05 -1.106522e-04
 6519.400000 -1.355481e-05 -7.765932e-07 -6.415057e-08 -1.815618e-10 -1.745824e-04 -1.935540e-04 -4.578001e-05 -1.066058e-04
 6519.600000 -1.354416e-05 -7.758718e-07 -6.408074e-08 -1.853113e-10 -1.809756e-04 -1.850623e-04 -3.674353e-05 -1.032090e-04
