# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.03882979356604
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.96702645
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:49:09
# Scan.end_time: 02/22/2022  15:49:31
# Scan.duration: 00:22
# Scan.transient_id: 197165
# Scan.uid: e8537193-ae12-4a0e-bffb-ea012669a00b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.917000e-05 -3.439699e-06 -2.097417e-07 -2.401848e-08 -1.320074e-04 -1.528566e-04 -1.827449e-05 -8.982846e-05
 8238.000000 -2.750481e-05 -4.950942e-06 -3.023959e-07 -3.455836e-08 -1.858413e-04 -2.136924e-04 -4.095771e-05 -1.244128e-04
 8243.000000 -2.757364e-05 -4.982105e-06 -3.046253e-07 -3.476067e-08 -1.853419e-04 -2.057054e-04 -4.859854e-05 -1.228840e-04
 8248.000000 -2.749916e-05 -4.985983e-06 -3.049873e-07 -3.473186e-08 -1.861824e-04 -2.128010e-04 -4.010135e-05 -1.227615e-04
 8253.000000 -2.745562e-05 -4.997435e-06 -3.056060e-07 -3.476968e-08 -1.794357e-04 -2.141079e-04 -2.643848e-05 -1.193919e-04
 8258.000000 -2.763667e-05 -5.057115e-06 -3.091310e-07 -3.509530e-08 -1.743856e-04 -2.098270e-04 -3.251667e-05 -1.219564e-04
 8263.000000 -2.773000e-05 -5.097066e-06 -3.117560e-07 -3.530367e-08 -1.739367e-04 -2.129275e-04 -3.819079e-05 -1.214191e-04
 8268.000000 -2.768264e-05 -5.107856e-06 -3.131100e-07 -3.534636e-08 -1.703616e-04 -2.160597e-04 -4.786046e-05 -1.171832e-04
 8273.000000 -2.764533e-05 -5.121315e-06 -3.152248e-07 -3.540951e-08 -1.673661e-04 -2.190523e-04 -4.513798e-05 -1.136978e-04
 8278.000000 -2.766132e-05 -5.147246e-06 -3.184600e-07 -3.557111e-08 -1.695000e-04 -2.188929e-04 -4.860359e-05 -1.060817e-04
 8283.000000 -2.773010e-05 -5.182376e-06 -3.224049e-07 -3.579818e-08 -1.724948e-04 -2.210740e-04 -5.161971e-05 -1.088935e-04
 8288.000000 -2.773564e-05 -5.201651e-06 -3.252649e-07 -3.596012e-08 -1.846489e-04 -2.111716e-04 -5.131680e-05 -1.125442e-04
 8293.000000 -2.774890e-05 -5.221439e-06 -3.281169e-07 -3.616057e-08 -1.875118e-04 -2.076107e-04 -4.283903e-05 -1.146390e-04
 8298.000000 -2.776982e-05 -5.241266e-06 -3.309683e-07 -3.640269e-08 -1.876516e-04 -2.034689e-04 -3.191065e-05 -1.203216e-04
 8303.000000 -2.769658e-05 -5.239938e-06 -3.324650e-07 -3.657650e-08 -1.885171e-04 -2.025215e-04 -3.655538e-05 -1.211620e-04
 8307.000000 -2.770220e-05 -5.252222e-06 -3.344363e-07 -3.684286e-08 -1.857584e-04 -1.920417e-04 -4.128359e-05 -1.238253e-04
 8310.000000 -2.772704e-05 -5.266221e-06 -3.362088e-07 -3.709347e-08 -1.868821e-04 -1.975092e-04 -4.165593e-05 -1.251662e-04
 8312.000000 -2.775423e-05 -5.277548e-06 -3.375130e-07 -3.729606e-08 -1.788238e-04 -2.100339e-04 -3.812184e-05 -1.233278e-04
 8313.000000 -2.785605e-05 -5.302811e-06 -3.393454e-07 -3.755149e-08 -1.810458e-04 -2.150890e-04 -3.084949e-05 -1.218453e-04
