# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.82202041430463
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:06:23
# Scan.end_time: 02/22/2022  16:06:49
# Scan.duration: 00:26
# Scan.transient_id: 197196
# Scan.uid: d2c6db0a-ace6-4073-98b3-44cd657b8b90
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.615778e-05 -2.112412e-06 -3.298267e-07 -6.694507e-09 -1.432186e-04 -1.254112e-04 -2.660036e-05 -9.217507e-05
 7614.000000 -2.387981e-05 -3.134304e-06 -4.901920e-07 -9.911201e-09 -2.125578e-04 -1.773283e-04 -4.268913e-05 -1.412516e-04
 7619.000000 -2.397675e-05 -3.163666e-06 -4.958367e-07 -9.981686e-09 -2.176024e-04 -1.724887e-04 -3.780996e-05 -1.375926e-04
 7624.000000 -2.399104e-05 -3.181610e-06 -4.996601e-07 -1.001128e-08 -2.176478e-04 -1.711301e-04 -3.986781e-05 -1.387336e-04
 7629.000000 -2.400249e-05 -3.198207e-06 -5.032553e-07 -1.004484e-08 -2.242747e-04 -1.800708e-04 -3.657928e-05 -1.420152e-04
 7634.000000 -2.402025e-05 -3.216408e-06 -5.071244e-07 -1.007932e-08 -2.211425e-04 -1.832269e-04 -3.273544e-05 -1.531742e-04
 7639.000000 -2.416144e-05 -3.254206e-06 -5.140344e-07 -1.017373e-08 -2.125572e-04 -1.749123e-04 -2.911927e-05 -1.500914e-04
 7644.000000 -2.419961e-05 -3.274955e-06 -5.183652e-07 -1.020801e-08 -2.034571e-04 -1.742921e-04 -4.299978e-05 -1.529442e-04
 7649.000000 -2.424411e-05 -3.297483e-06 -5.228117e-07 -1.025940e-08 -2.042955e-04 -1.709731e-04 -5.228032e-05 -1.513669e-04
 7654.000000 -2.420801e-05 -3.307100e-06 -5.252799e-07 -1.027972e-08 -2.079548e-04 -1.673158e-04 -4.006070e-05 -1.512338e-04
 7659.000000 -2.430663e-05 -3.336018e-06 -5.307722e-07 -1.034046e-08 -2.145294e-04 -1.724906e-04 -4.463573e-05 -1.536809e-04
