# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.8233008552821
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.9669883029999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:23:20
# Scan.end_time: 02/22/2022  16:23:45
# Scan.duration: 00:25
# Scan.transient_id: 197226
# Scan.uid: 5905cf52-fd74-490f-ba8b-84fc049e5529
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.297306e-06 -4.205380e-07 -3.267326e-08 -7.660847e-11 -1.368738e-04 -1.229420e-04 -2.825924e-05 -7.469971e-05
 6444.000000 -1.257990e-05 -6.414331e-07 -4.994773e-08 -1.161729e-10 -2.170254e-04 -1.861148e-04 -5.121193e-05 -1.064908e-04
 6449.000000 -1.268810e-05 -6.519740e-07 -5.097535e-08 -1.192182e-10 -2.171593e-04 -1.883689e-04 -5.841326e-05 -1.087190e-04
 6454.000000 -1.271410e-05 -6.579935e-07 -5.162515e-08 -1.180792e-10 -2.024701e-04 -1.915915e-04 -5.482123e-05 -1.169445e-04
 6459.000000 -1.281903e-05 -6.685660e-07 -5.264277e-08 -1.252622e-10 -2.055142e-04 -1.836585e-04 -4.420880e-05 -1.130132e-04
 6464.000000 -1.287794e-05 -6.754022e-07 -5.339823e-08 -1.270775e-10 -2.122506e-04 -1.906927e-04 -4.037408e-05 -1.133603e-04
 6469.000000 -1.291414e-05 -6.828142e-07 -5.423268e-08 -1.305361e-10 -2.169721e-04 -1.931334e-04 -3.777933e-05 -1.124671e-04
 6474.000000 -1.302134e-05 -6.956984e-07 -5.539559e-08 -1.304125e-10 -2.179945e-04 -1.942772e-04 -3.343667e-05 -1.176140e-04
 6479.000000 -1.308517e-05 -7.048236e-07 -5.637147e-08 -1.392067e-10 -2.195853e-04 -1.945946e-04 -3.546409e-05 -1.173979e-04
 6484.000000 -1.315722e-05 -7.139605e-07 -5.730968e-08 -1.409019e-10 -2.232587e-04 -1.913819e-04 -3.498770e-05 -1.174380e-04
 6489.000000 -1.323467e-05 -7.234026e-07 -5.830313e-08 -1.433133e-10 -2.243298e-04 -1.930608e-04 -3.146417e-05 -1.146514e-04
 6494.000000 -1.330007e-05 -7.323742e-07 -5.926624e-08 -1.491745e-10 -2.202624e-04 -1.837928e-04 -2.680311e-05 -1.076387e-04
 6499.000000 -1.334937e-05 -7.406690e-07 -6.018721e-08 -1.546334e-10 -2.267306e-04 -1.890138e-04 -3.604151e-05 -1.057247e-04
 6504.000000 -1.336023e-05 -7.472535e-07 -6.099173e-08 -1.602464e-10 -2.266854e-04 -2.018338e-04 -3.753466e-05 -1.091112e-04
 6509.000000 -1.332469e-05 -7.515054e-07 -6.160121e-08 -1.610561e-10 -2.173981e-04 -1.941119e-04 -4.494489e-05 -1.177450e-04
 6513.000000 -1.328306e-05 -7.541866e-07 -6.200894e-08 -1.662072e-10 -2.196104e-04 -1.889445e-04 -4.717454e-05 -1.188151e-04
 6516.000000 -1.342278e-05 -7.668848e-07 -6.318876e-08 -1.705491e-10 -2.171790e-04 -2.006642e-04 -4.764980e-05 -1.190031e-04
 6518.000000 -1.346307e-05 -7.715774e-07 -6.366253e-08 -1.703582e-10 -2.213115e-04 -2.039015e-04 -4.187737e-05 -1.203652e-04
 6519.000000 -1.347939e-05 -7.731923e-07 -6.387017e-08 -1.731245e-10 -2.287687e-04 -1.998853e-04 -5.737588e-05 -1.187850e-04
 6519.200000 -1.348732e-05 -7.742822e-07 -6.404140e-08 -1.714690e-10 -2.269001e-04 -2.022680e-04 -6.285617e-05 -1.181713e-04
 6519.400000 -1.349452e-05 -7.742690e-07 -6.402614e-08 -1.852351e-10 -2.190612e-04 -1.941507e-04 -5.422766e-05 -1.146116e-04
 6519.600000 -1.348084e-05 -7.732110e-07 -6.386544e-08 -1.845263e-10 -2.248318e-04 -1.962813e-04 -5.917311e-05 -1.093772e-04
 6519.800000 -1.348500e-05 -7.741791e-07 -6.401684e-08 -1.797354e-10 -2.245312e-04 -1.963564e-04 -6.846663e-05 -1.184222e-04
 6520.000000 -1.347700e-05 -7.740060e-07 -6.409428e-08 -1.831810e-10 -2.161525e-04 -2.068199e-04 -5.970222e-05 -1.101624e-04
 6520.200000 -1.351489e-05 -7.755007e-07 -6.417388e-08 -1.811642e-10 -2.233883e-04 -2.008642e-04 -6.862206e-05 -1.167710e-04
 6520.400000 -1.348382e-05 -7.746507e-07 -6.401909e-08 -1.793229e-10 -2.296198e-04 -2.017593e-04 -6.047024e-05 -1.224653e-04
