# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.66699513258277
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.96702645
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:49:40
# Scan.end_time: 02/22/2022  15:50:03
# Scan.duration: 00:23
# Scan.transient_id: 197166
# Scan.uid: 6e731da8-3e21-42bf-8db9-efea489c64ce
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.906300e-05 -3.417577e-06 -2.086360e-07 -2.390643e-08 -1.210556e-04 -1.333296e-04 -2.790960e-05 -1.092370e-04
 8238.000000 -2.744200e-05 -4.936494e-06 -3.017914e-07 -3.450367e-08 -1.698383e-04 -1.946904e-04 -3.734925e-05 -1.583559e-04
 8243.000000 -2.760227e-05 -4.986504e-06 -3.051147e-07 -3.479859e-08 -1.675761e-04 -2.021297e-04 -3.881583e-05 -1.529416e-04
 8248.000000 -2.765246e-05 -5.016121e-06 -3.070190e-07 -3.496189e-08 -1.783638e-04 -2.049926e-04 -4.475454e-05 -1.540803e-04
 8253.000000 -2.764413e-05 -5.034047e-06 -3.080716e-07 -3.504220e-08 -1.806865e-04 -2.022346e-04 -4.221111e-05 -1.647602e-04
 8258.000000 -2.767562e-05 -5.061413e-06 -3.096438e-07 -3.517266e-08 -1.790859e-04 -1.882427e-04 -3.320771e-05 -1.738701e-04
 8263.000000 -2.766143e-05 -5.078006e-06 -3.108029e-07 -3.523031e-08 -1.819155e-04 -1.895497e-04 -3.316132e-05 -1.646018e-04
 8268.000000 -2.769804e-05 -5.106541e-06 -3.132117e-07 -3.536560e-08 -1.824024e-04 -1.938886e-04 -3.517843e-05 -1.730775e-04
 8273.000000 -2.762959e-05 -5.112008e-06 -3.147085e-07 -3.538829e-08 -1.818389e-04 -1.986105e-04 -3.396756e-05 -1.473608e-04
 8278.000000 -2.765515e-05 -5.138604e-06 -3.178714e-07 -3.554171e-08 -1.765029e-04 -1.975988e-04 -2.546036e-05 -1.342147e-04
 8283.000000 -2.778553e-05 -5.185315e-06 -3.224360e-07 -3.585353e-08 -1.806064e-04 -1.936079e-04 -3.558573e-05 -1.370074e-04
 8288.000000 -2.781945e-05 -5.210825e-06 -3.258050e-07 -3.605318e-08 -1.826502e-04 -1.994982e-04 -3.255588e-05 -1.471554e-04
 8293.000000 -2.782973e-05 -5.232783e-06 -3.290157e-07 -3.627667e-08 -1.818090e-04 -1.859364e-04 -4.838001e-05 -1.457430e-04
 8298.000000 -2.788492e-05 -5.261361e-06 -3.324694e-07 -3.657337e-08 -1.850713e-04 -1.969976e-04 -4.611339e-05 -1.326329e-04
 8303.000000 -2.789109e-05 -5.277676e-06 -3.351222e-07 -3.684919e-08 -1.852530e-04 -2.032056e-04 -4.011191e-05 -1.352048e-04
 8307.000000 -2.779428e-05 -5.268251e-06 -3.357778e-07 -3.698925e-08 -1.807991e-04 -2.058952e-04 -3.724963e-05 -1.310474e-04
 8310.000000 -2.782721e-05 -5.284723e-06 -3.376792e-07 -3.725309e-08 -1.767766e-04 -1.936387e-04 -3.482051e-05 -1.320684e-04
 8312.000000 -2.785313e-05 -5.294400e-06 -3.388094e-07 -3.746262e-08 -1.744168e-04 -1.884112e-04 -4.124464e-05 -1.340747e-04
 8313.000000 -2.783015e-05 -5.291875e-06 -3.388927e-07 -3.754291e-08 -1.828092e-04 -1.910638e-04 -3.776431e-05 -1.353417e-04
 8313.200000 -2.783794e-05 -5.295307e-06 -3.393183e-07 -3.759424e-08 -1.884866e-04 -1.895559e-04 -4.018287e-05 -1.291861e-04
 8313.400000 -2.790113e-05 -5.308175e-06 -3.400876e-07 -3.766537e-08 -1.814932e-04 -1.956338e-04 -4.460241e-05 -1.294163e-04
 8313.600000 -2.785627e-05 -5.300222e-06 -3.398487e-07 -3.762900e-08 -1.708159e-04 -2.005109e-04 -4.390158e-05 -1.310739e-04
 8313.800000 -2.793423e-05 -5.316762e-06 -3.406428e-07 -3.775300e-08 -1.753833e-04 -1.968745e-04 -4.420099e-05 -1.389150e-04
 8314.000000 -2.789851e-05 -5.309153e-06 -3.402547e-07 -3.772342e-08 -1.656679e-04 -1.848946e-04 -3.787639e-05 -1.353887e-04
 8314.200000 -2.794557e-05 -5.318687e-06 -3.409122e-07 -3.782289e-08 -1.648338e-04 -1.857241e-04 -4.224311e-05 -1.381358e-04
 8314.400000 -2.796206e-05 -5.322880e-06 -3.413123e-07 -3.784010e-08 -1.654291e-04 -1.906702e-04 -4.958301e-05 -1.422875e-04
 8314.600000 -2.793800e-05 -5.318391e-06 -3.411263e-07 -3.786101e-08 -1.603610e-04 -1.954986e-04 -3.519018e-05 -1.271590e-04
 8314.800000 -2.794223e-05 -5.320012e-06 -3.411709e-07 -3.787542e-08 -1.677646e-04 -1.938428e-04 -3.894090e-05 -1.232452e-04
 8315.000000 -2.790796e-05 -5.312955e-06 -3.406786e-07 -3.787552e-08 -1.691521e-04 -1.988314e-04 -2.823089e-05 -1.343145e-04
 8315.200000 -2.795496e-05 -5.323717e-06 -3.412826e-07 -3.794472e-08 -1.695056e-04 -1.921111e-04 -3.515753e-05 -1.335671e-04
 8315.400000 -2.793980e-05 -5.320786e-06 -3.413782e-07 -3.792636e-08 -1.637002e-04 -1.857696e-04 -4.462432e-05 -1.313479e-04
 8315.600000 -2.793870e-05 -5.321949e-06 -3.415922e-07 -3.795313e-08 -1.700777e-04 -1.923101e-04 -2.978272e-05 -1.222149e-04
