# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.8247085268355
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4100257895
# ISS.sample_y_position: 17.362568903
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:39:18
# Scan.end_time: 02/22/2022  15:39:42
# Scan.duration: 00:24
# Scan.transient_id: 197147
# Scan.uid: 830b702e-7557-4bfa-951f-01f98c124d2c
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.940695e-05 -3.684220e-06 -2.247577e-07 -2.229030e-08 -1.250452e-04 -1.380873e-04 -1.865005e-05 -1.119132e-04
 8238.000000 -2.777727e-05 -5.287436e-06 -3.230441e-07 -3.199142e-08 -1.798076e-04 -1.889133e-04 -3.521482e-05 -1.660472e-04
 8243.000000 -2.789316e-05 -5.329145e-06 -3.259231e-07 -3.222498e-08 -1.755314e-04 -1.786461e-04 -4.357421e-05 -1.756519e-04
 8248.000000 -2.796269e-05 -5.363968e-06 -3.281651e-07 -3.241427e-08 -1.704532e-04 -1.832541e-04 -4.562876e-05 -1.731594e-04
 8253.000000 -2.795908e-05 -5.384862e-06 -3.293694e-07 -3.250018e-08 -1.781118e-04 -1.878299e-04 -4.609608e-05 -1.697171e-04
 8258.000000 -2.793457e-05 -5.403058e-06 -3.303823e-07 -3.256398e-08 -1.752420e-04 -1.903904e-04 -4.202964e-05 -1.694000e-04
 8263.000000 -2.795679e-05 -5.430006e-06 -3.322655e-07 -3.266234e-08 -1.816181e-04 -1.907925e-04 -3.921779e-05 -1.666830e-04
 8268.000000 -2.792892e-05 -5.447070e-06 -3.339416e-07 -3.272485e-08 -1.879112e-04 -1.865632e-04 -3.820984e-05 -1.744074e-04
 8273.000000 -2.796880e-05 -5.477957e-06 -3.370290e-07 -3.286580e-08 -1.908613e-04 -1.847574e-04 -3.813679e-05 -1.639153e-04
 8278.000000 -2.788707e-05 -5.483235e-06 -3.390590e-07 -3.288583e-08 -1.930472e-04 -1.878411e-04 -2.778792e-05 -1.676076e-04
 8283.000000 -2.785975e-05 -5.499183e-06 -3.418781e-07 -3.300553e-08 -1.891535e-04 -1.876010e-04 -1.767478e-05 -1.639781e-04
 8288.000000 -2.789565e-05 -5.527116e-06 -3.455460e-07 -3.319076e-08 -1.836819e-04 -1.853182e-04 -2.453430e-05 -1.604855e-04
 8293.000000 -2.798907e-05 -5.566426e-06 -3.498711e-07 -3.349131e-08 -1.901913e-04 -1.824835e-04 -3.698997e-05 -1.527789e-04
 8298.000000 -2.800182e-05 -5.587199e-06 -3.529493e-07 -3.370184e-08 -1.971037e-04 -1.822265e-04 -4.983613e-05 -1.529089e-04
 8303.000000 -2.798534e-05 -5.600977e-06 -3.556746e-07 -3.392506e-08 -1.877449e-04 -1.842616e-04 -3.145875e-05 -1.571327e-04
 8307.000000 -2.793009e-05 -5.602166e-06 -3.570134e-07 -3.410789e-08 -1.849891e-04 -1.864802e-04 -4.139526e-05 -1.641090e-04
 8310.000000 -2.798975e-05 -5.624056e-06 -3.593536e-07 -3.439943e-08 -1.875698e-04 -1.893405e-04 -3.792602e-05 -1.707761e-04
 8312.000000 -2.809850e-05 -5.651806e-06 -3.616409e-07 -3.468896e-08 -1.846739e-04 -1.858130e-04 -3.034682e-05 -1.675577e-04
 8313.000000 -2.803925e-05 -5.641439e-06 -3.613239e-07 -3.471573e-08 -1.793421e-04 -1.881114e-04 -2.625134e-05 -1.593302e-04
 8313.200000 -2.804327e-05 -5.642995e-06 -3.614685e-07 -3.471436e-08 -1.697165e-04 -1.846208e-04 -1.142657e-05 -1.494973e-04
 8313.400000 -2.801895e-05 -5.638084e-06 -3.611956e-07 -3.471867e-08 -1.861090e-04 -1.830504e-04 -6.798215e-06 -1.543042e-04
 8313.600000 -2.796303e-05 -5.626442e-06 -3.605832e-07 -3.465565e-08 -1.856159e-04 -1.854285e-04 -5.986012e-06 -1.532771e-04
 8313.800000 -2.779411e-05 -5.590826e-06 -3.584528e-07 -3.449346e-08 -1.824930e-04 -1.882092e-04 -8.187615e-06 -1.682212e-04
 8314.000000 -2.790398e-05 -5.614823e-06 -3.598893e-07 -3.459208e-08 -1.794756e-04 -1.908128e-04 -1.481999e-05 -1.652279e-04
 8314.200000 -2.783080e-05 -5.599812e-06 -3.589997e-07 -3.452116e-08 -1.819699e-04 -1.807970e-04 -3.357394e-05 -1.761816e-04
 8314.400000 -2.780745e-05 -5.595186e-06 -3.587432e-07 -3.452226e-08 -1.839245e-04 -1.830337e-04 -2.673622e-05 -1.664725e-04
 8314.600000 -2.783069e-05 -5.601132e-06 -3.591770e-07 -3.458220e-08 -1.962233e-04 -1.902794e-04 -4.071095e-05 -1.726219e-04
 8314.800000 -2.798366e-05 -5.634587e-06 -3.613399e-07 -3.479335e-08 -1.951764e-04 -1.938209e-04 -2.924251e-05 -1.663718e-04
 8315.000000 -2.801578e-05 -5.640461e-06 -3.618216e-07 -3.479364e-08 -1.903397e-04 -1.813801e-04 -3.452601e-05 -1.737679e-04
 8315.200000 -2.803181e-05 -5.644790e-06 -3.624025e-07 -3.483162e-08 -1.851905e-04 -1.819029e-04 -2.885505e-05 -1.576164e-04
 8315.400000 -2.808872e-05 -5.656940e-06 -3.631144e-07 -3.500730e-08 -1.813719e-04 -1.885448e-04 -3.902228e-05 -1.660875e-04
