# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.2409164810219
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.408709718
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  15:55:43
# Scan.end_time: 02/22/2022  15:56:06
# Scan.duration: 00:23
# Scan.transient_id: 197177
# Scan.uid: f94d485c-fb76-4940-bfba-76b374afe4fe
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.623927e-05 -2.257399e-06 -3.527633e-07 -6.150268e-09 -1.480193e-04 -1.225930e-04 -4.556501e-05 -1.039248e-04
 7614.000000 -2.399176e-05 -3.347986e-06 -5.241011e-07 -9.107565e-09 -2.133409e-04 -1.754718e-04 -7.323944e-05 -1.527379e-04
 7619.000000 -2.408895e-05 -3.379262e-06 -5.301749e-07 -9.172321e-09 -2.152951e-04 -1.738647e-04 -7.610886e-05 -1.565005e-04
 7624.000000 -2.409771e-05 -3.398057e-06 -5.343010e-07 -9.191878e-09 -2.084883e-04 -1.785361e-04 -7.222166e-05 -1.608608e-04
 7629.000000 -2.410289e-05 -3.415668e-06 -5.380576e-07 -9.214640e-09 -2.144014e-04 -1.779140e-04 -6.821676e-05 -1.637390e-04
 7634.000000 -2.418451e-05 -3.444475e-06 -5.435999e-07 -9.272970e-09 -2.198120e-04 -1.856937e-04 -6.208456e-05 -1.594770e-04
 7639.000000 -2.429170e-05 -3.477122e-06 -5.498244e-07 -9.339121e-09 -2.159065e-04 -1.967089e-04 -6.127355e-05 -1.545495e-04
 7644.000000 -2.432776e-05 -3.499626e-06 -5.544883e-07 -9.391179e-09 -2.100777e-04 -1.917418e-04 -7.270068e-05 -1.602588e-04
 7649.000000 -2.425371e-05 -3.506260e-06 -5.566158e-07 -9.383885e-09 -2.137267e-04 -1.925575e-04 -7.038297e-05 -1.674932e-04
 7654.000000 -2.423028e-05 -3.520139e-06 -5.598455e-07 -9.408874e-09 -2.140942e-04 -1.892536e-04 -6.711077e-05 -1.650805e-04
 7659.000000 -2.431273e-05 -3.549186e-06 -5.654841e-07 -9.461861e-09 -2.085743e-04 -1.983774e-04 -6.070831e-05 -1.466224e-04
