# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.52840282675135
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.408137513
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:12:35
# Scan.end_time: 02/22/2022  16:13:00
# Scan.duration: 00:25
# Scan.transient_id: 197207
# Scan.uid: 0ba81ee7-f429-4ac2-ae17-f90a77fa4808
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.299499e-06 -4.527295e-07 -3.517434e-08 -6.464895e-11 -1.585500e-04 -1.302831e-04 -3.834235e-05 -8.662382e-05
 6444.000000 -1.257797e-05 -6.907204e-07 -5.384778e-08 -1.003006e-10 -2.379085e-04 -1.947602e-04 -6.356148e-05 -1.305366e-04
 6449.000000 -1.266267e-05 -7.012602e-07 -5.486123e-08 -1.032486e-10 -2.383993e-04 -1.927772e-04 -6.537950e-05 -1.309348e-04
 6454.000000 -1.265538e-05 -7.065093e-07 -5.552537e-08 -1.033666e-10 -2.421398e-04 -1.963636e-04 -6.645961e-05 -1.392866e-04
 6459.000000 -1.277428e-05 -7.188845e-07 -5.672115e-08 -1.068099e-10 -2.434073e-04 -2.016461e-04 -6.712188e-05 -1.483629e-04
 6464.000000 -1.285423e-05 -7.290651e-07 -5.771812e-08 -1.113894e-10 -2.332740e-04 -2.052191e-04 -6.483654e-05 -1.415049e-04
 6469.000000 -1.289178e-05 -7.364171e-07 -5.847348e-08 -1.159754e-10 -2.382070e-04 -2.015608e-04 -6.310889e-05 -1.401021e-04
 6474.000000 -1.297209e-05 -7.468578e-07 -5.957810e-08 -1.157332e-10 -2.359841e-04 -2.067286e-04 -6.093038e-05 -1.447524e-04
 6479.000000 -1.305871e-05 -7.576200e-07 -6.063903e-08 -1.203573e-10 -2.397047e-04 -2.061222e-04 -6.111566e-05 -1.486179e-04
 6484.000000 -1.314071e-05 -7.689407e-07 -6.176248e-08 -1.233298e-10 -2.335261e-04 -2.048118e-04 -6.156640e-05 -1.452004e-04
 6489.000000 -1.319331e-05 -7.780398e-07 -6.272176e-08 -1.262006e-10 -2.402723e-04 -2.048142e-04 -6.054688e-05 -1.453779e-04
 6494.000000 -1.324628e-05 -7.875573e-07 -6.375301e-08 -1.298593e-10 -2.379554e-04 -2.041653e-04 -6.326909e-05 -1.435608e-04
 6499.000000 -1.330619e-05 -7.967099e-07 -6.471925e-08 -1.347202e-10 -2.405767e-04 -2.059384e-04 -7.925863e-05 -1.501750e-04
 6504.000000 -1.336254e-05 -8.060853e-07 -6.574994e-08 -1.390901e-10 -2.382398e-04 -2.164239e-04 -7.780653e-05 -1.525916e-04
 6509.000000 -1.338647e-05 -8.135440e-07 -6.666694e-08 -1.471223e-10 -2.357219e-04 -2.165269e-04 -6.390606e-05 -1.465005e-04
 6513.000000 -1.333517e-05 -8.155403e-07 -6.708488e-08 -1.508274e-10 -2.314605e-04 -2.143633e-04 -6.563119e-05 -1.353472e-04
 6516.000000 -1.347959e-05 -8.280645e-07 -6.826743e-08 -1.556553e-10 -2.401846e-04 -2.065047e-04 -6.858783e-05 -1.351836e-04
 6518.000000 -1.349800e-05 -8.315507e-07 -6.868641e-08 -1.612936e-10 -2.391956e-04 -2.033586e-04 -7.627177e-05 -1.306023e-04
 6519.000000 -1.351459e-05 -8.338548e-07 -6.890146e-08 -1.557083e-10 -2.428476e-04 -2.005197e-04 -8.462304e-05 -1.370962e-04
 6519.200000 -1.352525e-05 -8.341199e-07 -6.897094e-08 -1.551655e-10 -2.490069e-04 -1.981858e-04 -9.435889e-05 -1.392820e-04
 6519.400000 -1.351146e-05 -8.339681e-07 -6.883722e-08 -1.574434e-10 -2.520305e-04 -1.998643e-04 -9.268425e-05 -1.375541e-04
 6519.600000 -1.352620e-05 -8.350467e-07 -6.909932e-08 -1.599319e-10 -2.544198e-04 -2.001305e-04 -9.426625e-05 -1.452426e-04
 6519.800000 -1.352769e-05 -8.349678e-07 -6.909954e-08 -1.645133e-10 -2.496810e-04 -1.969545e-04 -8.829896e-05 -1.396981e-04
 6520.000000 -1.352980e-05 -8.358220e-07 -6.900042e-08 -1.624247e-10 -2.537412e-04 -1.981904e-04 -8.913893e-05 -1.295339e-04
 6520.200000 -1.353688e-05 -8.369775e-07 -6.928780e-08 -1.646915e-10 -2.504571e-04 -2.009522e-04 -7.602914e-05 -1.315874e-04
 6520.400000 -1.352782e-05 -8.361376e-07 -6.925275e-08 -1.673955e-10 -2.492177e-04 -1.966445e-04 -7.581753e-05 -1.315889e-04
 6520.600000 -1.352463e-05 -8.366354e-07 -6.914649e-08 -1.590392e-10 -2.469311e-04 -1.930352e-04 -9.631839e-05 -1.360909e-04
 6520.800000 -1.352575e-05 -8.369609e-07 -6.917637e-08 -1.519677e-10 -2.423989e-04 -2.002671e-04 -8.238916e-05 -1.300262e-04
 6521.000000 -1.352570e-05 -8.371953e-07 -6.930531e-08 -1.521439e-10 -2.399661e-04 -1.860510e-04 -8.150252e-05 -1.406754e-04
 6521.200000 -1.351596e-05 -8.371685e-07 -6.928476e-08 -1.567972e-10 -2.369674e-04 -1.874214e-04 -7.828425e-05 -1.379759e-04
 6521.400000 -1.351421e-05 -8.375737e-07 -6.932549e-08 -1.603687e-10 -2.378594e-04 -1.968526e-04 -8.630422e-05 -1.393808e-04
 6521.600000 -1.351276e-05 -8.376573e-07 -6.932810e-08 -1.598746e-10 -2.469460e-04 -1.992652e-04 -7.562854e-05 -1.391490e-04
 6521.800000 -1.351704e-05 -8.380581e-07 -6.953248e-08 -1.644158e-10 -2.474338e-04 -2.044990e-04 -8.280272e-05 -1.370639e-04
 6522.000000 -1.350974e-05 -8.375489e-07 -6.940746e-08 -1.632392e-10 -2.466231e-04 -2.033397e-04 -8.343717e-05 -1.376740e-04
 6522.200000 -1.350514e-05 -8.373904e-07 -6.943834e-08 -1.544842e-10 -2.333005e-04 -2.031312e-04 -7.896241e-05 -1.428799e-04
 6522.400000 -1.350015e-05 -8.370085e-07 -6.944445e-08 -1.609507e-10 -2.240929e-04 -2.009789e-04 -7.984520e-05 -1.443429e-04
 6522.600000 -1.350893e-05 -8.381707e-07 -6.954105e-08 -1.550430e-10 -2.248267e-04 -1.946622e-04 -8.235515e-05 -1.402173e-04
 6522.800000 -1.350993e-05 -8.382094e-07 -6.950743e-08 -1.589527e-10 -2.263585e-04 -1.835925e-04 -8.408771e-05 -1.400268e-04
 6523.000000 -1.349150e-05 -8.371991e-07 -6.946030e-08 -1.608473e-10 -2.179843e-04 -1.763420e-04 -8.350952e-05 -1.396206e-04
 6523.200000 -1.349994e-05 -8.378562e-07 -6.950727e-08 -1.622688e-10 -2.216922e-04 -1.722034e-04 -7.936709e-05 -1.469975e-04
 6523.400000 -1.349001e-05 -8.377730e-07 -6.953940e-08 -1.702798e-10 -2.163272e-04 -1.797595e-04 -7.423450e-05 -1.407669e-04
 6523.600000 -1.349842e-05 -8.385416e-07 -6.950421e-08 -1.740770e-10 -2.188093e-04 -1.899291e-04 -8.253722e-05 -1.510417e-04
 6523.800000 -1.350699e-05 -8.398575e-07 -6.961165e-08 -1.580449e-10 -2.200902e-04 -1.876998e-04 -8.759768e-05 -1.488064e-04
 6524.000000 -1.350841e-05 -8.398626e-07 -6.973286e-08 -1.548544e-10 -2.178881e-04 -1.864482e-04 -7.185281e-05 -1.365029e-04
 6524.200000 -1.351758e-05 -8.410760e-07 -6.986339e-08 -1.743085e-10 -2.142539e-04 -1.965179e-04 -6.333525e-05 -1.338163e-04
 6524.400000 -1.353308e-05 -8.422803e-07 -6.998180e-08 -1.711044e-10 -2.172087e-04 -1.917773e-04 -7.736808e-05 -1.497671e-04
 6524.600000 -1.353844e-05 -8.433711e-07 -6.998948e-08 -1.688686e-10 -2.238051e-04 -1.913673e-04 -7.425195e-05 -1.462920e-04
 6524.800000 -1.353961e-05 -8.433758e-07 -7.005176e-08 -1.695907e-10 -2.279427e-04 -1.906877e-04 -6.989900e-05 -1.502514e-04
 6525.000000 -1.354200e-05 -8.440434e-07 -6.999803e-08 -1.660365e-10 -2.226310e-04 -1.900724e-04 -6.836322e-05 -1.541668e-04
 6525.200000 -1.354861e-05 -8.444402e-07 -7.014025e-08 -1.608153e-10 -2.333914e-04 -1.912257e-04 -7.701599e-05 -1.608330e-04
 6525.400000 -1.354766e-05 -8.444737e-07 -7.010604e-08 -1.680737e-10 -2.328303e-04 -1.945457e-04 -7.097675e-05 -1.587853e-04
 6525.600000 -1.356064e-05 -8.449451e-07 -7.009367e-08 -1.533654e-10 -2.249727e-04 -1.861596e-04 -6.367818e-05 -1.490392e-04
 6525.800000 -1.355103e-05 -8.446729e-07 -7.019849e-08 -1.620294e-10 -2.185380e-04 -1.893830e-04 -6.129641e-05 -1.355176e-04
 6526.000000 -1.355773e-05 -8.448131e-07 -7.023466e-08 -1.765017e-10 -2.175154e-04 -2.039417e-04 -7.457857e-05 -1.408312e-04
 6526.200000 -1.355832e-05 -8.457012e-07 -7.030649e-08 -1.753042e-10 -2.210897e-04 -2.052597e-04 -7.897378e-05 -1.370990e-04
 6526.400000 -1.355731e-05 -8.457231e-07 -7.030397e-08 -1.626513e-10 -2.207424e-04 -2.039187e-04 -6.962354e-05 -1.415564e-04
 6526.600000 -1.355538e-05 -8.455005e-07 -7.032089e-08 -1.647319e-10 -2.183789e-04 -2.023869e-04 -6.146257e-05 -1.375638e-04
 6526.800000 -1.355658e-05 -8.453855e-07 -7.035235e-08 -1.665266e-10 -2.225235e-04 -2.070641e-04 -5.345070e-05 -1.382210e-04
