# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.21711219059466
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4086524975
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:27:36
# Scan.end_time: 02/22/2022  15:28:01
# Scan.duration: 00:24
# Scan.transient_id: 197127
# Scan.uid: 1b08b35e-c040-4e7e-907e-295eb8b1cf4a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.018863e-09 -5.684445e-10 -4.242737e-12 2.829422e-11 -1.406918e-04 -1.409008e-04 -1.615328e-05 -1.102315e-04
 8238.000000 -1.528108e-09 -4.572782e-10 -7.644842e-12 3.791459e-11 -2.003930e-04 -2.008476e-04 -2.422786e-05 -1.607672e-04
 8243.000000 -1.572612e-09 -6.894051e-10 -5.904686e-13 4.314970e-11 -1.922110e-04 -1.982973e-04 -2.073805e-05 -1.600104e-04
 8248.000000 -1.560730e-09 -8.720406e-10 1.689831e-12 3.752129e-11 -1.965680e-04 -1.903020e-04 -2.196947e-05 -1.600350e-04
 8253.000000 -1.615148e-09 -7.246694e-10 -2.262032e-11 3.893299e-11 -2.022528e-04 -1.936938e-04 -2.349697e-05 -1.567434e-04
 8258.000000 -1.601053e-09 -5.891373e-10 1.188720e-11 4.064140e-11 -2.027542e-04 -1.968373e-04 -2.065733e-05 -1.559336e-04
 8263.000000 -1.518264e-09 -9.693520e-10 2.654349e-11 4.348830e-11 -1.900617e-04 -1.930049e-04 -1.912321e-05 -1.598198e-04
 8268.000000 -1.553624e-09 -8.607195e-10 -1.831305e-11 4.289399e-11 -1.917445e-04 -1.993788e-04 -2.733313e-05 -1.616007e-04
 8273.000000 -1.546201e-09 -5.903798e-10 -2.336059e-11 4.036548e-11 -1.977099e-04 -2.037225e-04 -4.949365e-05 -1.592229e-04
 8278.000000 -1.551212e-09 -1.048225e-09 -8.113518e-12 3.977598e-11 -1.999190e-04 -1.857040e-04 -4.007886e-05 -1.559271e-04
 8283.000000 -1.513553e-09 -8.370279e-10 1.033772e-11 3.724227e-11 -1.945382e-04 -1.801472e-04 -3.049883e-05 -1.529657e-04
 8288.000000 -1.499501e-09 -5.531920e-10 1.043503e-11 4.014047e-11 -1.975322e-04 -1.792170e-04 -2.348975e-05 -1.556347e-04
