# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.474216137946
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4088813795
# ISS.sample_y_position: 17.3670130285
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:39:50
# Scan.end_time: 02/22/2022  15:40:16
# Scan.duration: 00:26
# Scan.transient_id: 197148
# Scan.uid: cbd0542e-e5e1-4c5a-b99c-1fdf13b6f474
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.921917e-05 -3.649184e-06 -2.228510e-07 -2.206536e-08 -1.148586e-04 -1.483829e-04 -3.348401e-05 -1.117826e-04
 8238.000000 -2.754594e-05 -5.244180e-06 -3.206550e-07 -3.171418e-08 -1.712218e-04 -2.046374e-04 -4.904819e-05 -1.507001e-04
 8243.000000 -2.772907e-05 -5.299987e-06 -3.244297e-07 -3.205544e-08 -1.699626e-04 -2.082273e-04 -4.901844e-05 -1.539867e-04
 8248.000000 -2.781157e-05 -5.336637e-06 -3.267075e-07 -3.223858e-08 -1.696073e-04 -2.147068e-04 -3.514153e-05 -1.537111e-04
 8253.000000 -2.786345e-05 -5.369042e-06 -3.285933e-07 -3.237346e-08 -1.703541e-04 -2.053870e-04 -4.235127e-05 -1.600811e-04
 8258.000000 -2.785145e-05 -5.389977e-06 -3.297792e-07 -3.246215e-08 -1.744084e-04 -2.040304e-04 -4.474509e-05 -1.608346e-04
 8263.000000 -2.789124e-05 -5.420828e-06 -3.318472e-07 -3.258243e-08 -1.794081e-04 -2.099657e-04 -4.782557e-05 -1.584190e-04
 8268.000000 -2.788717e-05 -5.442962e-06 -3.339830e-07 -3.265193e-08 -1.810161e-04 -2.014110e-04 -5.453639e-05 -1.575089e-04
 8273.000000 -2.792780e-05 -5.473850e-06 -3.370728e-07 -3.280055e-08 -1.800765e-04 -1.914137e-04 -4.933211e-05 -1.541149e-04
 8278.000000 -2.786875e-05 -5.483697e-06 -3.393277e-07 -3.286318e-08 -1.819796e-04 -1.987438e-04 -5.871963e-05 -1.648583e-04
 8283.000000 -2.788029e-05 -5.507325e-06 -3.425785e-07 -3.299504e-08 -1.806790e-04 -1.981018e-04 -6.304536e-05 -1.604420e-04
