# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.8387903485436
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.408900453
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  15:56:15
# Scan.end_time: 02/22/2022  15:56:40
# Scan.duration: 00:25
# Scan.transient_id: 197178
# Scan.uid: 70e069e2-cf1a-4f37-9b2c-26ee4a478705
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.609487e-05 -2.239403e-06 -3.501639e-07 -6.090870e-09 -1.357509e-04 -1.150931e-04 -1.985429e-05 -9.078227e-05
 7614.000000 -2.379819e-05 -3.324506e-06 -5.208782e-07 -9.029188e-09 -2.087653e-04 -1.682285e-04 -2.684713e-05 -1.411788e-04
 7619.000000 -2.383230e-05 -3.344673e-06 -5.250772e-07 -9.066368e-09 -2.198788e-04 -1.737758e-04 -2.900724e-05 -1.420193e-04
 7624.000000 -2.392533e-05 -3.375088e-06 -5.308001e-07 -9.131442e-09 -2.220018e-04 -1.794358e-04 -2.960535e-05 -1.452296e-04
 7629.000000 -2.399644e-05 -3.402449e-06 -5.360685e-07 -9.186360e-09 -2.194896e-04 -1.839125e-04 -3.045474e-05 -1.428875e-04
 7634.000000 -2.402840e-05 -3.423721e-06 -5.404331e-07 -9.216899e-09 -2.157941e-04 -1.800289e-04 -3.705017e-05 -1.380413e-04
 7639.000000 -2.413565e-05 -3.457075e-06 -5.466985e-07 -9.271290e-09 -2.117250e-04 -1.760502e-04 -4.048650e-05 -1.326377e-04
 7644.000000 -2.415729e-05 -3.477150e-06 -5.508723e-07 -9.313749e-09 -2.063177e-04 -1.673580e-04 -4.183342e-05 -1.327391e-04
 7649.000000 -2.424468e-05 -3.507734e-06 -5.566874e-07 -9.380760e-09 -2.059134e-04 -1.627854e-04 -5.160763e-05 -1.395843e-04
 7654.000000 -2.422999e-05 -3.522815e-06 -5.600491e-07 -9.401592e-09 -2.052326e-04 -1.642013e-04 -3.959092e-05 -1.327151e-04
 7659.000000 -2.427310e-05 -3.545460e-06 -5.646674e-07 -9.448151e-09 -2.068115e-04 -1.655868e-04 -4.219441e-05 -1.280123e-04
 7664.000000 -2.436991e-05 -3.577180e-06 -5.706937e-07 -9.508011e-09 -2.147425e-04 -1.704028e-04 -3.576578e-05 -1.333945e-04
 7669.000000 -2.440249e-05 -3.599060e-06 -5.750939e-07 -9.552525e-09 -2.091802e-04 -1.714737e-04 -3.040975e-05 -1.068242e-04
 7674.000000 -2.447580e-05 -3.628133e-06 -5.806285e-07 -9.611938e-09 -2.072436e-04 -1.593243e-04 -3.323119e-05 -9.878710e-05
 7679.000000 -2.450935e-05 -3.650769e-06 -5.849324e-07 -9.663807e-09 -2.105242e-04 -1.648838e-04 -4.589402e-05 -1.251333e-04
 7683.000000 -2.451349e-05 -3.665398e-06 -5.878222e-07 -9.696003e-09 -2.076833e-04 -1.668409e-04 -4.163199e-05 -1.274531e-04
 7686.000000 -2.446082e-05 -3.667398e-06 -5.885085e-07 -9.691585e-09 -2.104944e-04 -1.691598e-04 -3.513707e-05 -1.354877e-04
 7688.000000 -2.453449e-05 -3.686629e-06 -5.916750e-07 -9.744177e-09 -2.095711e-04 -1.718349e-04 -4.332100e-05 -1.307033e-04
 7689.000000 -2.458565e-05 -3.698408e-06 -5.935641e-07 -9.772244e-09 -2.128043e-04 -1.717888e-04 -2.298214e-05 -1.368357e-04
 7689.200000 -2.460427e-05 -3.702194e-06 -5.941557e-07 -9.768765e-09 -2.173514e-04 -1.738699e-04 -3.081132e-05 -1.390109e-04
 7689.400000 -2.457767e-05 -3.698621e-06 -5.937376e-07 -9.775628e-09 -2.173436e-04 -1.827898e-04 -1.822966e-05 -1.375960e-04
 7689.600000 -2.457085e-05 -3.697643e-06 -5.934386e-07 -9.762219e-09 -2.190188e-04 -1.826530e-04 -1.103863e-05 -1.400546e-04
 7689.800000 -2.458865e-05 -3.700437e-06 -5.940023e-07 -9.775633e-09 -2.155558e-04 -1.844172e-04 -1.455462e-05 -1.304200e-04
 7690.000000 -2.459596e-05 -3.702312e-06 -5.941884e-07 -9.783399e-09 -2.202183e-04 -1.801317e-04 -1.904033e-05 -1.423985e-04
 7690.200000 -2.460504e-05 -3.705575e-06 -5.945485e-07 -9.801421e-09 -2.096602e-04 -1.802349e-04 -1.947049e-05 -1.331550e-04
 7690.400000 -2.461407e-05 -3.707761e-06 -5.949095e-07 -9.812444e-09 -2.018315e-04 -1.758967e-04 -1.320785e-05 -1.292837e-04
 7690.600000 -2.461717e-05 -3.708447e-06 -5.953068e-07 -9.798913e-09 -2.065630e-04 -1.704157e-04 -2.334335e-05 -1.375322e-04
 7690.800000 -2.460207e-05 -3.707516e-06 -5.950427e-07 -9.799549e-09 -2.230399e-04 -1.682151e-04 -3.165136e-05 -1.407189e-04
 7691.000000 -2.460035e-05 -3.706981e-06 -5.948975e-07 -9.779261e-09 -2.233326e-04 -1.756216e-04 -2.846551e-05 -1.384111e-04
 7691.200000 -2.462065e-05 -3.711807e-06 -5.956418e-07 -9.806024e-09 -2.114600e-04 -1.788923e-04 -2.704592e-05 -1.324911e-04
 7691.400000 -2.460066e-05 -3.709040e-06 -5.952242e-07 -9.769463e-09 -2.079477e-04 -1.827246e-04 -2.992275e-05 -1.291483e-04
 7691.600000 -2.455581e-05 -3.702232e-06 -5.941163e-07 -9.760737e-09 -2.049811e-04 -1.769591e-04 -4.031986e-05 -1.240857e-04
 7691.800000 -2.458329e-05 -3.707568e-06 -5.949588e-07 -9.786021e-09 -2.111334e-04 -1.705189e-04 -5.226993e-05 -1.358755e-04
 7692.000000 -2.460697e-05 -3.712065e-06 -5.956059e-07 -9.802971e-09 -2.124637e-04 -1.708778e-04 -3.323193e-05 -1.329572e-04
 7692.200000 -2.458613e-05 -3.709270e-06 -5.952310e-07 -9.800398e-09 -2.130660e-04 -1.701439e-04 -4.704082e-05 -1.380086e-04
 7692.400000 -2.457526e-05 -3.707807e-06 -5.949918e-07 -9.792844e-09 -2.132332e-04 -1.597765e-04 -4.556972e-05 -1.381587e-04
 7692.600000 -2.455930e-05 -3.707248e-06 -5.946992e-07 -9.773805e-09 -2.195762e-04 -1.620263e-04 -3.919656e-05 -1.406402e-04
 7692.800000 -2.452440e-05 -3.701413e-06 -5.939025e-07 -9.790503e-09 -2.210684e-04 -1.650378e-04 -2.712357e-05 -1.427244e-04
 7693.000000 -2.453986e-05 -3.704447e-06 -5.943975e-07 -9.794426e-09 -2.212264e-04 -1.721549e-04 -2.702636e-05 -1.375477e-04
 7693.200000 -2.454096e-05 -3.705766e-06 -5.943859e-07 -9.792182e-09 -2.161472e-04 -1.659183e-04 -2.760475e-05 -1.369015e-04
 7693.400000 -2.455612e-05 -3.708695e-06 -5.949788e-07 -9.818668e-09 -2.153619e-04 -1.679605e-04 -2.957584e-05 -1.200961e-04
 7693.600000 -2.457319e-05 -3.712147e-06 -5.952657e-07 -9.827378e-09 -2.165030e-04 -1.715271e-04 -1.881901e-05 -8.826786e-05
 7693.800000 -2.458044e-05 -3.713601e-06 -5.956029e-07 -9.835611e-09 -2.243625e-04 -1.709334e-04 -3.154001e-05 -8.697219e-05
 7694.000000 -2.458466e-05 -3.714976e-06 -5.958259e-07 -9.812230e-09 -2.175293e-04 -1.736689e-04 -3.696222e-05 -8.976551e-05
 7694.200000 -2.457779e-05 -3.714412e-06 -5.957488e-07 -9.825009e-09 -2.121922e-04 -1.824314e-04 -2.775707e-05 -8.938362e-05
 7694.400000 -2.455036e-05 -3.711023e-06 -5.951081e-07 -9.794853e-09 -2.097374e-04 -1.777342e-04 -2.667001e-05 -9.548628e-05
 7694.600000 -2.452460e-05 -3.707578e-06 -5.946271e-07 -9.786971e-09 -2.015592e-04 -1.745413e-04 -3.056568e-05 -9.396199e-05
 7694.800000 -2.453363e-05 -3.709313e-06 -5.947996e-07 -9.804597e-09 -2.001043e-04 -1.673652e-04 -3.180455e-05 -9.723328e-05
 7695.000000 -2.453990e-05 -3.710678e-06 -5.947540e-07 -9.807287e-09 -2.005227e-04 -1.670821e-04 -2.584101e-05 -9.667029e-05
 7695.200000 -2.453180e-05 -3.710276e-06 -5.948895e-07 -9.792339e-09 -1.967520e-04 -1.748098e-04 -3.754545e-05 -9.127139e-05
 7695.400000 -2.462278e-05 -3.725346e-06 -5.973012e-07 -9.838476e-09 -2.013547e-04 -1.774005e-04 -4.434573e-05 -9.113421e-05
 7695.600000 -2.463291e-05 -3.727777e-06 -5.976906e-07 -9.866679e-09 -2.046776e-04 -1.785705e-04 -2.879642e-05 -9.415994e-05
 7695.800000 -2.464037e-05 -3.729669e-06 -5.979850e-07 -9.881279e-09 -2.027891e-04 -1.789385e-04 -3.825665e-05 -1.005402e-04
 7696.000000 -2.463389e-05 -3.729091e-06 -5.979898e-07 -9.863450e-09 -2.068672e-04 -1.653284e-04 -3.855858e-05 -9.993849e-05
 7696.200000 -2.461912e-05 -3.727265e-06 -5.975440e-07 -9.834567e-09 -2.147248e-04 -1.696542e-04 -3.171437e-05 -1.046493e-04
 7696.400000 -2.459916e-05 -3.724556e-06 -5.968840e-07 -9.852893e-09 -2.282288e-04 -1.696757e-04 -3.542040e-05 -1.031037e-04
 7696.600000 -2.456908e-05 -3.720088e-06 -5.961359e-07 -9.846907e-09 -2.246132e-04 -1.697397e-04 -2.308639e-05 -9.516939e-05
 7696.800000 -2.452587e-05 -3.714723e-06 -5.951905e-07 -9.809787e-09 -2.190145e-04 -1.817523e-04 -3.100657e-05 -8.945800e-05
