# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.1472121825468
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089195265
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:13:09
# Scan.end_time: 02/22/2022  16:13:33
# Scan.duration: 00:24
# Scan.transient_id: 197208
# Scan.uid: 2ba62289-04b1-4b61-acc5-ea62d38887e7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.289446e-06 -4.518949e-07 -3.513359e-08 -6.675973e-11 -1.474110e-04 -1.319217e-04 -4.555909e-05 -9.053077e-05
 6444.000000 -1.258953e-05 -6.909683e-07 -5.389709e-08 -1.021747e-10 -2.267476e-04 -1.957286e-04 -6.337381e-05 -1.402525e-04
 6449.000000 -1.267058e-05 -7.009125e-07 -5.488302e-08 -1.064143e-10 -2.194909e-04 -1.986362e-04 -5.702255e-05 -1.371557e-04
 6454.000000 -1.269009e-05 -7.078330e-07 -5.563815e-08 -1.082809e-10 -2.193207e-04 -2.062339e-04 -6.233676e-05 -1.369065e-04
 6459.000000 -1.280395e-05 -7.197769e-07 -5.678168e-08 -1.081361e-10 -2.229518e-04 -2.124425e-04 -7.243371e-05 -1.442392e-04
 6464.000000 -1.287664e-05 -7.297129e-07 -5.778613e-08 -1.111220e-10 -2.206486e-04 -2.153993e-04 -6.738656e-05 -1.373762e-04
 6469.000000 -1.289455e-05 -7.364690e-07 -5.854261e-08 -1.180277e-10 -2.213391e-04 -2.151128e-04 -7.683573e-05 -1.255166e-04
 6474.000000 -1.298641e-05 -7.474271e-07 -5.963959e-08 -1.222954e-10 -2.194332e-04 -2.090817e-04 -6.480380e-05 -1.383732e-04
 6479.000000 -1.307097e-05 -7.581049e-07 -6.075131e-08 -1.235548e-10 -2.276261e-04 -1.968905e-04 -7.382525e-05 -1.417042e-04
 6484.000000 -1.314289e-05 -7.680412e-07 -6.173779e-08 -1.291983e-10 -2.254584e-04 -1.901745e-04 -7.159474e-05 -1.394257e-04
 6489.000000 -1.320174e-05 -7.775787e-07 -6.277646e-08 -1.303402e-10 -2.185605e-04 -1.899584e-04 -6.564950e-05 -1.381143e-04
 6494.000000 -1.326423e-05 -7.873087e-07 -6.383218e-08 -1.372968e-10 -2.190033e-04 -1.863701e-04 -6.628464e-05 -1.393327e-04
 6499.000000 -1.333154e-05 -7.974038e-07 -6.492491e-08 -1.403523e-10 -2.270585e-04 -1.970841e-04 -6.426232e-05 -1.362827e-04
 6504.000000 -1.336323e-05 -8.056608e-07 -6.580493e-08 -1.449300e-10 -2.295601e-04 -2.012223e-04 -7.602887e-05 -1.486971e-04
 6509.000000 -1.336585e-05 -8.123541e-07 -6.662336e-08 -1.466553e-10 -2.150338e-04 -1.991216e-04 -7.789650e-05 -1.521330e-04
 6513.000000 -1.333394e-05 -8.149125e-07 -6.703909e-08 -1.520396e-10 -2.204081e-04 -2.000868e-04 -6.734277e-05 -1.413113e-04
 6516.000000 -1.350233e-05 -8.288945e-07 -6.835285e-08 -1.541002e-10 -2.240680e-04 -1.937349e-04 -7.134346e-05 -1.442450e-04
 6518.000000 -1.352978e-05 -8.332563e-07 -6.879448e-08 -1.569154e-10 -2.224360e-04 -1.986503e-04 -8.231617e-05 -1.414112e-04
