# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.8743532644542
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4088813795
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:28:09
# Scan.end_time: 02/22/2022  15:28:33
# Scan.duration: 00:24
# Scan.transient_id: 197128
# Scan.uid: 39b28fa6-4cef-4c34-85c6-a1209d4206d7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -9.953232e-10 -4.675472e-10 1.714331e-11 3.097323e-11 -1.337146e-04 -1.143949e-04 -3.769621e-05 -1.168735e-04
 8238.000000 -1.415126e-09 -6.068734e-10 2.361596e-11 4.186096e-11 -1.955100e-04 -1.655546e-04 -5.903147e-05 -1.716422e-04
 8243.000000 -1.484705e-09 -5.289310e-10 4.846926e-11 4.154496e-11 -1.926767e-04 -1.594789e-04 -6.153587e-05 -1.712827e-04
 8248.000000 -1.524660e-09 -6.737673e-10 4.804196e-11 4.325235e-11 -1.873635e-04 -1.562011e-04 -5.888158e-05 -1.789950e-04
 8253.000000 -1.355049e-09 -5.651500e-10 2.889919e-11 4.285609e-11 -1.958418e-04 -1.592313e-04 -6.049832e-05 -1.829868e-04
 8258.000000 -1.315817e-09 -2.802152e-10 2.671495e-11 4.028188e-11 -1.965461e-04 -1.619702e-04 -5.904110e-05 -1.826144e-04
 8263.000000 -1.361501e-09 -7.082106e-10 9.892958e-12 4.079752e-11 -1.927528e-04 -1.622913e-04 -5.525986e-05 -1.733822e-04
 8268.000000 -1.360767e-09 -7.632018e-10 1.301624e-11 4.283010e-11 -1.934985e-04 -1.733685e-04 -5.013357e-05 -1.750829e-04
 8273.000000 -1.455815e-09 -8.736490e-10 2.793362e-11 4.283980e-11 -1.938465e-04 -1.832743e-04 -4.660986e-05 -1.699650e-04
 8278.000000 -1.547265e-09 -5.210388e-10 5.110982e-12 4.131897e-11 -1.859530e-04 -1.837511e-04 -4.231498e-05 -1.729365e-04
 8283.000000 -1.557863e-09 -7.240637e-10 1.758419e-11 4.125922e-11 -1.877167e-04 -1.851234e-04 -3.145108e-05 -1.759973e-04
 8288.000000 -1.514399e-09 -7.082583e-10 -1.163914e-11 3.728411e-11 -1.927372e-04 -1.811174e-04 -3.585561e-05 -1.754216e-04
