# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.078726572242
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.408976747
# ISS.sample_y_position: 17.3670130285
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:40:25
# Scan.end_time: 02/22/2022  15:40:48
# Scan.duration: 00:23
# Scan.transient_id: 197149
# Scan.uid: 49e06040-3b86-4ae5-b838-5afe4925454e
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.925038e-05 -3.654147e-06 -2.230224e-07 -2.210314e-08 -1.363947e-04 -1.201169e-04 -3.997313e-05 -1.165401e-04
 8238.000000 -2.762340e-05 -5.258689e-06 -3.215696e-07 -3.181415e-08 -2.005565e-04 -1.740771e-04 -5.536549e-05 -1.675133e-04
 8243.000000 -2.766606e-05 -5.285032e-06 -3.235498e-07 -3.198120e-08 -1.940967e-04 -1.730396e-04 -5.010293e-05 -1.664159e-04
 8248.000000 -2.776953e-05 -5.326592e-06 -3.261920e-07 -3.217312e-08 -2.013485e-04 -1.714368e-04 -4.682135e-05 -1.667176e-04
 8253.000000 -2.776533e-05 -5.347925e-06 -3.274205e-07 -3.227710e-08 -2.053555e-04 -1.683920e-04 -4.772587e-05 -1.714200e-04
 8258.000000 -2.771289e-05 -5.360512e-06 -3.281235e-07 -3.229754e-08 -1.920549e-04 -1.624275e-04 -4.069837e-05 -1.751047e-04
 8263.000000 -2.781210e-05 -5.403573e-06 -3.309729e-07 -3.249341e-08 -1.879705e-04 -1.549245e-04 -4.158511e-05 -1.736783e-04
 8268.000000 -2.787029e-05 -5.438183e-06 -3.337879e-07 -3.263351e-08 -1.962368e-04 -1.637879e-04 -4.412474e-05 -1.718693e-04
 8273.000000 -2.781549e-05 -5.449292e-06 -3.356520e-07 -3.268218e-08 -2.000181e-04 -1.664095e-04 -5.228286e-05 -1.735103e-04
 8278.000000 -2.782219e-05 -5.472912e-06 -3.387967e-07 -3.278565e-08 -2.001054e-04 -1.579897e-04 -5.116170e-05 -1.730494e-04
 8283.000000 -2.782985e-05 -5.495614e-06 -3.420329e-07 -3.293915e-08 -1.998948e-04 -1.717470e-04 -4.615653e-05 -1.735626e-04
 8288.000000 -2.791578e-05 -5.533824e-06 -3.461771e-07 -3.320241e-08 -1.952498e-04 -1.734499e-04 -2.475607e-05 -1.772783e-04
 8293.000000 -2.793869e-05 -5.557600e-06 -3.494692e-07 -3.339794e-08 -1.946554e-04 -1.692828e-04 -8.645778e-06 -1.841334e-04
