# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4570195955214
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.408976747
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  15:56:48
# Scan.end_time: 02/22/2022  15:57:14
# Scan.duration: 00:25
# Scan.transient_id: 197179
# Scan.uid: d7a715a6-a556-4f8e-ad6b-2a0ef2277ef3
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.641752e-05 -2.282439e-06 -3.565440e-07 -6.211605e-09 -1.352420e-04 -9.865565e-05 -4.604817e-05 -8.969608e-05
 7614.000000 -2.377860e-05 -3.318337e-06 -5.193249e-07 -9.006470e-09 -1.948379e-04 -1.549738e-04 -4.413377e-05 -1.429305e-04
 7619.000000 -2.394897e-05 -3.359531e-06 -5.268760e-07 -9.101636e-09 -1.931010e-04 -1.562377e-04 -4.643866e-05 -1.451365e-04
 7624.000000 -2.400855e-05 -3.385027e-06 -5.319211e-07 -9.154782e-09 -1.956640e-04 -1.548169e-04 -3.877323e-05 -1.403821e-04
 7629.000000 -2.396444e-05 -3.395291e-06 -5.345323e-07 -9.160488e-09 -1.916341e-04 -1.528959e-04 -2.981446e-05 -1.441750e-04
 7634.000000 -2.399277e-05 -3.416063e-06 -5.389303e-07 -9.201842e-09 -1.863591e-04 -1.604559e-04 -2.551324e-05 -1.435642e-04
 7639.000000 -2.407621e-05 -3.445473e-06 -5.445711e-07 -9.255118e-09 -1.845381e-04 -1.711068e-04 -3.342430e-05 -1.446438e-04
 7644.000000 -2.417351e-05 -3.478411e-06 -5.508245e-07 -9.315944e-09 -1.882784e-04 -1.702094e-04 -4.401233e-05 -1.418632e-04
 7649.000000 -2.422352e-05 -3.504023e-06 -5.560437e-07 -9.372783e-09 -1.951614e-04 -1.686229e-04 -4.748002e-05 -1.337623e-04
 7654.000000 -2.418934e-05 -3.515942e-06 -5.589068e-07 -9.379174e-09 -2.035252e-04 -1.834585e-04 -4.114706e-05 -1.488519e-04
 7659.000000 -2.431675e-05 -3.551759e-06 -5.656069e-07 -9.462811e-09 -1.941925e-04 -1.813365e-04 -4.754496e-05 -1.488394e-04
 7664.000000 -2.438133e-05 -3.578210e-06 -5.708042e-07 -9.521490e-09 -2.034066e-04 -1.775441e-04 -5.179965e-05 -1.441973e-04
 7669.000000 -2.440889e-05 -3.599261e-06 -5.751596e-07 -9.560015e-09 -2.014675e-04 -1.720151e-04 -4.741048e-05 -1.359196e-04
 7674.000000 -2.446095e-05 -3.625043e-06 -5.801692e-07 -9.613439e-09 -2.008023e-04 -1.671586e-04 -4.309159e-05 -1.343395e-04
 7679.000000 -2.445192e-05 -3.641141e-06 -5.835068e-07 -9.642793e-09 -1.956426e-04 -1.648756e-04 -4.103167e-05 -1.417406e-04
 7683.000000 -2.445750e-05 -3.657034e-06 -5.867906e-07 -9.667268e-09 -2.070971e-04 -1.786831e-04 -4.211237e-05 -1.426629e-04
 7686.000000 -2.442795e-05 -3.662841e-06 -5.879831e-07 -9.683732e-09 -2.079716e-04 -1.799975e-04 -4.300220e-05 -1.405557e-04
 7688.000000 -2.453151e-05 -3.686416e-06 -5.918390e-07 -9.747432e-09 -1.989001e-04 -1.755301e-04 -4.117067e-05 -1.405184e-04
 7689.000000 -2.448483e-05 -3.682209e-06 -5.912251e-07 -9.733532e-09 -2.011775e-04 -1.783529e-04 -3.986578e-05 -1.391853e-04
 7689.200000 -2.444911e-05 -3.677086e-06 -5.904384e-07 -9.725482e-09 -1.975014e-04 -1.827810e-04 -3.072324e-05 -1.375073e-04
