# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.76867496348876
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.408976747
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:13:42
# Scan.end_time: 02/22/2022  16:14:06
# Scan.duration: 00:24
# Scan.transient_id: 197209
# Scan.uid: d5efe3ca-454a-4ecf-a607-dadd1750ce9e
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.286432e-06 -4.520399e-07 -3.512523e-08 -6.705665e-11 -1.457277e-04 -1.342469e-04 -4.086340e-05 -8.437114e-05
 6444.000000 -1.256695e-05 -6.900377e-07 -5.378369e-08 -1.014229e-10 -2.208379e-04 -2.000903e-04 -6.065964e-05 -1.275050e-04
 6449.000000 -1.266500e-05 -7.008950e-07 -5.486211e-08 -1.064907e-10 -2.253659e-04 -2.038110e-04 -6.116512e-05 -1.287438e-04
 6454.000000 -1.268386e-05 -7.072876e-07 -5.557626e-08 -1.113584e-10 -2.262489e-04 -2.093074e-04 -6.248263e-05 -1.271887e-04
 6459.000000 -1.278214e-05 -7.186440e-07 -5.672380e-08 -1.126228e-10 -2.249626e-04 -2.218086e-04 -6.007092e-05 -1.243555e-04
 6464.000000 -1.282929e-05 -7.270114e-07 -5.761068e-08 -1.182508e-10 -2.240164e-04 -2.225966e-04 -6.049186e-05 -1.325058e-04
 6469.000000 -1.286157e-05 -7.344289e-07 -5.843506e-08 -1.186441e-10 -2.263840e-04 -2.153948e-04 -5.889741e-05 -1.269086e-04
 6474.000000 -1.293363e-05 -7.448310e-07 -5.944160e-08 -1.191746e-10 -2.276342e-04 -2.137415e-04 -5.634668e-05 -1.268382e-04
 6479.000000 -1.298427e-05 -7.540073e-07 -6.042826e-08 -1.154010e-10 -2.214367e-04 -2.155852e-04 -6.208266e-05 -1.266186e-04
 6484.000000 -1.303152e-05 -7.624336e-07 -6.140265e-08 -1.279921e-10 -2.196453e-04 -2.126599e-04 -6.073168e-05 -1.329949e-04
 6489.000000 -1.310409e-05 -7.725055e-07 -6.241215e-08 -1.337378e-10 -2.163541e-04 -2.125101e-04 -6.028947e-05 -1.419365e-04
 6494.000000 -1.315917e-05 -7.816704e-07 -6.342533e-08 -1.311338e-10 -2.149247e-04 -2.015031e-04 -4.984295e-05 -1.447238e-04
 6499.000000 -1.324131e-05 -7.923073e-07 -6.451932e-08 -1.377539e-10 -2.098752e-04 -2.101380e-04 -5.344634e-05 -1.437417e-04
 6504.000000 -1.330907e-05 -8.026607e-07 -6.556164e-08 -1.427777e-10 -2.192510e-04 -2.098330e-04 -4.984901e-05 -1.457953e-04
 6509.000000 -1.331605e-05 -8.092900e-07 -6.638180e-08 -1.495815e-10 -2.153355e-04 -2.001727e-04 -5.096501e-05 -1.466528e-04
 6513.000000 -1.328933e-05 -8.124341e-07 -6.685888e-08 -1.519597e-10 -2.146732e-04 -1.946735e-04 -6.420108e-05 -1.443771e-04
 6516.000000 -1.345581e-05 -8.268479e-07 -6.818169e-08 -1.540259e-10 -2.210544e-04 -1.968971e-04 -7.137528e-05 -1.569866e-04
 6518.000000 -1.349454e-05 -8.320403e-07 -6.872895e-08 -1.550558e-10 -2.170012e-04 -2.072052e-04 -7.430172e-05 -1.553829e-04
 6519.000000 -1.350979e-05 -8.335043e-07 -6.888721e-08 -1.544094e-10 -2.187841e-04 -2.047178e-04 -7.233373e-05 -1.494824e-04
 6519.200000 -1.351821e-05 -8.340977e-07 -6.886391e-08 -1.579317e-10 -2.180699e-04 -1.993168e-04 -8.007964e-05 -1.534593e-04
 6519.400000 -1.350883e-05 -8.340396e-07 -6.905551e-08 -1.565507e-10 -2.165539e-04 -2.052222e-04 -7.125658e-05 -1.517656e-04
 6519.600000 -1.350562e-05 -8.340336e-07 -6.905322e-08 -1.669476e-10 -2.135138e-04 -1.958793e-04 -6.866908e-05 -1.472860e-04
 6519.800000 -1.351680e-05 -8.349313e-07 -6.894984e-08 -1.558645e-10 -2.127776e-04 -1.952227e-04 -6.602461e-05 -1.389928e-04
 6520.000000 -1.352043e-05 -8.348794e-07 -6.908251e-08 -1.509293e-10 -2.106252e-04 -2.103795e-04 -6.470634e-05 -1.355377e-04
 6520.200000 -1.351585e-05 -8.349265e-07 -6.921527e-08 -1.646239e-10 -2.130626e-04 -2.144414e-04 -6.706107e-05 -1.414848e-04
 6520.400000 -1.352961e-05 -8.360875e-07 -6.914077e-08 -1.609345e-10 -2.172849e-04 -2.095058e-04 -7.116646e-05 -1.440689e-04
 6520.600000 -1.353230e-05 -8.366306e-07 -6.911217e-08 -1.624554e-10 -2.148528e-04 -2.027047e-04 -6.826536e-05 -1.396439e-04
 6520.800000 -1.353538e-05 -8.371002e-07 -6.932219e-08 -1.569975e-10 -2.154494e-04 -1.959548e-04 -6.200267e-05 -1.374885e-04
 6521.000000 -1.352881e-05 -8.373373e-07 -6.922299e-08 -1.596995e-10 -2.165041e-04 -1.935978e-04 -7.461467e-05 -1.409529e-04
 6521.200000 -1.352747e-05 -8.378469e-07 -6.940438e-08 -1.640115e-10 -2.174919e-04 -1.897524e-04 -6.809734e-05 -1.455868e-04
 6521.400000 -1.353293e-05 -8.380955e-07 -6.931622e-08 -1.598692e-10 -2.188641e-04 -1.857074e-04 -7.314326e-05 -1.446314e-04
 6521.600000 -1.353591e-05 -8.387803e-07 -6.942927e-08 -1.662404e-10 -2.227856e-04 -1.899526e-04 -6.762584e-05 -1.354270e-04
 6521.800000 -1.353664e-05 -8.385201e-07 -6.946510e-08 -1.604674e-10 -2.203323e-04 -1.900273e-04 -7.368145e-05 -1.287013e-04
 6522.000000 -1.352492e-05 -8.379488e-07 -6.937035e-08 -1.679763e-10 -2.084868e-04 -1.903819e-04 -6.382759e-05 -1.235517e-04
 6522.200000 -1.353204e-05 -8.389035e-07 -6.942944e-08 -1.703668e-10 -2.052536e-04 -1.915922e-04 -7.045557e-05 -1.282194e-04
 6522.400000 -1.352762e-05 -8.389749e-07 -6.955479e-08 -1.665139e-10 -2.091530e-04 -1.873845e-04 -5.545964e-05 -1.334640e-04
