# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.49588171667193
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.408976747
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:28:41
# Scan.end_time: 02/22/2022  15:29:07
# Scan.duration: 00:26
# Scan.transient_id: 197129
# Scan.uid: 0fe1d660-12a5-426a-97e2-f54f661ee612
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.142897e-09 -5.055737e-10 1.738483e-11 2.905057e-11 -1.391317e-04 -1.114158e-04 -5.434022e-05 -1.180300e-04
 8238.000000 -1.542749e-09 -5.763700e-10 3.763978e-11 4.512247e-11 -2.076426e-04 -1.617644e-04 -7.335128e-05 -1.610127e-04
 8243.000000 -1.540628e-09 -7.266747e-10 4.034043e-11 4.458162e-11 -2.099530e-04 -1.624882e-04 -6.900689e-05 -1.669279e-04
 8248.000000 -1.591480e-09 -1.186259e-09 2.834659e-11 4.346445e-11 -1.974193e-04 -1.608359e-04 -7.213375e-05 -1.648553e-04
 8253.000000 -1.563309e-09 -1.062816e-09 2.096367e-11 4.543076e-11 -1.936726e-04 -1.600112e-04 -7.607978e-05 -1.670960e-04
 8258.000000 -1.611456e-09 -6.353494e-10 1.386632e-11 4.285388e-11 -1.971572e-04 -1.648294e-04 -7.841038e-05 -1.710986e-04
 8263.000000 -1.539392e-09 -7.949894e-10 7.300309e-12 3.917537e-11 -1.972388e-04 -1.642181e-04 -7.756196e-05 -1.763875e-04
 8268.000000 -1.478982e-09 -8.637533e-10 3.378974e-11 4.001526e-11 -1.959863e-04 -1.656846e-04 -7.482413e-05 -1.720853e-04
 8273.000000 -1.524851e-09 -7.940118e-10 2.495104e-11 4.524604e-11 -2.034540e-04 -1.665357e-04 -6.548134e-05 -1.713303e-04
 8278.000000 -1.549463e-09 -1.057694e-09 1.172642e-11 4.499923e-11 -2.021964e-04 -1.671697e-04 -6.265984e-05 -1.728323e-04
 8283.000000 -1.708137e-09 -1.259589e-09 -1.936792e-11 4.227349e-11 -2.045528e-04 -1.689900e-04 -6.481939e-05 -1.755911e-04
 8288.000000 -1.729492e-09 -1.176328e-09 3.058095e-11 4.243098e-11 -2.066856e-04 -1.776696e-04 -7.651126e-05 -1.769470e-04
