# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.7031920237541
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089958205
# ISS.sample_y_position: 17.3670130285
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:40:56
# Scan.end_time: 02/22/2022  15:41:22
# Scan.duration: 00:26
# Scan.transient_id: 197150
# Scan.uid: 560f8d8d-24ae-4cfd-bcde-01c7d11dc8e4
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.931007e-05 -3.663208e-06 -2.236142e-07 -2.218774e-08 -1.342152e-04 -1.271512e-04 -2.722098e-05 -1.045924e-04
 8238.000000 -2.768868e-05 -5.267872e-06 -3.220550e-07 -3.189978e-08 -1.874901e-04 -1.925584e-04 -5.714819e-05 -1.479641e-04
 8243.000000 -2.765994e-05 -5.279584e-06 -3.231578e-07 -3.199628e-08 -1.860313e-04 -1.810575e-04 -6.218903e-05 -1.548705e-04
 8248.000000 -2.775325e-05 -5.318547e-06 -3.255817e-07 -3.219568e-08 -1.937728e-04 -1.861453e-04 -6.268764e-05 -1.478099e-04
 8253.000000 -2.785326e-05 -5.360848e-06 -3.280508e-07 -3.239571e-08 -2.008595e-04 -1.878535e-04 -6.300675e-05 -1.483835e-04
 8258.000000 -2.782022e-05 -5.376826e-06 -3.289040e-07 -3.244950e-08 -2.057484e-04 -1.800585e-04 -6.480156e-05 -1.547765e-04
 8263.000000 -2.788746e-05 -5.413227e-06 -3.312986e-07 -3.261045e-08 -2.029796e-04 -1.801129e-04 -5.954358e-05 -1.562301e-04
 8268.000000 -2.793282e-05 -5.445355e-06 -3.339543e-07 -3.274471e-08 -1.973311e-04 -1.845808e-04 -5.862781e-05 -1.552710e-04
 8273.000000 -2.794627e-05 -5.470523e-06 -3.367276e-07 -3.286526e-08 -1.949009e-04 -1.936850e-04 -6.987582e-05 -1.636319e-04
 8278.000000 -2.789499e-05 -5.482288e-06 -3.391258e-07 -3.292360e-08 -1.888639e-04 -1.998957e-04 -7.071694e-05 -1.733073e-04
 8283.000000 -2.790158e-05 -5.504900e-06 -3.422844e-07 -3.304663e-08 -1.824033e-04 -1.910821e-04 -6.266368e-05 -1.720758e-04
 8288.000000 -2.792362e-05 -5.529306e-06 -3.455995e-07 -3.322555e-08 -1.805991e-04 -1.788409e-04 -5.230060e-05 -1.628778e-04
 8293.000000 -2.790790e-05 -5.545397e-06 -3.483828e-07 -3.339513e-08 -1.843362e-04 -1.801662e-04 -4.117492e-05 -1.629299e-04
 8298.000000 -2.797286e-05 -5.576885e-06 -3.521787e-07 -3.368305e-08 -1.812136e-04 -1.849936e-04 -3.215837e-05 -1.723809e-04
 8303.000000 -2.794594e-05 -5.587723e-06 -3.546479e-07 -3.390645e-08 -1.840555e-04 -1.915582e-04 -3.472299e-05 -1.750536e-04
 8307.000000 -2.799211e-05 -5.610028e-06 -3.573650e-07 -3.419883e-08 -1.857718e-04 -1.821094e-04 -3.893553e-05 -1.715188e-04
 8310.000000 -2.806726e-05 -5.634691e-06 -3.598005e-07 -3.451167e-08 -1.844537e-04 -1.814762e-04 -4.313155e-05 -1.612080e-04
 8312.000000 -2.804834e-05 -5.636227e-06 -3.604591e-07 -3.463620e-08 -1.821091e-04 -1.839444e-04 -4.362744e-05 -1.660945e-04
 8313.000000 -2.805591e-05 -5.640681e-06 -3.608980e-07 -3.473967e-08 -1.860194e-04 -1.843099e-04 -3.946963e-05 -1.674089e-04
 8313.200000 -2.806703e-05 -5.643291e-06 -3.611926e-07 -3.478446e-08 -1.845142e-04 -1.825755e-04 -3.856717e-05 -1.669211e-04
 8313.400000 -2.803214e-05 -5.635429e-06 -3.606629e-07 -3.473223e-08 -1.826819e-04 -1.860689e-04 -3.914960e-05 -1.715043e-04
 8313.600000 -2.797919e-05 -5.624937e-06 -3.601670e-07 -3.469556e-08 -1.863237e-04 -1.908354e-04 -4.311550e-05 -1.845905e-04
 8313.800000 -2.805643e-05 -5.642145e-06 -3.612714e-07 -3.476874e-08 -1.831552e-04 -1.881318e-04 -4.272106e-05 -1.735935e-04
 8314.000000 -2.795830e-05 -5.621848e-06 -3.599948e-07 -3.472485e-08 -1.839022e-04 -1.806732e-04 -3.772630e-05 -1.541439e-04
