# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.0614050713102
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089958205
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  15:57:22
# Scan.end_time: 02/22/2022  15:57:47
# Scan.duration: 00:25
# Scan.transient_id: 197180
# Scan.uid: 539fcc17-d7de-4691-a751-484473725fcf
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.612724e-05 -2.240306e-06 -3.500226e-07 -6.104593e-09 -1.520168e-04 -1.273841e-04 -5.222891e-05 -7.701153e-05
 7614.000000 -2.394765e-05 -3.340357e-06 -5.226309e-07 -9.084832e-09 -2.169446e-04 -1.831055e-04 -6.811825e-05 -9.732875e-05
 7619.000000 -2.407819e-05 -3.375348e-06 -5.291944e-07 -9.170184e-09 -2.231943e-04 -1.854559e-04 -7.718343e-05 -1.112760e-04
 7624.000000 -2.412165e-05 -3.398070e-06 -5.338102e-07 -9.199818e-09 -2.254374e-04 -1.821539e-04 -8.253034e-05 -1.188339e-04
 7629.000000 -2.411805e-05 -3.414456e-06 -5.373480e-07 -9.216625e-09 -2.229512e-04 -1.780827e-04 -7.687169e-05 -1.108622e-04
 7634.000000 -2.411831e-05 -3.430470e-06 -5.409745e-07 -9.257647e-09 -2.203486e-04 -1.847873e-04 -7.211235e-05 -1.075879e-04
 7639.000000 -2.400816e-05 -3.430931e-06 -5.422024e-07 -9.241682e-09 -2.125197e-04 -1.873922e-04 -6.754913e-05 -1.074956e-04
 7644.000000 -2.398861e-05 -3.445089e-06 -5.456036e-07 -9.251637e-09 -2.108386e-04 -1.929006e-04 -7.222535e-05 -8.851042e-05
 7649.000000 -2.417803e-05 -3.491694e-06 -5.539339e-07 -9.361808e-09 -2.207283e-04 -1.972452e-04 -7.559858e-05 -8.907013e-05
 7654.000000 -2.427095e-05 -3.523554e-06 -5.599882e-07 -9.426794e-09 -2.248548e-04 -1.966841e-04 -6.141480e-05 -9.785214e-05
 7659.000000 -2.428468e-05 -3.542311e-06 -5.639982e-07 -9.453565e-09 -2.183280e-04 -1.925460e-04 -5.780520e-05 -1.059607e-04
 7664.000000 -2.432286e-05 -3.565019e-06 -5.685877e-07 -9.507308e-09 -2.194717e-04 -1.939926e-04 -7.124995e-05 -1.115990e-04
 7669.000000 -2.435372e-05 -3.587197e-06 -5.731518e-07 -9.541883e-09 -2.140998e-04 -1.894936e-04 -5.752317e-05 -1.065484e-04
 7674.000000 -2.438510e-05 -3.609228e-06 -5.776134e-07 -9.591635e-09 -2.126751e-04 -1.821346e-04 -5.251374e-05 -1.095311e-04
 7679.000000 -2.442388e-05 -3.632828e-06 -5.821251e-07 -9.637489e-09 -2.107495e-04 -1.767123e-04 -5.204213e-05 -1.421518e-04
 7683.000000 -2.447214e-05 -3.653933e-06 -5.859763e-07 -9.677855e-09 -2.133733e-04 -1.716794e-04 -6.534758e-05 -1.496759e-04
 7686.000000 -2.433788e-05 -3.643181e-06 -5.846130e-07 -9.658911e-09 -2.121025e-04 -1.665230e-04 -7.062253e-05 -1.509557e-04
 7688.000000 -2.453441e-05 -3.681125e-06 -5.907020e-07 -9.741485e-09 -2.177212e-04 -1.625161e-04 -6.993238e-05 -1.466071e-04
 7689.000000 -2.453872e-05 -3.685129e-06 -5.912885e-07 -9.754390e-09 -2.152336e-04 -1.626427e-04 -8.106132e-05 -1.481849e-04
 7689.200000 -2.453700e-05 -3.685119e-06 -5.913096e-07 -9.758237e-09 -2.188111e-04 -1.572270e-04 -8.221304e-05 -1.468653e-04
 7689.400000 -2.453966e-05 -3.686594e-06 -5.915728e-07 -9.766866e-09 -2.184734e-04 -1.541895e-04 -8.016550e-05 -1.521563e-04
 7689.600000 -2.456026e-05 -3.690703e-06 -5.921792e-07 -9.788955e-09 -2.180361e-04 -1.671928e-04 -7.174614e-05 -1.531567e-04
 7689.800000 -2.457527e-05 -3.693130e-06 -5.927062e-07 -9.813047e-09 -2.114420e-04 -1.767470e-04 -6.519441e-05 -1.354324e-04
 7690.000000 -2.451409e-05 -3.683404e-06 -5.910589e-07 -9.770560e-09 -2.112041e-04 -1.740944e-04 -7.611697e-05 -1.341646e-04
 7690.200000 -2.455624e-05 -3.691557e-06 -5.923990e-07 -9.769659e-09 -2.063775e-04 -1.655346e-04 -7.986604e-05 -1.446118e-04
 7690.400000 -2.454485e-05 -3.691023e-06 -5.922363e-07 -9.756324e-09 -1.972859e-04 -1.681435e-04 -6.271589e-05 -1.431258e-04
 7690.600000 -2.458005e-05 -3.696867e-06 -5.931806e-07 -9.780630e-09 -2.043204e-04 -1.724040e-04 -7.100973e-05 -1.496867e-04
 7690.800000 -2.461358e-05 -3.702958e-06 -5.941737e-07 -9.822904e-09 -1.994303e-04 -1.561573e-04 -6.441141e-05 -1.461328e-04
 7691.000000 -2.461726e-05 -3.705044e-06 -5.944435e-07 -9.794417e-09 -2.021978e-04 -1.593272e-04 -6.449789e-05 -1.461589e-04
 7691.200000 -2.458860e-05 -3.700244e-06 -5.937371e-07 -9.790371e-09 -2.056634e-04 -1.534068e-04 -7.077116e-05 -1.457791e-04
 7691.400000 -2.458543e-05 -3.700794e-06 -5.937913e-07 -9.784649e-09 -2.027254e-04 -1.499834e-04 -5.594138e-05 -1.349727e-04
 7691.600000 -2.458336e-05 -3.701338e-06 -5.937415e-07 -9.805779e-09 -2.052204e-04 -1.482043e-04 -7.190868e-05 -1.389065e-04
 7691.800000 -2.461385e-05 -3.706824e-06 -5.944915e-07 -9.815983e-09 -2.041879e-04 -1.581962e-04 -9.610615e-05 -1.556479e-04
 7692.000000 -2.464687e-05 -3.712209e-06 -5.955466e-07 -9.819293e-09 -2.013371e-04 -1.606265e-04 -8.032272e-05 -1.475074e-04
 7692.200000 -2.464050e-05 -3.712206e-06 -5.954936e-07 -9.824866e-09 -2.083707e-04 -1.484092e-04 -8.476810e-05 -1.529313e-04
 7692.400000 -2.465117e-05 -3.714573e-06 -5.958818e-07 -9.847480e-09 -2.079529e-04 -1.575262e-04 -9.621123e-05 -1.490459e-04
 7692.600000 -2.464772e-05 -3.714473e-06 -5.958476e-07 -9.846870e-09 -2.174276e-04 -1.590537e-04 -1.035074e-04 -1.550988e-04
 7692.800000 -2.458146e-05 -3.704469e-06 -5.942775e-07 -9.828000e-09 -2.118382e-04 -1.571373e-04 -9.536453e-05 -1.525954e-04
 7693.000000 -2.463042e-05 -3.713486e-06 -5.954377e-07 -9.817361e-09 -2.083928e-04 -1.526652e-04 -1.010191e-04 -1.597886e-04
 7693.200000 -2.458840e-05 -3.707142e-06 -5.943034e-07 -9.808803e-09 -2.102240e-04 -1.521302e-04 -9.994493e-05 -1.559167e-04
 7693.400000 -2.457803e-05 -3.706130e-06 -5.944071e-07 -9.815642e-09 -2.122700e-04 -1.600932e-04 -1.170226e-04 -1.563905e-04
 7693.600000 -2.450778e-05 -3.696044e-06 -5.929688e-07 -9.791118e-09 -2.117854e-04 -1.649186e-04 -1.197248e-04 -1.559536e-04
 7693.800000 -2.453493e-05 -3.700998e-06 -5.935244e-07 -9.803637e-09 -2.100845e-04 -1.716874e-04 -1.170559e-04 -1.637996e-04
 7694.000000 -2.454735e-05 -3.703318e-06 -5.940292e-07 -9.798605e-09 -2.150178e-04 -1.816489e-04 -9.380857e-05 -1.572314e-04
 7694.200000 -2.454020e-05 -3.702389e-06 -5.938419e-07 -9.791901e-09 -2.089744e-04 -1.735358e-04 -9.587722e-05 -1.631095e-04
 7694.400000 -2.455802e-05 -3.706150e-06 -5.943419e-07 -9.819686e-09 -2.092840e-04 -1.771865e-04 -9.786939e-05 -1.599495e-04
 7694.600000 -2.458855e-05 -3.711364e-06 -5.952077e-07 -9.831743e-09 -2.128319e-04 -1.647913e-04 -1.037110e-04 -1.636689e-04
 7694.800000 -2.461316e-05 -3.715535e-06 -5.959587e-07 -9.830198e-09 -2.134454e-04 -1.595845e-04 -1.043816e-04 -1.568031e-04
 7695.000000 -2.464249e-05 -3.721099e-06 -5.967843e-07 -9.857184e-09 -2.192702e-04 -1.674321e-04 -9.661955e-05 -1.534328e-04
