# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.37433935568015
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089958205
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:14:15
# Scan.end_time: 02/22/2022  16:14:41
# Scan.duration: 00:25
# Scan.transient_id: 197210
# Scan.uid: bd2fad98-9fb6-4e81-9597-b3d2bb593bd1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.300753e-06 -4.526846e-07 -3.517665e-08 -6.544994e-11 -1.439179e-04 -1.256716e-04 -4.334315e-05 -8.750498e-05
 6444.000000 -1.262968e-05 -6.931042e-07 -5.398373e-08 -1.002137e-10 -2.283313e-04 -1.925867e-04 -5.726146e-05 -1.357150e-04
 6449.000000 -1.272795e-05 -7.040508e-07 -5.500490e-08 -1.051895e-10 -2.300911e-04 -1.881532e-04 -5.942525e-05 -1.329742e-04
 6454.000000 -1.272484e-05 -7.099842e-07 -5.572166e-08 -1.101640e-10 -2.310771e-04 -1.862393e-04 -4.548220e-05 -1.361926e-04
 6459.000000 -1.280243e-05 -7.201435e-07 -5.681451e-08 -1.087404e-10 -2.187310e-04 -1.783106e-04 -4.696771e-05 -1.385365e-04
 6464.000000 -1.287948e-05 -7.298324e-07 -5.777040e-08 -1.134040e-10 -2.175575e-04 -1.735967e-04 -5.946835e-05 -1.343380e-04
 6469.000000 -1.290900e-05 -7.372183e-07 -5.856237e-08 -1.210274e-10 -2.266299e-04 -1.749720e-04 -5.818968e-05 -1.336798e-04
 6474.000000 -1.299421e-05 -7.482700e-07 -5.971181e-08 -1.182188e-10 -2.222719e-04 -1.764185e-04 -6.173341e-05 -1.338585e-04
 6479.000000 -1.305736e-05 -7.581270e-07 -6.070638e-08 -1.205724e-10 -2.240537e-04 -1.876113e-04 -5.973750e-05 -1.368942e-04
 6484.000000 -1.312388e-05 -7.678701e-07 -6.174687e-08 -1.282907e-10 -2.144932e-04 -1.916707e-04 -6.719121e-05 -1.381312e-04
 6489.000000 -1.320544e-05 -7.783246e-07 -6.282528e-08 -1.318403e-10 -2.053937e-04 -1.916397e-04 -7.287343e-05 -1.410242e-04
 6494.000000 -1.325862e-05 -7.876305e-07 -6.378591e-08 -1.388568e-10 -2.112840e-04 -1.871442e-04 -5.859724e-05 -1.337330e-04
