# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.1036251545698
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089958205
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:29:15
# Scan.end_time: 02/22/2022  15:29:41
# Scan.duration: 00:25
# Scan.transient_id: 197130
# Scan.uid: cd329bc9-41f1-4fe1-9337-d4b65cd032f1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.175229e-09 -5.465208e-10 4.587074e-11 2.778241e-11 -1.466618e-04 -1.134269e-04 -3.682273e-05 -9.770067e-05
 8238.000000 -1.650549e-09 -5.983183e-10 7.063005e-11 3.778144e-11 -2.038484e-04 -1.690422e-04 -4.517607e-05 -1.390493e-04
 8243.000000 -1.595974e-09 -3.440680e-10 4.773534e-11 4.063617e-11 -1.955287e-04 -1.614661e-04 -3.908888e-05 -1.485695e-04
 8248.000000 -1.677626e-09 -3.945929e-10 5.808239e-11 4.063681e-11 -1.976837e-04 -1.561481e-04 -5.136748e-05 -1.527788e-04
 8253.000000 -1.616389e-09 -8.821897e-10 1.987812e-11 4.257925e-11 -2.038862e-04 -1.607567e-04 -5.033251e-05 -1.529998e-04
 8258.000000 -1.543280e-09 -8.188942e-10 4.804114e-11 4.218559e-11 -1.936884e-04 -1.595668e-04 -5.554575e-05 -1.516643e-04
 8263.000000 -1.576965e-09 -6.416717e-10 2.844843e-11 3.751424e-11 -1.928155e-04 -1.627450e-04 -5.473062e-05 -1.551422e-04
 8268.000000 -1.644675e-09 -9.948729e-10 5.990106e-12 3.832966e-11 -1.934770e-04 -1.696921e-04 -5.922416e-05 -1.597532e-04
 8273.000000 -1.701035e-09 -9.900135e-10 2.939442e-11 3.902286e-11 -1.899686e-04 -1.665455e-04 -6.215272e-05 -1.572598e-04
 8278.000000 -1.594790e-09 -9.006969e-10 1.682849e-11 4.160485e-11 -1.994026e-04 -1.654914e-04 -5.853726e-05 -1.505184e-04
 8283.000000 -1.590610e-09 -7.509243e-10 2.086658e-11 4.165142e-11 -2.077184e-04 -1.566220e-04 -7.063555e-05 -1.558327e-04
 8288.000000 -1.653357e-09 -5.116099e-10 4.897250e-11 3.946982e-11 -2.134513e-04 -1.571130e-04 -6.973821e-05 -1.472412e-04
 8293.000000 -1.775485e-09 -4.785697e-10 4.009048e-11 3.714991e-11 -2.098660e-04 -1.640004e-04 -6.849372e-05 -1.520854e-04
 8298.000000 -1.734534e-09 -4.794591e-10 4.183223e-11 3.898905e-11 -2.112383e-04 -1.631134e-04 -6.564755e-05 -1.523767e-04
 8303.000000 -1.942608e-09 -6.904361e-10 2.930467e-11 3.968589e-11 -2.062770e-04 -1.687248e-04 -6.034639e-05 -1.555170e-04
 8307.000000 -1.876448e-09 -7.056608e-10 2.161332e-11 4.180609e-11 -2.188482e-04 -1.665799e-04 -5.389597e-05 -1.493894e-04
 8310.000000 -1.791233e-09 -7.112650e-10 4.938537e-11 4.205911e-11 -2.194661e-04 -1.623050e-04 -5.450161e-05 -1.491265e-04
 8312.000000 -1.695785e-09 -4.803331e-10 5.156964e-11 4.008407e-11 -2.112270e-04 -1.565996e-04 -5.748246e-05 -1.456204e-04
 8313.000000 -1.676811e-09 -3.320797e-10 9.987441e-11 4.114320e-11 -2.161046e-04 -1.631719e-04 -7.657072e-05 -1.459764e-04
 8313.200000 -1.742301e-09 -3.044162e-10 8.341220e-11 4.002509e-11 -2.159091e-04 -1.656469e-04 -7.324702e-05 -1.458457e-04
 8313.400000 -1.756732e-09 -2.441050e-10 8.664200e-11 3.540706e-11 -2.095081e-04 -1.600496e-04 -6.193847e-05 -1.382896e-04
 8313.600000 -1.616096e-09 -1.979407e-10 2.896412e-11 4.052822e-11 -2.017295e-04 -1.622721e-04 -5.925511e-05 -1.374485e-04
 8313.800000 -1.551517e-09 -6.268395e-10 8.786003e-11 4.505800e-11 -1.969716e-04 -1.520773e-04 -5.410300e-05 -1.255194e-04
 8314.000000 -1.702272e-09 -9.603930e-10 7.071618e-11 4.265190e-11 -1.986724e-04 -1.618154e-04 -5.570463e-05 -1.323951e-04
 8314.200000 -1.640563e-09 -8.079944e-10 1.403804e-10 3.622026e-11 -2.007415e-04 -1.683902e-04 -4.740187e-05 -1.401685e-04
 8314.400000 -1.635765e-09 -8.127439e-10 1.864437e-10 4.043311e-11 -2.056082e-04 -1.696780e-04 -5.115973e-05 -1.431035e-04
 8314.600000 -1.708258e-09 -7.067574e-10 5.196432e-11 4.369385e-11 -1.958883e-04 -1.709343e-04 -6.255937e-05 -1.487612e-04
 8314.800000 -1.698186e-09 -7.227128e-10 1.613842e-10 4.604488e-11 -2.022135e-04 -1.679067e-04 -5.873568e-05 -1.397718e-04
 8315.000000 -1.671020e-09 -1.011486e-09 9.644516e-11 5.457779e-11 -2.063684e-04 -1.662122e-04 -6.264286e-05 -1.373347e-04
