# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.30120698157043
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089958205
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:41:30
# Scan.end_time: 02/22/2022  15:41:55
# Scan.duration: 00:25
# Scan.transient_id: 197151
# Scan.uid: b94aea22-7c74-44b8-8041-5e09a4f1bf7c
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.930394e-05 -3.661833e-06 -2.235923e-07 -2.217503e-08 -1.177268e-04 -1.241261e-04 -2.125993e-05 -1.057428e-04
 8238.000000 -2.767782e-05 -5.264436e-06 -3.218526e-07 -3.190490e-08 -1.626547e-04 -1.722494e-04 -3.774499e-05 -1.454057e-04
 8243.000000 -2.769754e-05 -5.286768e-06 -3.235870e-07 -3.204012e-08 -1.711627e-04 -1.792049e-04 -3.495901e-05 -1.462626e-04
 8248.000000 -2.783368e-05 -5.334902e-06 -3.267164e-07 -3.229549e-08 -1.760675e-04 -1.727064e-04 -3.727163e-05 -1.473447e-04
 8253.000000 -2.784693e-05 -5.360039e-06 -3.282523e-07 -3.239760e-08 -1.802325e-04 -1.755462e-04 -4.047397e-05 -1.385889e-04
 8258.000000 -2.782735e-05 -5.379091e-06 -3.293089e-07 -3.244484e-08 -1.689112e-04 -1.842181e-04 -2.321092e-05 -1.350985e-04
 8263.000000 -2.795799e-05 -5.428257e-06 -3.324666e-07 -3.267705e-08 -1.641058e-04 -1.853017e-04 -9.268553e-06 -1.296036e-04
 8268.000000 -2.798021e-05 -5.455683e-06 -3.347943e-07 -3.280247e-08 -1.739321e-04 -1.832198e-04 -2.235865e-05 -1.313180e-04
 8273.000000 -2.793862e-05 -5.468873e-06 -3.368248e-07 -3.285637e-08 -1.794005e-04 -1.807238e-04 -3.635217e-05 -1.338141e-04
 8278.000000 -2.792542e-05 -5.488559e-06 -3.396784e-07 -3.294188e-08 -1.800954e-04 -1.801190e-04 -1.966306e-05 -1.427038e-04
 8283.000000 -2.799881e-05 -5.525161e-06 -3.437448e-07 -3.315724e-08 -1.910348e-04 -1.863231e-04 -2.772796e-05 -1.480045e-04
 8288.000000 -2.801017e-05 -5.547205e-06 -3.469576e-07 -3.332936e-08 -1.816067e-04 -1.833490e-04 -2.253259e-05 -1.423515e-04
 8293.000000 -2.796742e-05 -5.557347e-06 -3.494005e-07 -3.345970e-08 -1.790620e-04 -1.829467e-04 -1.930067e-05 -1.362756e-04
 8298.000000 -2.801226e-05 -5.584888e-06 -3.529227e-07 -3.372388e-08 -1.901337e-04 -1.918001e-04 -2.078369e-05 -1.291760e-04
 8303.000000 -2.797690e-05 -5.593954e-06 -3.551687e-07 -3.394092e-08 -1.839618e-04 -1.888506e-04 -2.378642e-05 -1.357404e-04
 8307.000000 -2.805860e-05 -5.624077e-06 -3.583602e-07 -3.428667e-08 -1.796202e-04 -1.837031e-04 -2.059755e-05 -1.352866e-04
 8310.000000 -2.806967e-05 -5.636188e-06 -3.602350e-07 -3.450017e-08 -1.772607e-04 -1.811433e-04 -1.943045e-05 -1.483547e-04
 8312.000000 -2.803052e-05 -5.633466e-06 -3.607398e-07 -3.461868e-08 -1.768913e-04 -1.832671e-04 -1.823031e-05 -1.559486e-04
 8313.000000 -2.800548e-05 -5.629917e-06 -3.606747e-07 -3.466849e-08 -1.784181e-04 -1.752794e-04 -1.569581e-05 -1.476571e-04
 8313.200000 -2.798645e-05 -5.626265e-06 -3.605362e-07 -3.462743e-08 -1.750102e-04 -1.704332e-04 -1.472042e-05 -1.461148e-04
 8313.400000 -2.801244e-05 -5.631474e-06 -3.610022e-07 -3.472216e-08 -1.798347e-04 -1.775578e-04 -2.898713e-05 -1.443014e-04
 8313.600000 -2.805016e-05 -5.639732e-06 -3.615787e-07 -3.475205e-08 -1.809927e-04 -1.807253e-04 -1.486502e-05 -1.389460e-04
 8313.800000 -2.810085e-05 -5.651444e-06 -3.625227e-07 -3.485632e-08 -1.839344e-04 -1.833271e-04 -3.136859e-05 -1.504237e-04
 8314.000000 -2.809567e-05 -5.651154e-06 -3.624364e-07 -3.485511e-08 -1.795877e-04 -1.815034e-04 -1.658232e-05 -1.362365e-04
 8314.200000 -2.805860e-05 -5.643421e-06 -3.620761e-07 -3.488268e-08 -1.804033e-04 -1.826756e-04 -1.340259e-05 -1.319348e-04
 8314.400000 -2.806118e-05 -5.644898e-06 -3.621675e-07 -3.486889e-08 -1.818129e-04 -1.804808e-04 -2.519811e-05 -1.436554e-04
 8314.600000 -2.806655e-05 -5.646857e-06 -3.621441e-07 -3.492623e-08 -1.835361e-04 -1.780027e-04 -2.007268e-05 -1.487136e-04
 8314.800000 -2.808154e-05 -5.650282e-06 -3.624918e-07 -3.493801e-08 -1.989666e-04 -1.885403e-04 -3.679623e-05 -1.497229e-04
 8315.000000 -2.801316e-05 -5.635042e-06 -3.616105e-07 -3.487245e-08 -1.992922e-04 -1.809736e-04 -1.921970e-05 -1.360138e-04
 8315.200000 -2.796450e-05 -5.625709e-06 -3.612824e-07 -3.484629e-08 -1.855059e-04 -1.768905e-04 -1.952245e-05 -1.326759e-04
 8315.400000 -2.789128e-05 -5.610821e-06 -3.600819e-07 -3.475385e-08 -1.826667e-04 -1.758203e-04 -1.841138e-05 -1.374349e-04
 8315.600000 -2.795028e-05 -5.623672e-06 -3.609698e-07 -3.481997e-08 -1.852898e-04 -1.707906e-04 -3.018403e-05 -1.444227e-04
 8315.800000 -2.801679e-05 -5.638339e-06 -3.620803e-07 -3.500265e-08 -1.801651e-04 -1.788282e-04 -3.992269e-05 -1.465271e-04
 8316.000000 -2.806526e-05 -5.649553e-06 -3.626844e-07 -3.509725e-08 -1.831693e-04 -1.767246e-04 -2.413656e-05 -1.445607e-04
 8316.200000 -2.802548e-05 -5.641605e-06 -3.625419e-07 -3.501271e-08 -1.863643e-04 -1.818247e-04 -2.993881e-05 -1.405710e-04
 8316.400000 -2.798542e-05 -5.632869e-06 -3.618621e-07 -3.495874e-08 -1.700362e-04 -1.837352e-04 -2.334892e-05 -1.428308e-04
 8316.600000 -2.804588e-05 -5.645840e-06 -3.627205e-07 -3.505160e-08 -1.718917e-04 -1.788395e-04 -1.516783e-05 -1.478833e-04
 8316.800000 -2.788229e-05 -5.611326e-06 -3.605875e-07 -3.490801e-08 -1.716320e-04 -1.810678e-04 -1.659087e-05 -1.499051e-04
 8317.000000 -2.797263e-05 -5.630391e-06 -3.617824e-07 -3.500777e-08 -1.742721e-04 -1.708867e-04 -1.554122e-05 -1.480195e-04
 8317.200000 -2.776936e-05 -5.587842e-06 -3.590298e-07 -3.477068e-08 -1.817614e-04 -1.721922e-04 -1.643906e-05 -1.395736e-04
 8317.400000 -2.791824e-05 -5.619633e-06 -3.613781e-07 -3.503006e-08 -1.770092e-04 -1.784079e-04 -1.722950e-05 -1.403172e-04
 8317.600000 -2.783022e-05 -5.601072e-06 -3.602005e-07 -3.490818e-08 -1.777555e-04 -1.729032e-04 -2.563190e-05 -1.468665e-04
 8317.800000 -2.800290e-05 -5.638414e-06 -3.624460e-07 -3.519657e-08 -1.839108e-04 -1.749743e-04 -2.686022e-05 -1.441394e-04
 8318.000000 -2.805802e-05 -5.650767e-06 -3.632220e-07 -3.526981e-08 -1.759048e-04 -1.719482e-04 -1.653635e-05 -1.329413e-04
 8318.200000 -2.811260e-05 -5.661603e-06 -3.642052e-07 -3.537403e-08 -1.797432e-04 -1.727985e-04 -2.823140e-05 -1.381737e-04
 8318.400000 -2.813999e-05 -5.668756e-06 -3.646758e-07 -3.545370e-08 -1.844284e-04 -1.779966e-04 -2.299137e-05 -1.453323e-04
 8318.600000 -2.813624e-05 -5.667144e-06 -3.647389e-07 -3.541602e-08 -1.936154e-04 -1.782715e-04 -2.694337e-05 -1.209114e-04
 8318.800000 -2.814576e-05 -5.670271e-06 -3.649703e-07 -3.543416e-08 -1.836539e-04 -1.717153e-04 -1.940761e-05 -1.111032e-04
 8319.000000 -2.814011e-05 -5.668817e-06 -3.649501e-07 -3.550887e-08 -1.854286e-04 -1.768779e-04 -1.978773e-05 -1.231057e-04
 8319.200000 -2.798135e-05 -5.634852e-06 -3.626519e-07 -3.535696e-08 -1.783642e-04 -1.793512e-04 -2.876160e-05 -1.171820e-04
