# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.6458927628886
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089958205
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  15:57:56
# Scan.end_time: 02/22/2022  15:58:20
# Scan.duration: 00:24
# Scan.transient_id: 197181
# Scan.uid: 6b5acb22-feec-4d6a-a74d-4239a5728002
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.612051e-05 -2.241205e-06 -3.503661e-07 -6.104131e-09 -1.347396e-04 -1.178263e-04 -7.676176e-05 -1.053149e-04
 7614.000000 -2.381089e-05 -3.323605e-06 -5.204936e-07 -9.025436e-09 -1.988143e-04 -1.743715e-04 -1.099395e-04 -1.382094e-04
 7619.000000 -2.394726e-05 -3.360217e-06 -5.272724e-07 -9.103703e-09 -1.908029e-04 -1.803563e-04 -1.059282e-04 -1.122749e-04
 7624.000000 -2.393149e-05 -3.374337e-06 -5.305198e-07 -9.136317e-09 -1.737641e-04 -1.788443e-04 -1.057809e-04 -1.064849e-04
 7629.000000 -2.406555e-05 -3.411056e-06 -5.373223e-07 -9.212696e-09 -1.797931e-04 -1.781466e-04 -1.023526e-04 -1.166783e-04
 7634.000000 -2.411835e-05 -3.435607e-06 -5.422642e-07 -9.240925e-09 -1.839801e-04 -1.784697e-04 -9.994573e-05 -1.180627e-04
 7639.000000 -2.417236e-05 -3.461311e-06 -5.473634e-07 -9.295358e-09 -1.839374e-04 -1.724518e-04 -1.083389e-04 -1.160947e-04
 7644.000000 -2.422854e-05 -3.486909e-06 -5.524225e-07 -9.344784e-09 -1.831663e-04 -1.684521e-04 -9.953574e-05 -1.137957e-04
 7649.000000 -2.423363e-05 -3.504549e-06 -5.562397e-07 -9.372660e-09 -1.896257e-04 -1.683309e-04 -9.257393e-05 -1.060842e-04
 7654.000000 -2.419169e-05 -3.515561e-06 -5.591341e-07 -9.391482e-09 -1.960179e-04 -1.669436e-04 -9.309823e-05 -1.119062e-04
 7659.000000 -2.432399e-05 -3.553211e-06 -5.662171e-07 -9.473191e-09 -1.872404e-04 -1.666520e-04 -8.634369e-05 -1.135540e-04
 7664.000000 -2.437032e-05 -3.577487e-06 -5.711233e-07 -9.523510e-09 -1.822590e-04 -1.615642e-04 -9.375612e-05 -1.055071e-04
 7669.000000 -2.442159e-05 -3.602583e-06 -5.759376e-07 -9.572191e-09 -1.798255e-04 -1.623082e-04 -9.073707e-05 -1.039895e-04
 7674.000000 -2.445249e-05 -3.624160e-06 -5.801044e-07 -9.607802e-09 -1.682513e-04 -1.659182e-04 -8.354419e-05 -1.095050e-04
 7679.000000 -2.446381e-05 -3.642775e-06 -5.838051e-07 -9.653134e-09 -1.801021e-04 -1.654876e-04 -8.206537e-05 -1.094312e-04
 7683.000000 -2.450486e-05 -3.663111e-06 -5.874592e-07 -9.696618e-09 -1.862816e-04 -1.695433e-04 -8.247133e-05 -1.294249e-04
 7686.000000 -2.450604e-05 -3.674195e-06 -5.896220e-07 -9.726700e-09 -1.953969e-04 -1.724218e-04 -8.230584e-05 -1.331971e-04
 7688.000000 -2.449324e-05 -3.679429e-06 -5.906639e-07 -9.741070e-09 -1.899217e-04 -1.732786e-04 -8.923902e-05 -1.364277e-04
 7689.000000 -2.451870e-05 -3.686476e-06 -5.918605e-07 -9.751619e-09 -1.861518e-04 -1.691554e-04 -9.800361e-05 -1.453063e-04
 7689.200000 -2.454721e-05 -3.692464e-06 -5.928095e-07 -9.748583e-09 -1.833655e-04 -1.701680e-04 -9.185924e-05 -1.459665e-04
 7689.400000 -2.454829e-05 -3.693391e-06 -5.929401e-07 -9.760134e-09 -1.809459e-04 -1.663736e-04 -8.986731e-05 -1.373320e-04
 7689.600000 -2.455458e-05 -3.694981e-06 -5.932440e-07 -9.754287e-09 -1.851362e-04 -1.749185e-04 -9.319205e-05 -1.444548e-04
 7689.800000 -2.459311e-05 -3.701473e-06 -5.941915e-07 -9.772426e-09 -1.849099e-04 -1.750835e-04 -8.414474e-05 -1.453943e-04
 7690.000000 -2.460259e-05 -3.703945e-06 -5.944227e-07 -9.774429e-09 -1.952781e-04 -1.689312e-04 -9.447338e-05 -1.487826e-04
 7690.200000 -2.459529e-05 -3.703861e-06 -5.945700e-07 -9.773307e-09 -1.962537e-04 -1.688472e-04 -9.038815e-05 -1.452715e-04
 7690.400000 -2.458641e-05 -3.703017e-06 -5.947199e-07 -9.766102e-09 -2.009167e-04 -1.605866e-04 -8.448862e-05 -1.449939e-04
 7690.600000 -2.456154e-05 -3.700211e-06 -5.941456e-07 -9.767374e-09 -1.945888e-04 -1.642706e-04 -8.102891e-05 -1.488609e-04
 7690.800000 -2.456306e-05 -3.700490e-06 -5.941645e-07 -9.798128e-09 -1.953954e-04 -1.670271e-04 -6.846516e-05 -1.417143e-04
 7691.000000 -2.457722e-05 -3.703498e-06 -5.947876e-07 -9.794897e-09 -1.991215e-04 -1.637659e-04 -7.525350e-05 -1.452577e-04
 7691.200000 -2.453648e-05 -3.697658e-06 -5.936074e-07 -9.803040e-09 -1.983494e-04 -1.736660e-04 -8.612007e-05 -1.459963e-04
 7691.400000 -2.452587e-05 -3.696795e-06 -5.937624e-07 -9.756835e-09 -1.939849e-04 -1.723381e-04 -8.124071e-05 -1.427489e-04
 7691.600000 -2.456655e-05 -3.704536e-06 -5.948061e-07 -9.785008e-09 -1.958717e-04 -1.746039e-04 -8.233250e-05 -1.469492e-04
 7691.800000 -2.456091e-05 -3.704417e-06 -5.949804e-07 -9.796023e-09 -1.904786e-04 -1.654655e-04 -8.716163e-05 -1.562678e-04
