# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.8435962656774
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089958205
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:14:50
# Scan.end_time: 02/22/2022  16:15:14
# Scan.duration: 00:23
# Scan.transient_id: 197211
# Scan.uid: fbac87aa-e659-4c67-8618-cc67dcf45288
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.320835e-06 -4.537511e-07 -3.520667e-08 -6.988640e-11 -1.355871e-04 -1.284591e-04 -5.145045e-05 -8.724720e-05
 6444.000000 -1.263139e-05 -6.930258e-07 -5.398763e-08 -1.067987e-10 -2.039183e-04 -1.977966e-04 -6.396597e-05 -1.392425e-04
 6449.000000 -1.272224e-05 -7.035250e-07 -5.501110e-08 -1.049543e-10 -2.037577e-04 -1.951903e-04 -5.999140e-05 -1.441726e-04
 6454.000000 -1.272940e-05 -7.098139e-07 -5.577201e-08 -1.113660e-10 -2.110029e-04 -1.910808e-04 -5.917514e-05 -1.477934e-04
 6459.000000 -1.280598e-05 -7.201328e-07 -5.676953e-08 -1.131799e-10 -2.002209e-04 -1.920558e-04 -6.129625e-05 -1.476714e-04
 6464.000000 -1.287609e-05 -7.293663e-07 -5.778684e-08 -1.123223e-10 -2.005153e-04 -1.970778e-04 -6.551961e-05 -1.435842e-04
 6469.000000 -1.290778e-05 -7.368298e-07 -5.858911e-08 -1.166687e-10 -2.082203e-04 -1.909943e-04 -7.035703e-05 -1.438100e-04
 6474.000000 -1.299945e-05 -7.484176e-07 -5.970057e-08 -1.210767e-10 -2.087932e-04 -1.964971e-04 -7.028319e-05 -1.436586e-04
 6479.000000 -1.306746e-05 -7.584513e-07 -6.069718e-08 -1.314481e-10 -2.093059e-04 -1.966616e-04 -6.680714e-05 -1.487139e-04
 6484.000000 -1.312471e-05 -7.673755e-07 -6.167436e-08 -1.311778e-10 -2.018688e-04 -1.880302e-04 -5.823027e-05 -1.483227e-04
 6489.000000 -1.319806e-05 -7.770921e-07 -6.269536e-08 -1.352591e-10 -2.016551e-04 -1.925865e-04 -5.268301e-05 -1.485553e-04
