# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.73665419529186
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712 1st 4_3 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 89.4089958205
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:29:49
# Scan.end_time: 02/22/2022  15:30:14
# Scan.duration: 00:24
# Scan.transient_id: 197131
# Scan.uid: 3ab71b8b-b1e3-487f-a8fd-57b86ad98208
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.210854e-09 -4.498636e-10 -3.940803e-12 3.089435e-11 -1.462227e-04 -1.137542e-04 -3.511223e-05 -1.063905e-04
 8238.000000 -1.639275e-09 -6.139229e-10 -1.421971e-11 4.690639e-11 -2.088622e-04 -1.619495e-04 -5.080485e-05 -1.495525e-04
 8243.000000 -1.574789e-09 -7.672401e-10 -2.666869e-11 4.863461e-11 -2.164946e-04 -1.608402e-04 -5.867383e-05 -1.482569e-04
 8248.000000 -1.417952e-09 -5.229216e-10 6.207186e-13 4.424905e-11 -2.154145e-04 -1.698861e-04 -7.182070e-05 -1.611384e-04
 8253.000000 -1.355901e-09 -4.046803e-10 3.273165e-11 4.197498e-11 -2.207758e-04 -1.694732e-04 -7.277563e-05 -1.660688e-04
 8258.000000 -1.353067e-09 -4.362103e-10 3.204481e-11 4.470084e-11 -2.188656e-04 -1.691672e-04 -7.811512e-05 -1.697896e-04
 8263.000000 -1.513035e-09 -1.510762e-10 -1.985832e-12 4.139086e-11 -2.168839e-04 -1.565584e-04 -6.861935e-05 -1.635196e-04
 8268.000000 -1.598427e-09 -3.464062e-10 -3.316230e-11 4.139730e-11 -2.109079e-04 -1.537518e-04 -5.504993e-05 -1.663368e-04
 8273.000000 -1.608466e-09 -3.694613e-10 2.387548e-11 4.325548e-11 -2.089454e-04 -1.504530e-04 -5.439877e-05 -1.713457e-04
 8278.000000 -1.479855e-09 -5.519272e-10 4.231880e-12 4.411821e-11 -2.069521e-04 -1.452457e-04 -5.214064e-05 -1.691742e-04
 8283.000000 -1.398964e-09 -5.594731e-10 -4.821229e-12 4.289899e-11 -2.033964e-04 -1.445763e-04 -4.399716e-05 -1.569714e-04
 8288.000000 -1.550859e-09 -6.040566e-10 -2.334378e-11 4.632997e-11 -2.064267e-04 -1.511747e-04 -5.380013e-05 -1.608418e-04
 8293.000000 -1.577763e-09 -4.239831e-10 -3.208790e-12 4.436226e-11 -2.050794e-04 -1.584584e-04 -6.634922e-05 -1.516233e-04
 8298.000000 -1.430817e-09 -6.527517e-10 3.418482e-12 4.203248e-11 -1.996348e-04 -1.646519e-04 -7.300131e-05 -1.518338e-04
 8303.000000 -1.418949e-09 -4.419763e-10 -2.756685e-13 4.261550e-11 -1.934140e-04 -1.680907e-04 -7.758483e-05 -1.604229e-04
 8307.000000 -1.450303e-09 -5.152930e-10 -2.056901e-11 4.198954e-11 -1.948174e-04 -1.709071e-04 -7.189122e-05 -1.596860e-04
 8310.000000 -1.525032e-09 -4.057985e-10 -2.180934e-11 4.163759e-11 -2.040286e-04 -1.757857e-04 -7.179708e-05 -1.638679e-04
 8312.000000 -1.438885e-09 -3.955235e-10 2.955110e-11 4.400974e-11 -1.972221e-04 -1.748398e-04 -6.338599e-05 -1.703459e-04
 8313.000000 -1.575473e-09 -8.314737e-10 -2.208618e-11 4.050670e-11 -1.768541e-04 -1.716501e-04 -6.852911e-05 -1.791410e-04
 8313.200000 -1.632750e-09 -6.317577e-10 -3.018112e-11 4.326199e-11 -1.676268e-04 -1.777400e-04 -6.619296e-05 -1.818493e-04
 8313.400000 -1.622139e-09 -1.127442e-09 3.597726e-11 4.574876e-11 -1.740570e-04 -1.810403e-04 -7.458661e-05 -1.871896e-04
 8313.600000 -1.531955e-09 -8.522914e-10 -4.363979e-13 3.866846e-11 -1.835467e-04 -1.749183e-04 -6.331175e-05 -1.735789e-04
 8313.800000 -1.533971e-09 -7.926025e-10 -1.116747e-10 4.138314e-11 -1.802444e-04 -1.694795e-04 -5.576471e-05 -1.744261e-04
 8314.000000 -1.357436e-09 -7.720108e-10 -6.686263e-11 4.689273e-11 -1.858532e-04 -1.725579e-04 -5.316690e-05 -1.748590e-04
 8314.200000 -1.283860e-09 -6.974446e-10 1.235043e-11 4.927970e-11 -1.899051e-04 -1.676926e-04 -6.060024e-05 -1.747087e-04
 8314.400000 -1.574883e-09 -5.943535e-10 -3.984106e-11 4.021756e-11 -1.903386e-04 -1.656436e-04 -6.907238e-05 -1.715850e-04
 8314.600000 -1.658306e-09 -6.797875e-10 1.115968e-11 3.632401e-11 -1.859393e-04 -1.693939e-04 -7.124132e-05 -1.655972e-04
 8314.800000 -1.623507e-09 -4.895486e-10 3.539355e-12 4.925346e-11 -1.841519e-04 -1.692214e-04 -7.729701e-05 -1.695693e-04
 8315.000000 -1.364090e-09 -4.781863e-10 2.747213e-11 3.917925e-11 -1.908159e-04 -1.662534e-04 -7.054032e-05 -1.688409e-04
 8315.200000 -1.533654e-09 -9.561850e-10 -3.410829e-11 4.149983e-11 -1.895382e-04 -1.678725e-04 -5.498154e-05 -1.680652e-04
