# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.81784274393476
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.9298629505
# ISS.sample_y_position: 15.696040914
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:27:52
# Scan.end_time: 02/21/2022  13:28:15
# Scan.duration: 00:23
# Scan.transient_id: 196872
# Scan.uid: 02182bd1-5238-4182-9e6f-7279331a9f97
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.574138e-05 -2.307299e-06 -3.647299e-07 -1.404302e-07 -8.851284e-05 -4.627567e-05 -7.644646e-05 -4.054588e-05
 7614.000000 -2.323312e-05 -3.419089e-06 -5.413001e-07 -2.077286e-07 -1.386237e-04 -6.584256e-05 -1.144247e-04 -6.090192e-05
 7619.000000 -2.344090e-05 -3.468122e-06 -5.501227e-07 -2.102905e-07 -1.413453e-04 -6.182691e-05 -1.131704e-04 -7.026963e-05
 7624.000000 -2.348080e-05 -3.491289e-06 -5.549255e-07 -2.113095e-07 -1.445667e-04 -6.159979e-05 -1.035177e-04 -7.105197e-05
 7629.000000 -2.348596e-05 -3.509645e-06 -5.588860e-07 -2.119644e-07 -1.351624e-04 -5.214250e-05 -1.114727e-04 -7.426401e-05
 7634.000000 -2.356313e-05 -3.539450e-06 -5.647973e-07 -2.133449e-07 -1.329344e-04 -6.230420e-05 -1.083305e-04 -6.814381e-05
 7639.000000 -2.356881e-05 -3.557913e-06 -5.688388e-07 -2.140768e-07 -1.328098e-04 -4.989900e-05 -1.040286e-04 -6.593207e-05
 7644.000000 -2.348240e-05 -3.560713e-06 -5.703681e-07 -2.139134e-07 -1.350792e-04 -5.183858e-05 -1.084795e-04 -7.835439e-05
 7649.000000 -2.339073e-05 -3.562891e-06 -5.718008e-07 -2.136771e-07 -1.360106e-04 -5.088781e-05 -1.082287e-04 -8.868908e-05
 7654.000000 -2.354768e-05 -3.606597e-06 -5.798324e-07 -2.158636e-07 -1.384047e-04 -4.361735e-05 -1.152932e-04 -8.859869e-05
 7659.000000 -2.364167e-05 -3.638892e-06 -5.860170e-07 -2.174758e-07 -1.382347e-04 -4.221155e-05 -1.195982e-04 -8.927822e-05
 7664.000000 -2.372877e-05 -3.670936e-06 -5.920593e-07 -2.190218e-07 -1.385148e-04 -5.166071e-05 -1.293406e-04 -9.180693e-05
 7669.000000 -2.380315e-05 -3.700630e-06 -5.977527e-07 -2.204923e-07 -1.337263e-04 -4.335805e-05 -1.336027e-04 -9.722712e-05
 7674.000000 -2.376612e-05 -3.711697e-06 -6.003492e-07 -2.209384e-07 -1.232926e-04 -5.511538e-05 -1.277594e-04 -9.124671e-05
 7679.000000 -2.375259e-05 -3.726244e-06 -6.035584e-07 -2.216748e-07 -1.227742e-04 -6.218395e-05 -1.237603e-04 -8.770968e-05
 7683.000000 -2.361461e-05 -3.716170e-06 -6.024723e-07 -2.210522e-07 -1.200379e-04 -6.527829e-05 -1.280032e-04 -8.181506e-05
 7686.000000 -2.370289e-05 -3.741394e-06 -6.068291e-07 -2.225065e-07 -1.255385e-04 -6.332571e-05 -1.193798e-04 -7.942914e-05
 7688.000000 -2.369428e-05 -3.746706e-06 -6.077692e-07 -2.228342e-07 -1.282835e-04 -6.888773e-05 -1.224447e-04 -8.610773e-05
 7689.000000 -2.348499e-05 -3.714125e-06 -6.025284e-07 -2.209616e-07 -1.242029e-04 -6.387421e-05 -1.160926e-04 -8.503351e-05
 7689.200000 -2.345470e-05 -3.708963e-06 -6.017571e-07 -2.207371e-07 -1.222710e-04 -6.334799e-05 -1.196277e-04 -8.930716e-05
 7689.400000 -2.356621e-05 -3.729254e-06 -6.049032e-07 -2.219455e-07 -1.273694e-04 -6.579367e-05 -1.286168e-04 -9.748056e-05
 7689.600000 -2.349575e-05 -3.718604e-06 -6.032619e-07 -2.212637e-07 -1.251186e-04 -6.386511e-05 -1.328635e-04 -8.470889e-05
 7689.800000 -2.353108e-05 -3.725717e-06 -6.041761e-07 -2.217562e-07 -1.236262e-04 -5.725271e-05 -1.290723e-04 -8.959598e-05
 7690.000000 -2.368803e-05 -3.752797e-06 -6.087967e-07 -2.232776e-07 -1.295008e-04 -4.449340e-05 -1.219431e-04 -9.373035e-05
 7690.200000 -2.370651e-05 -3.756159e-06 -6.092442e-07 -2.234807e-07 -1.310099e-04 -5.551964e-05 -1.231110e-04 -8.938329e-05
 7690.400000 -2.377658e-05 -3.768827e-06 -6.113412e-07 -2.241055e-07 -1.409363e-04 -5.501874e-05 -1.232568e-04 -7.546061e-05
 7690.600000 -2.373037e-05 -3.761678e-06 -6.101776e-07 -2.237606e-07 -1.308437e-04 -5.384046e-05 -1.193443e-04 -7.426637e-05
 7690.800000 -2.381004e-05 -3.776757e-06 -6.124769e-07 -2.246494e-07 -1.282599e-04 -5.068150e-05 -1.157780e-04 -8.349932e-05
 7691.000000 -2.381944e-05 -3.778367e-06 -6.127739e-07 -2.248710e-07 -1.280943e-04 -4.884803e-05 -1.047886e-04 -8.209748e-05
 7691.200000 -2.377176e-05 -3.771068e-06 -6.117117e-07 -2.244427e-07 -1.263332e-04 -4.321551e-05 -1.077494e-04 -8.418109e-05
 7691.400000 -2.371171e-05 -3.761122e-06 -6.100180e-07 -2.237880e-07 -1.289668e-04 -4.909766e-05 -1.214516e-04 -8.742969e-05
 7691.600000 -2.369275e-05 -3.757853e-06 -6.094571e-07 -2.236872e-07 -1.312482e-04 -4.987929e-05 -1.211805e-04 -9.410750e-05
 7691.800000 -2.373120e-05 -3.765268e-06 -6.105615e-07 -2.240083e-07 -1.260155e-04 -5.556073e-05 -1.194731e-04 -9.452268e-05
 7692.000000 -2.371820e-05 -3.763962e-06 -6.104240e-07 -2.240034e-07 -1.344833e-04 -7.085720e-05 -1.293544e-04 -8.975535e-05
 7692.200000 -2.379518e-05 -3.778535e-06 -6.127265e-07 -2.247678e-07 -1.327299e-04 -6.523836e-05 -1.213770e-04 -7.509625e-05
 7692.400000 -2.374300e-05 -3.770246e-06 -6.113678e-07 -2.244019e-07 -1.312201e-04 -5.629583e-05 -1.193292e-04 -8.456140e-05
 7692.600000 -2.379569e-05 -3.779629e-06 -6.129340e-07 -2.249172e-07 -1.293168e-04 -5.330383e-05 -1.052457e-04 -8.320187e-05
 7692.800000 -2.374449e-05 -3.770824e-06 -6.115870e-07 -2.242953e-07 -1.247348e-04 -5.926036e-05 -9.755616e-05 -8.274284e-05
 7693.000000 -2.368131e-05 -3.760110e-06 -6.099005e-07 -2.239808e-07 -1.238976e-04 -6.377029e-05 -1.001463e-04 -8.666732e-05
 7693.200000 -2.373777e-05 -3.771283e-06 -6.113373e-07 -2.245995e-07 -1.241028e-04 -6.686673e-05 -1.017395e-04 -8.619148e-05
 7693.400000 -2.370486e-05 -3.765436e-06 -6.107083e-07 -2.243032e-07 -1.257362e-04 -5.950322e-05 -9.981155e-05 -7.674137e-05
 7693.600000 -2.367824e-05 -3.761890e-06 -6.100323e-07 -2.240504e-07 -1.264721e-04 -6.503468e-05 -1.091356e-04 -8.414877e-05
 7693.800000 -2.373717e-05 -3.772480e-06 -6.116602e-07 -2.246543e-07 -1.346481e-04 -6.100665e-05 -1.244192e-04 -1.042102e-04
 7694.000000 -2.378379e-05 -3.780792e-06 -6.129418e-07 -2.251622e-07 -1.276084e-04 -5.519474e-05 -1.220280e-04 -1.018420e-04
 7694.200000 -2.379793e-05 -3.784385e-06 -6.134875e-07 -2.254477e-07 -1.199737e-04 -6.623682e-05 -1.174106e-04 -8.880152e-05
 7694.400000 -2.380835e-05 -3.787481e-06 -6.138858e-07 -2.255224e-07 -1.304481e-04 -6.374798e-05 -1.040816e-04 -7.819494e-05
 7694.600000 -2.380620e-05 -3.787630e-06 -6.138161e-07 -2.255345e-07 -1.350306e-04 -5.932051e-05 -1.103738e-04 -8.121556e-05
 7694.800000 -2.381936e-05 -3.790944e-06 -6.143363e-07 -2.257092e-07 -1.346661e-04 -6.212393e-05 -1.133696e-04 -8.393469e-05
 7695.000000 -2.388993e-05 -3.803017e-06 -6.161421e-07 -2.264532e-07 -1.291517e-04 -7.254591e-05 -1.165795e-04 -9.000539e-05
 7695.200000 -2.390179e-05 -3.806127e-06 -6.166368e-07 -2.265597e-07 -1.312830e-04 -6.434047e-05 -1.219114e-04 -8.766209e-05
 7695.400000 -2.383619e-05 -3.795171e-06 -6.148671e-07 -2.260348e-07 -1.317265e-04 -5.962874e-05 -1.121340e-04 -8.385880e-05
 7695.600000 -2.381651e-05 -3.793064e-06 -6.144527e-07 -2.258757e-07 -1.390490e-04 -5.674463e-05 -1.134851e-04 -9.144398e-05
 7695.800000 -2.376461e-05 -3.784496e-06 -6.130078e-07 -2.255198e-07 -1.372930e-04 -5.562896e-05 -1.184604e-04 -8.881028e-05
 7696.000000 -2.385671e-05 -3.800760e-06 -6.154456e-07 -2.265439e-07 -1.471473e-04 -4.888365e-05 -1.146082e-04 -9.153677e-05
 7696.200000 -2.376450e-05 -3.786201e-06 -6.131976e-07 -2.256798e-07 -1.403370e-04 -4.754766e-05 -1.191730e-04 -8.782034e-05
 7696.400000 -2.380396e-05 -3.793577e-06 -6.142156e-07 -2.260943e-07 -1.413096e-04 -5.044109e-05 -1.234087e-04 -9.334673e-05
 7696.600000 -2.373436e-05 -3.782418e-06 -6.121199e-07 -2.254503e-07 -1.397565e-04 -4.705331e-05 -1.271411e-04 -1.012968e-04
 7696.800000 -2.365715e-05 -3.769537e-06 -6.101635e-07 -2.246014e-07 -1.402268e-04 -4.853932e-05 -1.155044e-04 -8.792995e-05
 7697.000000 -2.360341e-05 -3.760858e-06 -6.087065e-07 -2.241851e-07 -1.411916e-04 -5.461120e-05 -1.257940e-04 -8.207521e-05
 7697.200000 -2.353888e-05 -3.750362e-06 -6.070977e-07 -2.237163e-07 -1.426432e-04 -5.819836e-05 -1.310979e-04 -9.815901e-05
 7697.400000 -2.351478e-05 -3.747891e-06 -6.065961e-07 -2.234414e-07 -1.424272e-04 -5.244033e-05 -1.276408e-04 -9.696656e-05
 7697.600000 -2.342247e-05 -3.732907e-06 -6.041341e-07 -2.225965e-07 -1.375092e-04 -4.992725e-05 -1.336642e-04 -9.039397e-05
 7697.800000 -2.356217e-05 -3.756540e-06 -6.078719e-07 -2.242456e-07 -1.381783e-04 -6.031345e-05 -1.297534e-04 -8.817190e-05
 7698.000000 -2.364255e-05 -3.770901e-06 -6.100493e-07 -2.250137e-07 -1.370815e-04 -5.859028e-05 -1.358221e-04 -8.858042e-05
 7698.200000 -2.372067e-05 -3.785470e-06 -6.122677e-07 -2.258281e-07 -1.308536e-04 -5.491810e-05 -1.288854e-04 -9.394971e-05
 7698.400000 -2.370686e-05 -3.782982e-06 -6.118154e-07 -2.258943e-07 -1.321073e-04 -4.936498e-05 -1.203735e-04 -9.275512e-05
 7698.600000 -2.372746e-05 -3.788003e-06 -6.123288e-07 -2.262323e-07 -1.424530e-04 -5.085027e-05 -1.274312e-04 -9.395403e-05
 7698.800000 -2.371860e-05 -3.787012e-06 -6.121796e-07 -2.259529e-07 -1.458861e-04 -4.552499e-05 -1.315697e-04 -9.621224e-05
 7699.000000 -2.373489e-05 -3.791569e-06 -6.126770e-07 -2.262500e-07 -1.384952e-04 -5.548558e-05 -1.143469e-04 -8.796067e-05
 7699.200000 -2.366215e-05 -3.779828e-06 -6.106203e-07 -2.255679e-07 -1.341402e-04 -4.954100e-05 -1.214426e-04 -8.974788e-05
 7699.400000 -2.364500e-05 -3.777194e-06 -6.100458e-07 -2.255377e-07 -1.401996e-04 -4.678576e-05 -1.315461e-04 -1.004997e-04
 7699.600000 -2.358310e-05 -3.766708e-06 -6.083838e-07 -2.250023e-07 -1.502126e-04 -5.149607e-05 -1.172397e-04 -9.159130e-05
 7699.800000 -2.350554e-05 -3.754038e-06 -6.062639e-07 -2.243311e-07 -1.568118e-04 -4.563709e-05 -1.139199e-04 -8.412140e-05
 7700.000000 -2.352898e-05 -3.758318e-06 -6.067716e-07 -2.245917e-07 -1.652532e-04 -4.096096e-05 -1.048219e-04 -8.488028e-05
 7700.200000 -2.337832e-05 -3.732865e-06 -6.028037e-07 -2.230688e-07 -1.616078e-04 -3.828160e-05 -1.022511e-04 -8.540037e-05
 7700.400000 -2.348833e-05 -3.752350e-06 -6.055582e-07 -2.243478e-07 -1.485213e-04 -3.746704e-05 -9.836537e-05 -8.068439e-05
 7700.600000 -2.343298e-05 -3.743521e-06 -6.039522e-07 -2.239195e-07 -1.415367e-04 -4.729108e-05 -1.099227e-04 -7.971292e-05
 7700.800000 -2.346791e-05 -3.749705e-06 -6.048688e-07 -2.243222e-07 -1.467220e-04 -4.780227e-05 -1.033355e-04 -8.006570e-05
 7701.000000 -2.349090e-05 -3.754538e-06 -6.053939e-07 -2.245756e-07 -1.463296e-04 -4.983481e-05 -1.046912e-04 -8.935175e-05
 7701.200000 -2.361045e-05 -3.775497e-06 -6.085423e-07 -2.259860e-07 -1.492439e-04 -5.511817e-05 -1.131159e-04 -8.833386e-05
 7701.400000 -2.357165e-05 -3.768728e-06 -6.073911e-07 -2.257789e-07 -1.504955e-04 -5.120305e-05 -1.172926e-04 -8.735133e-05
 7701.600000 -2.369371e-05 -3.789904e-06 -6.104469e-07 -2.270240e-07 -1.400059e-04 -4.741825e-05 -1.123070e-04 -6.932850e-05
 7701.800000 -2.371811e-05 -3.794163e-06 -6.109139e-07 -2.272710e-07 -1.458096e-04 -5.427397e-05 -1.144750e-04 -8.065313e-05
 7702.000000 -2.362474e-05 -3.779250e-06 -6.081073e-07 -2.263563e-07 -1.499283e-04 -5.056701e-05 -1.163811e-04 -8.402685e-05
 7702.200000 -2.362544e-05 -3.778875e-06 -6.080745e-07 -2.265500e-07 -1.513223e-04 -4.131636e-05 -1.044561e-04 -8.520864e-05
 7702.400000 -2.361045e-05 -3.777473e-06 -6.075144e-07 -2.265004e-07 -1.462098e-04 -4.510932e-05 -1.106856e-04 -8.586842e-05
 7702.600000 -2.370087e-05 -3.793884e-06 -6.096046e-07 -2.275601e-07 -1.411290e-04 -5.010938e-05 -1.228848e-04 -8.892973e-05
 7702.800000 -2.371416e-05 -3.796258e-06 -6.098025e-07 -2.277239e-07 -1.532878e-04 -3.912415e-05 -1.186152e-04 -9.354379e-05
 7703.000000 -2.380836e-05 -3.812558e-06 -6.120560e-07 -2.288425e-07 -1.434591e-04 -3.620703e-05 -1.107540e-04 -9.271673e-05
 7703.200000 -2.382050e-05 -3.815500e-06 -6.121600e-07 -2.290235e-07 -1.488349e-04 -3.849405e-05 -1.270523e-04 -9.270546e-05
 7703.400000 -2.385908e-05 -3.823027e-06 -6.127837e-07 -2.293835e-07 -1.420175e-04 -3.594459e-05 -1.279364e-04 -8.634791e-05
 7703.600000 -2.384300e-05 -3.821232e-06 -6.121204e-07 -2.295606e-07 -1.475487e-04 -4.527419e-05 -1.431040e-04 -9.498608e-05
 7703.800000 -2.379899e-05 -3.813934e-06 -6.104798e-07 -2.292974e-07 -1.542048e-04 -4.909753e-05 -1.320557e-04 -8.882174e-05
 7704.000000 -2.383893e-05 -3.821871e-06 -6.111611e-07 -2.297139e-07 -1.437379e-04 -4.885762e-05 -1.145625e-04 -8.555659e-05
 7704.200000 -2.376517e-05 -3.808631e-06 -6.087641e-07 -2.290206e-07 -1.510337e-04 -4.570628e-05 -1.228399e-04 -8.975203e-05
 7704.400000 -2.386420e-05 -3.826757e-06 -6.110253e-07 -2.301858e-07 -1.630856e-04 -4.565781e-05 -1.283400e-04 -1.047172e-04
 7704.600000 -2.387369e-05 -3.828971e-06 -6.106982e-07 -2.304402e-07 -1.496954e-04 -4.550129e-05 -1.289028e-04 -1.019319e-04
 7704.800000 -2.388576e-05 -3.831869e-06 -6.105366e-07 -2.308913e-07 -1.509591e-04 -5.124282e-05 -1.303255e-04 -9.475790e-05
 7705.000000 -2.392652e-05 -3.838679e-06 -6.106205e-07 -2.312969e-07 -1.524106e-04 -5.062418e-05 -1.235705e-04 -8.971173e-05
 7705.200000 -2.393094e-05 -3.839692e-06 -6.100363e-07 -2.315316e-07 -1.531182e-04 -5.324700e-05 -1.192840e-04 -8.235321e-05
 7705.400000 -2.390598e-05 -3.835735e-06 -6.083011e-07 -2.312791e-07 -1.457274e-04 -4.606188e-05 -1.172228e-04 -8.675835e-05
 7705.600000 -2.387423e-05 -3.830978e-06 -6.064072e-07 -2.312279e-07 -1.515210e-04 -4.859640e-05 -1.123503e-04 -8.837647e-05
 7705.800000 -2.388620e-05 -3.832155e-06 -6.055300e-07 -2.315794e-07 -1.440590e-04 -4.973715e-05 -1.254583e-04 -8.868590e-05
 7706.000000 -2.384439e-05 -3.825650e-06 -6.031426e-07 -2.312614e-07 -1.439078e-04 -4.981188e-05 -1.321548e-04 -8.723845e-05
 7706.200000 -2.375568e-05 -3.810931e-06 -5.990137e-07 -2.306017e-07 -1.474020e-04 -5.490418e-05 -1.336762e-04 -9.585333e-05
 7706.400000 -2.362988e-05 -3.789134e-06 -5.938160e-07 -2.297380e-07 -1.462463e-04 -6.595175e-05 -1.182691e-04 -9.373900e-05
 7706.600000 -2.351732e-05 -3.769634e-06 -5.888692e-07 -2.288227e-07 -1.438372e-04 -6.100496e-05 -1.197754e-04 -9.714308e-05
 7706.800000 -2.359864e-05 -3.784910e-06 -5.886227e-07 -2.298613e-07 -1.486474e-04 -5.483746e-05 -1.313392e-04 -9.202663e-05
 7707.000000 -2.353187e-05 -3.773758e-06 -5.838892e-07 -2.295038e-07 -1.471332e-04 -5.627523e-05 -1.425939e-04 -9.044895e-05
 7707.200000 -2.365607e-05 -3.794475e-06 -5.831902e-07 -2.311209e-07 -1.416377e-04 -5.490771e-05 -1.404605e-04 -9.015441e-05
 7707.400000 -2.359871e-05 -3.784465e-06 -5.771249e-07 -2.309234e-07 -1.429730e-04 -4.777359e-05 -1.299675e-04 -8.710353e-05
 7707.600000 -2.368491e-05 -3.798767e-06 -5.734900e-07 -2.324236e-07 -1.421636e-04 -6.367660e-05 -1.423970e-04 -8.967815e-05
 7707.800000 -2.381086e-05 -3.819390e-06 -5.690998e-07 -2.344060e-07 -1.355916e-04 -5.988738e-05 -1.428038e-04 -9.462891e-05
 7708.000000 -2.383913e-05 -3.823197e-06 -5.608218e-07 -2.353739e-07 -1.328725e-04 -5.457449e-05 -1.394377e-04 -9.665037e-05
 7708.200000 -2.388739e-05 -3.830531e-06 -5.506039e-07 -2.369496e-07 -1.430153e-04 -5.273816e-05 -1.523155e-04 -9.895863e-05
 7708.400000 -2.390144e-05 -3.830611e-06 -5.383267e-07 -2.385211e-07 -1.356660e-04 -4.761209e-05 -1.482893e-04 -9.065669e-05
 7708.600000 -2.391569e-05 -3.829934e-06 -5.246769e-07 -2.403115e-07 -1.322029e-04 -5.227735e-05 -1.346253e-04 -8.376590e-05
 7708.800000 -2.380921e-05 -3.807847e-06 -5.074710e-07 -2.412374e-07 -1.335391e-04 -4.768733e-05 -1.387249e-04 -9.747579e-05
 7709.000000 -2.385754e-05 -3.810831e-06 -4.937338e-07 -2.441183e-07 -1.341962e-04 -5.328655e-05 -1.236778e-04 -9.737192e-05
 7709.200000 -2.389295e-05 -3.812318e-06 -4.800659e-07 -2.470069e-07 -1.359880e-04 -5.333905e-05 -1.405001e-04 -9.554851e-05
 7709.400000 -2.386684e-05 -3.804081e-06 -4.661507e-07 -2.490583e-07 -1.409573e-04 -4.066474e-05 -1.342840e-04 -8.243343e-05
 7709.600000 -2.384018e-05 -3.795332e-06 -4.531748e-07 -2.506367e-07 -1.389010e-04 -4.493874e-05 -1.451109e-04 -9.160370e-05
 7709.800000 -2.385458e-05 -3.796041e-06 -4.422554e-07 -2.518394e-07 -1.458456e-04 -4.490385e-05 -1.425146e-04 -9.690681e-05
 7710.000000 -2.382604e-05 -3.791825e-06 -4.316629e-07 -2.517753e-07 -1.474055e-04 -5.546870e-05 -1.425487e-04 -9.481114e-05
 7710.200000 -2.369898e-05 -3.771707e-06 -4.200689e-07 -2.500038e-07 -1.431158e-04 -5.142178e-05 -1.229692e-04 -8.836957e-05
 7710.400000 -2.372709e-05 -3.779243e-06 -4.122957e-07 -2.493479e-07 -1.499096e-04 -5.436021e-05 -1.258406e-04 -9.120922e-05
 7710.600000 -2.384239e-05 -3.802959e-06 -4.067928e-07 -2.495084e-07 -1.515198e-04 -5.541631e-05 -1.449136e-04 -9.547941e-05
 7710.800000 -2.388536e-05 -3.813291e-06 -4.004665e-07 -2.488330e-07 -1.520425e-04 -5.530001e-05 -1.326469e-04 -8.500619e-05
 7711.000000 -2.385793e-05 -3.810909e-06 -3.936172e-07 -2.476922e-07 -1.499233e-04 -5.100568e-05 -1.174061e-04 -8.692096e-05
 7711.200000 -2.393111e-05 -3.825360e-06 -3.891527e-07 -2.479356e-07 -1.567909e-04 -5.558485e-05 -1.087967e-04 -9.196495e-05
 7711.400000 -2.388439e-05 -3.818645e-06 -3.831021e-07 -2.470505e-07 -1.456743e-04 -5.235448e-05 -1.110073e-04 -8.806722e-05
 7711.600000 -2.390913e-05 -3.825080e-06 -3.789775e-07 -2.470221e-07 -1.432972e-04 -4.721387e-05 -1.147751e-04 -8.857943e-05
 7711.800000 -2.393925e-05 -3.831996e-06 -3.753952e-07 -2.472825e-07 -1.416383e-04 -4.189913e-05 -1.157603e-04 -8.667152e-05
 7712.000000 -2.391705e-05 -3.827611e-06 -3.715634e-07 -2.470308e-07 -1.439562e-04 -4.652100e-05 -1.054613e-04 -8.210562e-05
 7712.200000 -2.390370e-05 -3.826628e-06 -3.686872e-07 -2.469165e-07 -1.422644e-04 -5.881579e-05 -1.192823e-04 -8.179486e-05
 7712.400000 -2.391270e-05 -3.828611e-06 -3.665707e-07 -2.471834e-07 -1.431241e-04 -4.983456e-05 -1.418327e-04 -9.477483e-05
 7712.600000 -2.393030e-05 -3.832245e-06 -3.652007e-07 -2.476165e-07 -1.524623e-04 -5.993631e-05 -1.267316e-04 -9.222978e-05
 7712.800000 -2.390758e-05 -3.828429e-06 -3.636172e-07 -2.477381e-07 -1.509259e-04 -5.968868e-05 -1.103678e-04 -8.805329e-05
 7713.000000 -2.395298e-05 -3.836117e-06 -3.635147e-07 -2.486292e-07 -1.471756e-04 -5.271073e-05 -1.237290e-04 -9.155078e-05
 7713.200000 -2.397723e-05 -3.840163e-06 -3.633443e-07 -2.495419e-07 -1.453792e-04 -5.271239e-05 -1.236364e-04 -1.019104e-04
 7713.400000 -2.397457e-05 -3.838251e-06 -3.630752e-07 -2.502274e-07 -1.472057e-04 -4.528804e-05 -1.266765e-04 -9.405456e-05
 7713.600000 -2.396684e-05 -3.836104e-06 -3.626198e-07 -2.509322e-07 -1.540069e-04 -5.288842e-05 -1.167772e-04 -9.826174e-05
 7713.800000 -2.398896e-05 -3.837543e-06 -3.624656e-07 -2.520847e-07 -1.539052e-04 -5.321743e-05 -1.115529e-04 -9.784173e-05
 7714.000000 -2.399389e-05 -3.837382e-06 -3.618610e-07 -2.532065e-07 -1.597084e-04 -5.347305e-05 -1.176016e-04 -9.320756e-05
 7714.200000 -2.398915e-05 -3.835414e-06 -3.608325e-07 -2.540695e-07 -1.567538e-04 -6.288446e-05 -1.350090e-04 -1.035635e-04
 7714.400000 -2.398526e-05 -3.833072e-06 -3.590090e-07 -2.550972e-07 -1.570483e-04 -6.301934e-05 -1.320120e-04 -1.033823e-04
 7714.600000 -2.392730e-05 -3.820877e-06 -3.557697e-07 -2.558692e-07 -1.592341e-04 -5.370352e-05 -1.394279e-04 -1.052495e-04
 7714.800000 -2.395732e-05 -3.823422e-06 -3.534479e-07 -2.574657e-07 -1.650611e-04 -5.559008e-05 -1.365220e-04 -1.005459e-04
 7715.000000 -2.395460e-05 -3.821250e-06 -3.497706e-07 -2.588926e-07 -1.617164e-04 -5.912486e-05 -1.268496e-04 -9.691760e-05
 7715.200000 -2.399068e-05 -3.823695e-06 -3.460557e-07 -2.610078e-07 -1.516235e-04 -6.503226e-05 -1.273654e-04 -9.922484e-05
 7715.400000 -2.398150e-05 -3.817950e-06 -3.408741e-07 -2.626854e-07 -1.567143e-04 -6.005600e-05 -1.258834e-04 -1.051551e-04
 7715.600000 -2.398317e-05 -3.814180e-06 -3.355769e-07 -2.649348e-07 -1.617553e-04 -5.861937e-05 -1.078992e-04 -9.864723e-05
 7715.800000 -2.394781e-05 -3.802980e-06 -3.293526e-07 -2.670397e-07 -1.590586e-04 -5.787690e-05 -1.164102e-04 -1.074037e-04
 7716.000000 -2.395181e-05 -3.797327e-06 -3.234829e-07 -2.700194e-07 -1.493531e-04 -6.040994e-05 -1.053598e-04 -9.842783e-05
 7716.200000 -2.393735e-05 -3.788353e-06 -3.171270e-07 -2.731815e-07 -1.433499e-04 -5.554111e-05 -1.128418e-04 -1.111085e-04
 7716.400000 -2.388934e-05 -3.771942e-06 -3.102043e-07 -2.766417e-07 -1.565443e-04 -5.581883e-05 -1.098113e-04 -8.584205e-05
 7716.600000 -2.398390e-05 -3.777364e-06 -3.051262e-07 -2.823629e-07 -1.529306e-04 -6.465639e-05 -1.165077e-04 -6.896704e-05
 7716.800000 -2.391442e-05 -3.753731e-06 -2.974174e-07 -2.870204e-07 -1.489978e-04 -5.909067e-05 -1.168998e-04 -7.047807e-05
 7717.000000 -2.397223e-05 -3.750170e-06 -2.916141e-07 -2.940126e-07 -1.474548e-04 -6.194398e-05 -1.156153e-04 -8.582805e-05
 7717.200000 -2.394700e-05 -3.728917e-06 -2.847058e-07 -3.005849e-07 -1.429113e-04 -6.289776e-05 -1.173964e-04 -1.080743e-04
