# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.28167026362314
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.928356144
# ISS.sample_y_position: 15.695945546499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:39:58
# Scan.end_time: 02/21/2022  13:40:22
# Scan.duration: 00:24
# Scan.transient_id: 196894
# Scan.uid: 4919100b-eebd-4b7c-aa4e-638f5538eacd
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.807653e-05 -3.581464e-06 -2.147054e-07 -2.657894e-07 -1.167093e-04 -4.353714e-05 -7.451420e-05 -5.792159e-05
 8238.000000 -2.579813e-05 -5.129639e-06 -3.079035e-07 -3.791047e-07 -1.694658e-04 -6.868580e-05 -9.585177e-05 -8.619720e-05
 8243.000000 -2.589464e-05 -5.173014e-06 -3.107758e-07 -3.798640e-07 -1.726662e-04 -7.714465e-05 -9.051710e-05 -8.517865e-05
 8248.000000 -2.596573e-05 -5.211264e-06 -3.131087e-07 -3.798644e-07 -1.721798e-04 -7.929166e-05 -9.875959e-05 -7.708511e-05
 8253.000000 -2.598822e-05 -5.239180e-06 -3.146278e-07 -3.798632e-07 -1.794232e-04 -8.121006e-05 -1.075160e-04 -8.257985e-05
 8258.000000 -2.613704e-05 -5.295158e-06 -3.178418e-07 -3.798636e-07 -1.844216e-04 -7.450326e-05 -1.079655e-04 -9.214641e-05
 8263.000000 -2.611321e-05 -5.310638e-06 -3.190457e-07 -3.798652e-07 -1.771365e-04 -7.423333e-05 -1.139914e-04 -1.014264e-04
 8268.000000 -2.603343e-05 -5.313068e-06 -3.199747e-07 -3.798659e-07 -1.778576e-04 -8.314985e-05 -1.231145e-04 -1.049402e-04
 8273.000000 -2.615348e-05 -5.360305e-06 -3.240131e-07 -3.798656e-07 -1.674245e-04 -9.163500e-05 -1.312049e-04 -1.011554e-04
 8278.000000 -2.619556e-05 -5.389962e-06 -3.273284e-07 -3.798657e-07 -1.571033e-04 -8.921665e-05 -1.241736e-04 -9.307209e-05
 8283.000000 -2.624972e-05 -5.421820e-06 -3.310035e-07 -3.798654e-07 -1.522884e-04 -7.950783e-05 -1.132313e-04 -9.062048e-05
