# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.9407207455281
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.929462406999999
# ISS.sample_y_position: 15.696079060999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:16:41
# Scan.end_time: 02/21/2022  13:17:04
# Scan.duration: 00:23
# Scan.transient_id: 196852
# Scan.uid: 35066778-04c2-430b-bc7d-ac18f8a3c86d
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.489029e-06 -4.893616e-07 -3.900779e-08 -2.469926e-09 -8.723811e-05 -3.416657e-05 -3.832893e-05 -6.170972e-05
 6444.000000 -1.287796e-05 -7.466737e-07 -5.973794e-08 -3.776744e-09 -1.400703e-04 -5.486877e-05 -5.492827e-05 -8.919898e-05
 6449.000000 -1.295891e-05 -7.576687e-07 -6.085847e-08 -3.840018e-09 -1.473668e-04 -4.768088e-05 -5.730517e-05 -9.642855e-05
 6454.000000 -1.296532e-05 -7.640406e-07 -6.156980e-08 -3.902036e-09 -1.452231e-04 -4.954897e-05 -5.764334e-05 -1.000789e-04
 6459.000000 -1.305283e-05 -7.752731e-07 -6.276746e-08 -3.967878e-09 -1.468574e-04 -5.372994e-05 -5.626529e-05 -9.134326e-05
 6464.000000 -1.312955e-05 -7.861820e-07 -6.387128e-08 -4.038655e-09 -1.444098e-04 -5.875544e-05 -6.385181e-05 -9.296309e-05
 6469.000000 -1.315774e-05 -7.941816e-07 -6.478108e-08 -4.102435e-09 -1.342892e-04 -5.297571e-05 -6.656771e-05 -9.806441e-05
 6474.000000 -1.320712e-05 -8.036183e-07 -6.580723e-08 -4.166238e-09 -1.216331e-04 -5.032636e-05 -7.671274e-05 -1.084198e-04
 6479.000000 -1.330456e-05 -8.158055e-07 -6.707479e-08 -4.258231e-09 -1.276554e-04 -4.666762e-05 -8.209119e-05 -1.023885e-04
 6484.000000 -1.339065e-05 -8.276153e-07 -6.828579e-08 -4.344098e-09 -1.324601e-04 -4.968629e-05 -8.505851e-05 -1.014739e-04
 6489.000000 -1.343894e-05 -8.369565e-07 -6.934212e-08 -4.420186e-09 -1.329859e-04 -5.375454e-05 -8.452996e-05 -1.043256e-04
