# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4981609282386
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.9301681265
# ISS.sample_y_position: 15.6960218405
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:28:23
# Scan.end_time: 02/21/2022  13:28:49
# Scan.duration: 00:25
# Scan.transient_id: 196873
# Scan.uid: 113f2835-2228-403b-9dc6-0dac70db6648
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.575166e-05 -2.309801e-06 -3.651500e-07 -1.405399e-07 -8.503042e-05 -4.020588e-05 -7.195822e-05 -5.988164e-05
 7614.000000 -2.332240e-05 -3.434184e-06 -5.437220e-07 -2.085656e-07 -1.319727e-04 -6.854512e-05 -1.040892e-04 -9.131843e-05
 7619.000000 -2.337267e-05 -3.458160e-06 -5.485680e-07 -2.096012e-07 -1.340712e-04 -7.793801e-05 -1.054609e-04 -9.448459e-05
 7624.000000 -2.339490e-05 -3.478833e-06 -5.529740e-07 -2.104211e-07 -1.260822e-04 -6.349148e-05 -1.107489e-04 -9.052672e-05
 7629.000000 -2.348372e-05 -3.510304e-06 -5.590493e-07 -2.118894e-07 -1.239583e-04 -5.611649e-05 -1.068523e-04 -9.260555e-05
 7634.000000 -2.353670e-05 -3.536446e-06 -5.642918e-07 -2.130726e-07 -1.298553e-04 -5.602811e-05 -1.064446e-04 -8.683334e-05
 7639.000000 -2.355954e-05 -3.557659e-06 -5.686971e-07 -2.138660e-07 -1.340835e-04 -5.454958e-05 -1.004950e-04 -8.833424e-05
 7644.000000 -2.356335e-05 -3.575814e-06 -5.726253e-07 -2.145309e-07 -1.354246e-04 -6.956066e-05 -8.560061e-05 -8.354386e-05
 7649.000000 -2.358410e-05 -3.596538e-06 -5.770268e-07 -2.154464e-07 -1.320410e-04 -7.248053e-05 -9.396569e-05 -8.281762e-05
 7654.000000 -2.361170e-05 -3.618605e-06 -5.816100e-07 -2.163555e-07 -1.308907e-04 -6.278000e-05 -1.067419e-04 -8.201632e-05
 7659.000000 -2.368770e-05 -3.648058e-06 -5.874356e-07 -2.178707e-07 -1.206583e-04 -5.805491e-05 -1.045093e-04 -8.961012e-05
 7664.000000 -2.373233e-05 -3.672908e-06 -5.924172e-07 -2.190162e-07 -1.117168e-04 -6.036582e-05 -9.900955e-05 -8.779589e-05
 7669.000000 -2.375564e-05 -3.694150e-06 -5.966882e-07 -2.199945e-07 -1.197138e-04 -6.227387e-05 -1.031134e-04 -8.777374e-05
 7674.000000 -2.371800e-05 -3.704378e-06 -5.992552e-07 -2.204246e-07 -1.199761e-04 -6.954470e-05 -1.050568e-04 -8.158413e-05
 7679.000000 -2.366937e-05 -3.712750e-06 -6.014503e-07 -2.208114e-07 -1.247262e-04 -6.899757e-05 -1.147259e-04 -8.649859e-05
 7683.000000 -2.372505e-05 -3.736040e-06 -6.056934e-07 -2.220993e-07 -1.305684e-04 -6.948975e-05 -1.065498e-04 -9.183030e-05
 7686.000000 -2.375355e-05 -3.750997e-06 -6.083306e-07 -2.229434e-07 -1.231565e-04 -6.856818e-05 -1.029964e-04 -9.057743e-05
 7688.000000 -2.378749e-05 -3.763646e-06 -6.104200e-07 -2.236769e-07 -1.229451e-04 -6.551448e-05 -9.636145e-05 -9.197924e-05
 7689.000000 -2.382082e-05 -3.773316e-06 -6.119886e-07 -2.242324e-07 -1.237835e-04 -7.309373e-05 -1.004521e-04 -9.383820e-05
 7689.200000 -2.385829e-05 -3.780358e-06 -6.131256e-07 -2.246192e-07 -1.234794e-04 -7.164121e-05 -1.150617e-04 -1.034268e-04
 7689.400000 -2.384007e-05 -3.777127e-06 -6.127140e-07 -2.245344e-07 -1.214842e-04 -5.959926e-05 -9.626632e-05 -8.370003e-05
 7689.600000 -2.384582e-05 -3.779364e-06 -6.129433e-07 -2.245614e-07 -1.260976e-04 -6.699639e-05 -9.565016e-05 -8.508576e-05
 7689.800000 -2.387339e-05 -3.785170e-06 -6.138093e-07 -2.247999e-07 -1.328891e-04 -7.335768e-05 -1.029213e-04 -8.716633e-05
 7690.000000 -2.381989e-05 -3.777028e-06 -6.123757e-07 -2.243176e-07 -1.396948e-04 -7.044638e-05 -1.060383e-04 -8.620218e-05
 7690.200000 -2.383422e-05 -3.779532e-06 -6.128117e-07 -2.244950e-07 -1.295544e-04 -6.197238e-05 -1.124496e-04 -7.809231e-05
 7690.400000 -2.380995e-05 -3.775394e-06 -6.123807e-07 -2.245559e-07 -1.366791e-04 -6.680586e-05 -1.031799e-04 -7.789860e-05
 7690.600000 -2.372804e-05 -3.762997e-06 -6.102484e-07 -2.237545e-07 -1.384280e-04 -6.833525e-05 -9.396107e-05 -8.682724e-05
 7690.800000 -2.368551e-05 -3.756444e-06 -6.090384e-07 -2.233325e-07 -1.373228e-04 -7.017218e-05 -9.839707e-05 -9.818214e-05
 7691.000000 -2.375985e-05 -3.769172e-06 -6.112503e-07 -2.240850e-07 -1.288384e-04 -7.252276e-05 -8.925900e-05 -9.161955e-05
 7691.200000 -2.374705e-05 -3.767402e-06 -6.108002e-07 -2.241459e-07 -1.325495e-04 -7.332563e-05 -7.992666e-05 -9.073713e-05
 7691.400000 -2.376774e-05 -3.771381e-06 -6.114527e-07 -2.242859e-07 -1.357480e-04 -6.998139e-05 -9.662219e-05 -9.211183e-05
 7691.600000 -2.371718e-05 -3.762800e-06 -6.102420e-07 -2.238355e-07 -1.270935e-04 -7.953156e-05 -1.003735e-04 -8.941819e-05
 7691.800000 -2.374047e-05 -3.767844e-06 -6.110936e-07 -2.240898e-07 -1.312145e-04 -8.715786e-05 -1.010183e-04 -9.284153e-05
 7692.000000 -2.376691e-05 -3.773606e-06 -6.120296e-07 -2.243900e-07 -1.387498e-04 -8.292587e-05 -9.745435e-05 -8.194478e-05
 7692.200000 -2.373904e-05 -3.770229e-06 -6.113037e-07 -2.243178e-07 -1.378367e-04 -7.795100e-05 -1.002451e-04 -8.690767e-05
 7692.400000 -2.379696e-05 -3.779915e-06 -6.129680e-07 -2.249474e-07 -1.372288e-04 -8.084462e-05 -1.074397e-04 -9.411977e-05
 7692.600000 -2.379466e-05 -3.780744e-06 -6.130799e-07 -2.249631e-07 -1.339307e-04 -7.674966e-05 -1.036776e-04 -1.038879e-04
 7692.800000 -2.379045e-05 -3.779568e-06 -6.128937e-07 -2.248013e-07 -1.322697e-04 -7.998271e-05 -1.060217e-04 -9.684073e-05
 7693.000000 -2.386073e-05 -3.793212e-06 -6.149453e-07 -2.255659e-07 -1.275757e-04 -7.889463e-05 -9.734321e-05 -9.154221e-05
 7693.200000 -2.379848e-05 -3.782727e-06 -6.133456e-07 -2.250958e-07 -1.337905e-04 -7.800528e-05 -9.696383e-05 -9.958772e-05
 7693.400000 -2.383128e-05 -3.789378e-06 -6.143586e-07 -2.254718e-07 -1.282434e-04 -8.935734e-05 -8.773011e-05 -1.040961e-04
 7693.600000 -2.384340e-05 -3.791531e-06 -6.147715e-07 -2.256110e-07 -1.171191e-04 -8.787592e-05 -8.147959e-05 -1.019176e-04
 7693.800000 -2.385904e-05 -3.795576e-06 -6.153642e-07 -2.259163e-07 -1.302106e-04 -9.021467e-05 -9.973882e-05 -9.121749e-05
 7694.000000 -2.386476e-05 -3.797235e-06 -6.156694e-07 -2.259725e-07 -1.386568e-04 -8.804925e-05 -9.986726e-05 -1.012830e-04
 7694.200000 -2.389156e-05 -3.802661e-06 -6.164207e-07 -2.263633e-07 -1.342589e-04 -7.697217e-05 -9.714786e-05 -1.012178e-04
 7694.400000 -2.389956e-05 -3.805000e-06 -6.165865e-07 -2.263199e-07 -1.334034e-04 -8.411040e-05 -1.001642e-04 -9.403565e-05
 7694.600000 -2.385695e-05 -3.798379e-06 -6.154262e-07 -2.259443e-07 -1.307357e-04 -7.857609e-05 -1.026391e-04 -9.831874e-05
 7694.800000 -2.387336e-05 -3.801356e-06 -6.159799e-07 -2.262322e-07 -1.266204e-04 -7.344867e-05 -9.129321e-05 -1.044086e-04
 7695.000000 -2.389796e-05 -3.805521e-06 -6.166659e-07 -2.264999e-07 -1.248931e-04 -7.101083e-05 -9.336124e-05 -9.941578e-05
 7695.200000 -2.390810e-05 -3.808277e-06 -6.171000e-07 -2.266102e-07 -1.336755e-04 -7.317566e-05 -1.085940e-04 -1.081029e-04
 7695.400000 -2.391037e-05 -3.809095e-06 -6.171450e-07 -2.266906e-07 -1.365028e-04 -7.668874e-05 -1.055000e-04 -1.078805e-04
 7695.600000 -2.388205e-05 -3.805929e-06 -6.166175e-07 -2.263965e-07 -1.379202e-04 -8.157182e-05 -9.461112e-05 -1.064349e-04
 7695.800000 -2.389417e-05 -3.808335e-06 -6.170752e-07 -2.266968e-07 -1.316189e-04 -7.923823e-05 -9.000154e-05 -1.036934e-04
 7696.000000 -2.390527e-05 -3.811148e-06 -6.174007e-07 -2.268558e-07 -1.408012e-04 -8.255431e-05 -1.008859e-04 -1.046563e-04
 7696.200000 -2.388161e-05 -3.806951e-06 -6.164591e-07 -2.267242e-07 -1.394466e-04 -7.866445e-05 -1.000718e-04 -1.074483e-04
 7696.400000 -2.386568e-05 -3.804660e-06 -6.159905e-07 -2.266144e-07 -1.418085e-04 -8.113262e-05 -1.016400e-04 -1.070731e-04
 7696.600000 -2.379361e-05 -3.792768e-06 -6.140551e-07 -2.259066e-07 -1.442016e-04 -7.636803e-05 -8.779569e-05 -9.754118e-05
 7696.800000 -2.377664e-05 -3.791243e-06 -6.137338e-07 -2.259650e-07 -1.417322e-04 -7.992222e-05 -9.896620e-05 -1.013037e-04
 7697.000000 -2.375887e-05 -3.788939e-06 -6.134236e-07 -2.258027e-07 -1.449142e-04 -6.606226e-05 -1.085265e-04 -1.065073e-04
 7697.200000 -2.374316e-05 -3.787166e-06 -6.129779e-07 -2.257358e-07 -1.352342e-04 -7.738421e-05 -9.810725e-05 -1.056519e-04
 7697.400000 -2.367133e-05 -3.775651e-06 -6.113133e-07 -2.250739e-07 -1.390083e-04 -7.116746e-05 -8.801578e-05 -9.843403e-05
 7697.600000 -2.368646e-05 -3.778791e-06 -6.117559e-07 -2.253207e-07 -1.418798e-04 -6.559387e-05 -9.172428e-05 -1.051966e-04
 7697.800000 -2.370664e-05 -3.781854e-06 -6.121445e-07 -2.255116e-07 -1.350991e-04 -6.307583e-05 -9.987588e-05 -9.897440e-05
 7698.000000 -2.376435e-05 -3.792250e-06 -6.137127e-07 -2.262287e-07 -1.379002e-04 -6.912550e-05 -1.022275e-04 -1.013280e-04
 7698.200000 -2.381446e-05 -3.801633e-06 -6.150728e-07 -2.266704e-07 -1.390028e-04 -6.595738e-05 -1.034886e-04 -9.930225e-05
 7698.400000 -2.379745e-05 -3.799182e-06 -6.146720e-07 -2.266150e-07 -1.300141e-04 -5.601256e-05 -8.913375e-05 -1.036936e-04
 7698.600000 -2.378245e-05 -3.797544e-06 -6.142199e-07 -2.265104e-07 -1.322174e-04 -6.447765e-05 -8.547108e-05 -1.077708e-04
 7698.800000 -2.374682e-05 -3.792180e-06 -6.131999e-07 -2.263662e-07 -1.293219e-04 -5.782929e-05 -9.229035e-05 -1.065435e-04
 7699.000000 -2.371696e-05 -3.788636e-06 -6.124374e-07 -2.262243e-07 -1.330876e-04 -7.027897e-05 -8.226084e-05 -1.088153e-04
 7699.200000 -2.366647e-05 -3.781280e-06 -6.111782e-07 -2.257351e-07 -1.343637e-04 -6.693185e-05 -7.363542e-05 -9.387122e-05
 7699.400000 -2.365988e-05 -3.780398e-06 -6.108381e-07 -2.256425e-07 -1.340573e-04 -6.632315e-05 -7.996232e-05 -9.085420e-05
 7699.600000 -2.360133e-05 -3.770818e-06 -6.091548e-07 -2.250990e-07 -1.285315e-04 -6.866818e-05 -8.705071e-05 -9.261592e-05
 7699.800000 -2.365039e-05 -3.779679e-06 -6.104893e-07 -2.256741e-07 -1.295408e-04 -7.300203e-05 -8.797828e-05 -9.790753e-05
 7700.000000 -2.365136e-05 -3.780372e-06 -6.105176e-07 -2.256541e-07 -1.377697e-04 -6.686086e-05 -9.567533e-05 -9.803269e-05
 7700.200000 -2.361677e-05 -3.775232e-06 -6.093541e-07 -2.255075e-07 -1.347908e-04 -6.392472e-05 -8.870032e-05 -8.361231e-05
 7700.400000 -2.361851e-05 -3.776182e-06 -6.095091e-07 -2.256767e-07 -1.421168e-04 -5.134087e-05 -8.766391e-05 -8.477537e-05
 7700.600000 -2.363532e-05 -3.780539e-06 -6.099876e-07 -2.258958e-07 -1.411659e-04 -5.138052e-05 -8.267454e-05 -7.359354e-05
 7700.800000 -2.362540e-05 -3.779832e-06 -6.095040e-07 -2.257499e-07 -1.274408e-04 -4.819585e-05 -9.585233e-05 -9.095822e-05
 7701.000000 -2.362897e-05 -3.780116e-06 -6.094985e-07 -2.258646e-07 -1.284665e-04 -5.879253e-05 -9.810975e-05 -9.440639e-05
 7701.200000 -2.361982e-05 -3.778452e-06 -6.091248e-07 -2.259325e-07 -1.332279e-04 -7.477065e-05 -1.022717e-04 -9.687635e-05
 7701.400000 -2.361028e-05 -3.776500e-06 -6.086043e-07 -2.258785e-07 -1.297058e-04 -7.619121e-05 -1.023295e-04 -9.770362e-05
 7701.600000 -2.371841e-05 -3.796021e-06 -6.114417e-07 -2.270759e-07 -1.239637e-04 -8.147012e-05 -9.729055e-05 -8.263146e-05
 7701.800000 -2.381295e-05 -3.812637e-06 -6.136796e-07 -2.281276e-07 -1.350480e-04 -7.447630e-05 -1.009425e-04 -9.196776e-05
 7702.000000 -2.381745e-05 -3.812345e-06 -6.136095e-07 -2.283594e-07 -1.229129e-04 -7.019664e-05 -9.052332e-05 -8.969850e-05
 7702.200000 -2.385133e-05 -3.819542e-06 -6.144518e-07 -2.287579e-07 -1.177471e-04 -6.847130e-05 -9.479688e-05 -9.628668e-05
 7702.400000 -2.389724e-05 -3.828233e-06 -6.154681e-07 -2.292276e-07 -1.265555e-04 -8.229978e-05 -8.744835e-05 -8.632605e-05
 7702.600000 -2.390485e-05 -3.829984e-06 -6.153792e-07 -2.294846e-07 -1.399831e-04 -7.624623e-05 -8.662889e-05 -9.367189e-05
 7702.800000 -2.385472e-05 -3.821638e-06 -6.139059e-07 -2.290884e-07 -1.373343e-04 -7.837709e-05 -8.449021e-05 -9.290251e-05
 7703.000000 -2.384100e-05 -3.818726e-06 -6.131684e-07 -2.289376e-07 -1.313587e-04 -7.136486e-05 -8.386553e-05 -9.192844e-05
 7703.200000 -2.376434e-05 -3.806619e-06 -6.106690e-07 -2.284677e-07 -1.236714e-04 -6.958098e-05 -8.276639e-05 -9.614235e-05
 7703.400000 -2.391320e-05 -3.832307e-06 -6.143168e-07 -2.299740e-07 -1.216593e-04 -7.349480e-05 -8.338041e-05 -9.443749e-05
 7703.600000 -2.383061e-05 -3.818922e-06 -6.116855e-07 -2.292749e-07 -1.188775e-04 -8.282509e-05 -8.401076e-05 -8.657813e-05
 7703.800000 -2.386802e-05 -3.826042e-06 -6.126576e-07 -2.299229e-07 -1.243334e-04 -8.365778e-05 -8.990651e-05 -9.024769e-05
 7704.000000 -2.377247e-05 -3.810699e-06 -6.094371e-07 -2.288865e-07 -1.236631e-04 -8.357185e-05 -8.581629e-05 -8.953836e-05
 7704.200000 -2.375828e-05 -3.808134e-06 -6.084427e-07 -2.289083e-07 -1.262059e-04 -7.709221e-05 -9.448417e-05 -8.270627e-05
 7704.400000 -2.377150e-05 -3.810470e-06 -6.081720e-07 -2.292309e-07 -1.319592e-04 -6.703637e-05 -9.820196e-05 -9.205506e-05
 7704.600000 -2.382083e-05 -3.819930e-06 -6.091005e-07 -2.298019e-07 -1.345370e-04 -6.417241e-05 -8.263169e-05 -9.843863e-05
 7704.800000 -2.381397e-05 -3.819490e-06 -6.082240e-07 -2.298665e-07 -1.420691e-04 -5.919518e-05 -8.392320e-05 -9.784370e-05
 7705.000000 -2.379318e-05 -3.816037e-06 -6.069206e-07 -2.299032e-07 -1.380093e-04 -6.369555e-05 -8.059957e-05 -8.429505e-05
 7705.200000 -2.387187e-05 -3.830126e-06 -6.083765e-07 -2.308111e-07 -1.353211e-04 -6.316574e-05 -9.780299e-05 -9.013927e-05
 7705.400000 -2.383236e-05 -3.823404e-06 -6.064150e-07 -2.306624e-07 -1.322198e-04 -6.304927e-05 -1.043275e-04 -1.007198e-04
 7705.600000 -2.390612e-05 -3.837188e-06 -6.073508e-07 -2.315762e-07 -1.363939e-04 -7.036526e-05 -9.062742e-05 -9.627044e-05
