# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.9577220472262
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.9301299795
# ISS.sample_y_position: 15.696040914
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:40:30
# Scan.end_time: 02/21/2022  13:40:54
# Scan.duration: 00:23
# Scan.transient_id: 196895
# Scan.uid: 4b2a7397-122c-49c4-aa18-c714652eecfb
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.824073e-05 -3.616249e-06 -2.168721e-07 -2.656977e-07 -1.119364e-04 -4.495441e-05 -5.722025e-05 -6.361253e-05
 8238.000000 -2.603529e-05 -5.179589e-06 -3.110926e-07 -3.791060e-07 -1.665110e-04 -6.206785e-05 -8.062364e-05 -9.843516e-05
 8243.000000 -2.611992e-05 -5.220082e-06 -3.138477e-07 -3.798671e-07 -1.709591e-04 -6.373057e-05 -8.600812e-05 -9.952735e-05
 8248.000000 -2.611335e-05 -5.241553e-06 -3.151196e-07 -3.798669e-07 -1.744310e-04 -6.968599e-05 -9.759448e-05 -9.905583e-05
 8253.000000 -2.607561e-05 -5.255767e-06 -3.158935e-07 -3.798654e-07 -1.681263e-04 -7.102936e-05 -8.821473e-05 -8.310986e-05
 8258.000000 -2.611048e-05 -5.285783e-06 -3.176144e-07 -3.798664e-07 -1.685187e-04 -7.408212e-05 -9.015305e-05 -8.537627e-05
 8263.000000 -2.616238e-05 -5.318595e-06 -3.197813e-07 -3.798676e-07 -1.760920e-04 -7.260708e-05 -9.266005e-05 -9.281351e-05
 8268.000000 -2.617522e-05 -5.342703e-06 -3.218624e-07 -3.798679e-07 -1.778324e-04 -7.698883e-05 -8.917362e-05 -9.612918e-05
 8273.000000 -2.620640e-05 -5.370061e-06 -3.246485e-07 -3.798681e-07 -1.876535e-04 -7.869212e-05 -8.673698e-05 -1.027748e-04
 8278.000000 -2.609418e-05 -5.364600e-06 -3.258806e-07 -3.798674e-07 -1.903724e-04 -7.503085e-05 -8.497345e-05 -9.493414e-05
 8283.000000 -2.620427e-05 -5.409663e-06 -3.303534e-07 -3.798668e-07 -1.824211e-04 -7.770512e-05 -9.568525e-05 -9.018503e-05
 8288.000000 -2.614050e-05 -5.413950e-06 -3.323577e-07 -3.798671e-07 -1.817115e-04 -7.503440e-05 -9.400137e-05 -9.174504e-05
 8293.000000 -2.611450e-05 -5.426526e-06 -3.349157e-07 -3.798678e-07 -1.852079e-04 -6.753170e-05 -9.374962e-05 -8.286221e-05
 8298.000000 -2.617437e-05 -5.457801e-06 -3.386065e-07 -3.798689e-07 -1.804550e-04 -6.554279e-05 -9.218234e-05 -8.506008e-05
 8303.000000 -2.623530e-05 -5.488012e-06 -3.421362e-07 -3.798685e-07 -1.809788e-04 -6.589402e-05 -9.849968e-05 -8.664312e-05
 8307.000000 -2.631732e-05 -5.519221e-06 -3.452489e-07 -3.798683e-07 -1.708307e-04 -6.267442e-05 -8.981276e-05 -9.149898e-05
 8310.000000 -2.633345e-05 -5.530851e-06 -3.467910e-07 -3.798687e-07 -1.610240e-04 -6.415838e-05 -9.386760e-05 -8.994881e-05
 8312.000000 -2.626780e-05 -5.519281e-06 -3.466791e-07 -3.798693e-07 -1.671128e-04 -6.558327e-05 -9.610880e-05 -8.261588e-05
 8313.000000 -2.610997e-05 -5.484040e-06 -3.448552e-07 -3.798690e-07 -1.711047e-04 -5.985266e-05 -1.039319e-04 -8.382235e-05
 8313.200000 -2.611091e-05 -5.483562e-06 -3.449685e-07 -3.799268e-07 -1.701132e-04 -6.052417e-05 -1.092971e-04 -9.455925e-05
 8313.400000 -2.617266e-05 -5.498985e-06 -3.456481e-07 -3.798292e-07 -1.714094e-04 -6.785167e-05 -1.159663e-04 -9.382519e-05
 8313.600000 -2.630689e-05 -5.530863e-06 -3.478161e-07 -3.799106e-07 -1.687990e-04 -6.562864e-05 -1.085012e-04 -8.995881e-05
 8313.800000 -2.636096e-05 -5.545162e-06 -3.486377e-07 -3.798582e-07 -1.708029e-04 -6.564049e-05 -1.042523e-04 -9.137478e-05
 8314.000000 -2.638366e-05 -5.550719e-06 -3.491783e-07 -3.798806e-07 -1.717776e-04 -5.863791e-05 -1.014629e-04 -8.873509e-05
 8314.200000 -2.637997e-05 -5.549695e-06 -3.491147e-07 -3.798429e-07 -1.691843e-04 -6.016417e-05 -1.061977e-04 -8.245106e-05
 8314.400000 -2.638643e-05 -5.551053e-06 -3.492453e-07 -3.798742e-07 -1.697127e-04 -6.158007e-05 -1.068453e-04 -7.267637e-05
 8314.600000 -2.639520e-05 -5.553230e-06 -3.493481e-07 -3.798561e-07 -1.684874e-04 -6.204202e-05 -1.180541e-04 -7.655216e-05
 8314.800000 -2.637657e-05 -5.550109e-06 -3.492152e-07 -3.799054e-07 -1.748556e-04 -6.675021e-05 -1.013320e-04 -6.664005e-05
 8315.000000 -2.637539e-05 -5.550102e-06 -3.493146e-07 -3.798556e-07 -1.669336e-04 -7.034497e-05 -1.044008e-04 -7.538393e-05
 8315.200000 -2.638769e-05 -5.554125e-06 -3.498609e-07 -3.798270e-07 -1.687272e-04 -7.360666e-05 -1.066398e-04 -8.190236e-05
