# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4439071627337
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.9301299795
# ISS.sample_y_position: 15.6960599875
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:17:13
# Scan.end_time: 02/21/2022  13:17:37
# Scan.duration: 00:24
# Scan.transient_id: 196853
# Scan.uid: fb7bb9c8-e015-4318-87ec-80acf2a1b15d
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.441538e-06 -4.861762e-07 -3.880924e-08 -2.453738e-09 -1.055685e-04 -2.967109e-05 -5.843114e-05 -2.770439e-05
 6444.000000 -1.283499e-05 -7.437438e-07 -5.954800e-08 -3.758704e-09 -1.684002e-04 -4.364322e-05 -7.759614e-05 -4.269912e-05
 6449.000000 -1.291118e-05 -7.543481e-07 -6.061841e-08 -3.824990e-09 -1.695020e-04 -4.064257e-05 -7.279038e-05 -4.059848e-05
 6454.000000 -1.294584e-05 -7.624762e-07 -6.149871e-08 -3.887396e-09 -1.669880e-04 -4.037656e-05 -7.630120e-05 -4.425439e-05
 6459.000000 -1.304536e-05 -7.746520e-07 -6.270282e-08 -3.969494e-09 -1.693501e-04 -3.310055e-05 -9.276868e-05 -5.331153e-05
 6464.000000 -1.312254e-05 -7.856461e-07 -6.388325e-08 -4.039225e-09 -1.576082e-04 -2.971346e-05 -9.435918e-05 -5.551120e-05
 6469.000000 -1.310310e-05 -7.899107e-07 -6.451624e-08 -4.079779e-09 -1.575656e-04 -3.237805e-05 -9.277982e-05 -5.118921e-05
 6474.000000 -1.317686e-05 -8.009350e-07 -6.566087e-08 -4.161710e-09 -1.684325e-04 -3.311045e-05 -9.946932e-05 -5.512296e-05
 6479.000000 -1.325750e-05 -8.123038e-07 -6.679543e-08 -4.243907e-09 -1.685616e-04 -3.653567e-05 -9.590680e-05 -5.849729e-05
 6484.000000 -1.330717e-05 -8.218551e-07 -6.784740e-08 -4.310092e-09 -1.614876e-04 -2.650870e-05 -8.565691e-05 -6.114663e-05
 6489.000000 -1.339379e-05 -8.336966e-07 -6.910450e-08 -4.399924e-09 -1.579440e-04 -2.699276e-05 -8.171260e-05 -5.801944e-05
 6494.000000 -1.346491e-05 -8.448696e-07 -7.028541e-08 -4.495522e-09 -1.521112e-04 -3.602601e-05 -8.473898e-05 -5.670635e-05
 6499.000000 -1.348718e-05 -8.522655e-07 -7.119780e-08 -4.562180e-09 -1.543301e-04 -4.399401e-05 -9.307818e-05 -4.969637e-05
 6504.000000 -1.357895e-05 -8.648254e-07 -7.252489e-08 -4.669879e-09 -1.503227e-04 -4.487454e-05 -9.520638e-05 -4.171288e-05
 6509.000000 -1.359526e-05 -8.723557e-07 -7.345615e-08 -4.752980e-09 -1.558330e-04 -4.088652e-05 -8.746593e-05 -3.930106e-05
 6513.000000 -1.356747e-05 -8.757879e-07 -7.395307e-08 -4.823525e-09 -1.559374e-04 -4.191039e-05 -9.701987e-05 -4.453623e-05
 6516.000000 -1.373136e-05 -8.903032e-07 -7.535140e-08 -4.930848e-09 -1.534062e-04 -4.387363e-05 -9.146075e-05 -4.732358e-05
 6518.000000 -1.377045e-05 -8.953065e-07 -7.593330e-08 -4.975267e-09 -1.527450e-04 -4.728518e-05 -8.350584e-05 -3.822905e-05
 6519.000000 -1.376303e-05 -8.960486e-07 -7.603372e-08 -5.008978e-09 -1.554837e-04 -4.347081e-05 -7.703769e-05 -3.659185e-05
 6519.200000 -1.376583e-05 -8.966622e-07 -7.606998e-08 -5.030461e-09 -1.581561e-04 -4.492657e-05 -6.921672e-05 -3.447233e-05
 6519.400000 -1.375650e-05 -8.958142e-07 -7.605714e-08 -5.027412e-09 -1.572845e-04 -4.794360e-05 -6.606864e-05 -3.423341e-05
 6519.600000 -1.372957e-05 -8.946652e-07 -7.599740e-08 -5.009313e-09 -1.576568e-04 -4.993298e-05 -8.326116e-05 -4.218499e-05
 6519.800000 -1.371877e-05 -8.942454e-07 -7.591433e-08 -5.030280e-09 -1.562782e-04 -4.688215e-05 -8.464920e-05 -4.550940e-05
 6520.000000 -1.372114e-05 -8.940434e-07 -7.599434e-08 -5.026565e-09 -1.571794e-04 -5.162270e-05 -8.704611e-05 -4.401071e-05
 6520.200000 -1.372520e-05 -8.951360e-07 -7.611706e-08 -5.025911e-09 -1.600285e-04 -4.760874e-05 -9.319848e-05 -4.485597e-05
 6520.400000 -1.372819e-05 -8.954474e-07 -7.612462e-08 -5.031430e-09 -1.530698e-04 -4.229820e-05 -8.454181e-05 -4.004424e-05
 6520.600000 -1.374822e-05 -8.968781e-07 -7.627285e-08 -5.029311e-09 -1.648984e-04 -4.503672e-05 -8.803809e-05 -3.527360e-05
 6520.800000 -1.373785e-05 -8.970864e-07 -7.613453e-08 -5.025648e-09 -1.613328e-04 -4.167767e-05 -9.557770e-05 -3.864198e-05
 6521.000000 -1.375822e-05 -8.984362e-07 -7.641037e-08 -5.065206e-09 -1.590111e-04 -4.329534e-05 -8.598832e-05 -3.986633e-05
 6521.200000 -1.377406e-05 -8.994110e-07 -7.647674e-08 -5.098909e-09 -1.686750e-04 -4.159417e-05 -8.966012e-05 -4.316024e-05
 6521.400000 -1.377780e-05 -9.000752e-07 -7.655231e-08 -5.062788e-09 -1.673881e-04 -3.977583e-05 -8.892640e-05 -3.500763e-05
 6521.600000 -1.374050e-05 -8.975958e-07 -7.635931e-08 -5.054375e-09 -1.677480e-04 -3.409873e-05 -8.512665e-05 -3.769178e-05
 6521.800000 -1.373842e-05 -8.978113e-07 -7.636816e-08 -5.068278e-09 -1.644049e-04 -4.222569e-05 -8.139065e-05 -4.396978e-05
 6522.000000 -1.375442e-05 -8.992179e-07 -7.655081e-08 -5.081081e-09 -1.558449e-04 -4.004651e-05 -9.068211e-05 -4.707360e-05
 6522.200000 -1.370945e-05 -8.964433e-07 -7.634824e-08 -5.086251e-09 -1.526158e-04 -3.735544e-05 -8.278244e-05 -3.809716e-05
 6522.400000 -1.371844e-05 -8.965960e-07 -7.631898e-08 -5.079374e-09 -1.527517e-04 -3.154619e-05 -8.403521e-05 -3.536202e-05
 6522.600000 -1.370339e-05 -8.965549e-07 -7.629002e-08 -5.090513e-09 -1.532338e-04 -2.883300e-05 -8.240087e-05 -3.585973e-05
 6522.800000 -1.372849e-05 -8.981417e-07 -7.649735e-08 -5.082830e-09 -1.542579e-04 -3.640690e-05 -7.877920e-05 -3.593870e-05
 6523.000000 -1.372464e-05 -8.986153e-07 -7.643379e-08 -5.076971e-09 -1.562330e-04 -3.739093e-05 -8.250203e-05 -2.576299e-05
 6523.200000 -1.374534e-05 -8.995070e-07 -7.671336e-08 -5.096109e-09 -1.513169e-04 -4.087112e-05 -8.349384e-05 -3.672535e-05
 6523.400000 -1.376604e-05 -9.012241e-07 -7.682385e-08 -5.127626e-09 -1.513516e-04 -3.839992e-05 -7.861280e-05 -3.485171e-05
 6523.600000 -1.377172e-05 -9.020623e-07 -7.688342e-08 -5.142062e-09 -1.562341e-04 -3.908133e-05 -7.583883e-05 -4.257523e-05
 6523.800000 -1.378121e-05 -9.037886e-07 -7.696004e-08 -5.123609e-09 -1.567178e-04 -5.829899e-05 -7.206536e-05 -4.543054e-05
 6524.000000 -1.376700e-05 -9.024052e-07 -7.700947e-08 -5.140742e-09 -1.648256e-04 -5.504722e-05 -8.393645e-05 -3.431165e-05
 6524.200000 -1.379486e-05 -9.042286e-07 -7.706961e-08 -5.154563e-09 -1.551549e-04 -6.292108e-05 -8.596408e-05 -3.898117e-05
 6524.400000 -1.377741e-05 -9.036085e-07 -7.705391e-08 -5.151168e-09 -1.496623e-04 -5.342318e-05 -8.555977e-05 -4.269300e-05
 6524.600000 -1.381753e-05 -9.071647e-07 -7.741721e-08 -5.161980e-09 -1.517671e-04 -5.129746e-05 -8.854129e-05 -3.469908e-05
 6524.800000 -1.383127e-05 -9.090231e-07 -7.753731e-08 -5.189922e-09 -1.482574e-04 -4.171638e-05 -7.685020e-05 -3.030854e-05
 6525.000000 -1.383515e-05 -9.089176e-07 -7.755126e-08 -5.200384e-09 -1.526567e-04 -5.855392e-05 -7.943021e-05 -3.528259e-05
 6525.200000 -1.383902e-05 -9.090256e-07 -7.753536e-08 -5.196746e-09 -1.539203e-04 -5.623658e-05 -8.612860e-05 -3.598557e-05
 6525.400000 -1.383361e-05 -9.085331e-07 -7.746182e-08 -5.209942e-09 -1.479880e-04 -5.166095e-05 -8.747817e-05 -3.813879e-05
 6525.600000 -1.381102e-05 -9.080241e-07 -7.733784e-08 -5.213601e-09 -1.553473e-04 -5.340445e-05 -6.598438e-05 -3.467453e-05
 6525.800000 -1.378212e-05 -9.052938e-07 -7.727083e-08 -5.199221e-09 -1.582702e-04 -5.598427e-05 -8.240655e-05 -4.199074e-05
 6526.000000 -1.376494e-05 -9.049645e-07 -7.727113e-08 -5.202896e-09 -1.630760e-04 -5.781534e-05 -8.772524e-05 -3.973391e-05
 6526.200000 -1.371317e-05 -9.015111e-07 -7.695275e-08 -5.194925e-09 -1.656034e-04 -5.991857e-05 -8.233477e-05 -3.439193e-05
