# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.13390021735023
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.930034612
# ISS.sample_y_position: 15.6960218405
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:28:57
# Scan.end_time: 02/21/2022  13:29:20
# Scan.duration: 00:23
# Scan.transient_id: 196874
# Scan.uid: 354cb538-5c72-4e55-a9ff-97a37b8dcdee
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.563448e-05 -2.290864e-06 -3.621653e-07 -1.394373e-07 -9.188473e-05 -3.473415e-05 -5.668981e-05 -3.206409e-05
 7614.000000 -2.304182e-05 -3.388709e-06 -5.365931e-07 -2.059581e-07 -1.383283e-04 -5.532272e-05 -8.731494e-05 -5.155539e-05
 7619.000000 -2.322485e-05 -3.433842e-06 -5.448805e-07 -2.082412e-07 -1.467758e-04 -5.364123e-05 -9.183398e-05 -5.337336e-05
 7624.000000 -2.328714e-05 -3.460861e-06 -5.502228e-07 -2.094719e-07 -1.461247e-04 -4.714348e-05 -8.228281e-05 -5.170291e-05
 7629.000000 -2.333758e-05 -3.485830e-06 -5.552408e-07 -2.105760e-07 -1.470935e-04 -5.270032e-05 -8.526171e-05 -7.840375e-05
 7634.000000 -2.334893e-05 -3.504658e-06 -5.592725e-07 -2.113021e-07 -1.379543e-04 -5.296042e-05 -8.704273e-05 -8.953817e-05
 7639.000000 -2.333456e-05 -3.519831e-06 -5.627104e-07 -2.117993e-07 -1.308739e-04 -5.088480e-05 -9.521432e-05 -8.973609e-05
 7644.000000 -2.349675e-05 -3.563886e-06 -5.707884e-07 -2.139393e-07 -1.354753e-04 -4.898187e-05 -1.017163e-04 -9.552730e-05
 7649.000000 -2.339482e-05 -3.564631e-06 -5.718947e-07 -2.136255e-07 -1.323748e-04 -4.987578e-05 -1.110538e-04 -7.206165e-05
 7654.000000 -2.341774e-05 -3.586294e-06 -5.763496e-07 -2.145644e-07 -1.347020e-04 -5.323743e-05 -1.097537e-04 -7.354088e-05
 7659.000000 -2.360502e-05 -3.634152e-06 -5.849774e-07 -2.170132e-07 -1.362668e-04 -6.453812e-05 -9.834377e-05 -8.698870e-05
 7664.000000 -2.360711e-05 -3.651490e-06 -5.887565e-07 -2.177807e-07 -1.335861e-04 -6.697906e-05 -9.255058e-05 -8.662063e-05
 7669.000000 -2.366255e-05 -3.677869e-06 -5.939528e-07 -2.190740e-07 -1.417470e-04 -5.927579e-05 -1.018965e-04 -8.749166e-05
 7674.000000 -2.366970e-05 -3.696101e-06 -5.977432e-07 -2.199449e-07 -1.357165e-04 -5.283631e-05 -1.116350e-04 -9.155443e-05
 7679.000000 -2.379035e-05 -3.733622e-06 -6.045912e-07 -2.219672e-07 -1.292769e-04 -5.528862e-05 -9.842582e-05 -9.292426e-05
 7683.000000 -2.381977e-05 -3.752268e-06 -6.080672e-07 -2.229842e-07 -1.284477e-04 -5.652290e-05 -9.387724e-05 -8.542891e-05
 7686.000000 -2.372825e-05 -3.746559e-06 -6.075253e-07 -2.226925e-07 -1.332325e-04 -4.943003e-05 -1.004977e-04 -7.759565e-05
 7688.000000 -2.366944e-05 -3.743516e-06 -6.071236e-07 -2.225324e-07 -1.171508e-04 -4.817756e-05 -9.808231e-05 -7.648119e-05
 7689.000000 -2.380613e-05 -3.770410e-06 -6.114990e-07 -2.241020e-07 -1.123509e-04 -5.215332e-05 -9.866511e-05 -8.393370e-05
 7689.200000 -2.377416e-05 -3.765800e-06 -6.107955e-07 -2.237981e-07 -1.142791e-04 -4.931464e-05 -9.100221e-05 -8.391620e-05
 7689.400000 -2.368839e-05 -3.751856e-06 -6.085149e-07 -2.230923e-07 -1.211430e-04 -5.146037e-05 -9.241852e-05 -8.216301e-05
 7689.600000 -2.366561e-05 -3.748280e-06 -6.079997e-07 -2.228200e-07 -1.245062e-04 -5.784143e-05 -1.065143e-04 -8.818167e-05
 7689.800000 -2.360267e-05 -3.737874e-06 -6.063807e-07 -2.223355e-07 -1.238664e-04 -6.582432e-05 -1.123728e-04 -8.258386e-05
