# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.59745778209293
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.930034612
# ISS.sample_y_position: 15.6960599875
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:41:02
# Scan.end_time: 02/21/2022  13:41:26
# Scan.duration: 00:24
# Scan.transient_id: 196896
# Scan.uid: 080ba861-9ed2-4997-a63d-fcf025ec0f29
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.820122e-05 -3.605929e-06 -2.163243e-07 -2.655794e-07 -1.062924e-04 -4.951189e-05 -9.075470e-05 -7.505175e-05
 8238.000000 -2.597570e-05 -5.163876e-06 -3.103104e-07 -3.791046e-07 -1.529218e-04 -6.783650e-05 -1.325842e-04 -1.080239e-04
 8243.000000 -2.608028e-05 -5.208253e-06 -3.134138e-07 -3.798686e-07 -1.446517e-04 -6.214470e-05 -1.274103e-04 -1.058593e-04
 8248.000000 -2.609043e-05 -5.233343e-06 -3.149403e-07 -3.798684e-07 -1.440500e-04 -6.566907e-05 -1.129310e-04 -1.105124e-04
 8253.000000 -2.617334e-05 -5.274606e-06 -3.173440e-07 -3.798673e-07 -1.558331e-04 -5.988266e-05 -1.030920e-04 -1.076100e-04
 8258.000000 -2.617982e-05 -5.299030e-06 -3.186566e-07 -3.798676e-07 -1.595110e-04 -6.241282e-05 -1.161014e-04 -1.157648e-04
 8263.000000 -2.622806e-05 -5.331755e-06 -3.207370e-07 -3.798672e-07 -1.534306e-04 -7.529437e-05 -1.157209e-04 -1.235667e-04
 8268.000000 -2.626850e-05 -5.361515e-06 -3.232591e-07 -3.798668e-07 -1.458381e-04 -7.064962e-05 -1.065670e-04 -1.130773e-04
 8273.000000 -2.620393e-05 -5.366157e-06 -3.248324e-07 -3.798672e-07 -1.530845e-04 -7.037636e-05 -1.055562e-04 -1.057130e-04
 8278.000000 -2.617873e-05 -5.380603e-06 -3.272335e-07 -3.798670e-07 -1.531722e-04 -6.276155e-05 -1.186443e-04 -1.015235e-04
 8283.000000 -2.616082e-05 -5.396384e-06 -3.299223e-07 -3.798678e-07 -1.414300e-04 -6.584097e-05 -1.188334e-04 -9.473492e-05
 8288.000000 -2.617449e-05 -5.418472e-06 -3.329834e-07 -3.798690e-07 -1.401485e-04 -7.525036e-05 -1.114386e-04 -1.026838e-04
 8293.000000 -2.634053e-05 -5.475906e-06 -3.382323e-07 -3.798686e-07 -1.472520e-04 -7.804645e-05 -9.707129e-05 -1.092038e-04
 8298.000000 -2.632938e-05 -5.491462e-06 -3.408319e-07 -3.798700e-07 -1.435412e-04 -8.343740e-05 -1.088319e-04 -1.151797e-04
 8303.000000 -2.627542e-05 -5.495286e-06 -3.426990e-07 -3.798708e-07 -1.510900e-04 -7.814309e-05 -1.104177e-04 -1.060021e-04
