# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.12334397451116
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.930034612
# ISS.sample_y_position: 15.695926473
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:17:46
# Scan.end_time: 02/21/2022  13:18:12
# Scan.duration: 00:25
# Scan.transient_id: 196854
# Scan.uid: b6d3a5c2-5a86-4d40-9ad2-be72f3ec60d1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.433912e-06 -4.857117e-07 -3.874184e-08 -2.452688e-09 -9.833835e-05 -4.359389e-05 -5.179534e-05 -1.817746e-05
 6444.000000 -1.284282e-05 -7.445403e-07 -5.957309e-08 -3.764828e-09 -1.459631e-04 -5.992182e-05 -7.700075e-05 -2.818502e-05
 6449.000000 -1.292489e-05 -7.553778e-07 -6.066491e-08 -3.831034e-09 -1.415241e-04 -6.852642e-05 -8.193401e-05 -1.438892e-05
 6454.000000 -1.292500e-05 -7.609561e-07 -6.139330e-08 -3.882204e-09 -1.378160e-04 -7.598627e-05 -8.426360e-05 -1.979537e-05
 6459.000000 -1.302922e-05 -7.733840e-07 -6.261883e-08 -3.964927e-09 -1.367691e-04 -6.600929e-05 -8.756611e-05 -2.810045e-05
 6464.000000 -1.313152e-05 -7.860614e-07 -6.384710e-08 -4.045345e-09 -1.383927e-04 -6.202430e-05 -8.935947e-05 -2.976426e-05
 6469.000000 -1.316510e-05 -7.941438e-07 -6.480552e-08 -4.110709e-09 -1.413294e-04 -7.409087e-05 -8.728254e-05 -2.598559e-05
 6474.000000 -1.324222e-05 -8.054926e-07 -6.595516e-08 -4.181353e-09 -1.333038e-04 -7.802047e-05 -8.213323e-05 -2.766521e-05
 6479.000000 -1.328810e-05 -8.144069e-07 -6.693336e-08 -4.260897e-09 -1.251087e-04 -7.025360e-05 -7.807593e-05 -3.114402e-05
 6484.000000 -1.334836e-05 -8.244015e-07 -6.805129e-08 -4.331135e-09 -1.300849e-04 -8.026005e-05 -7.263450e-05 -2.709301e-05
 6489.000000 -1.338677e-05 -8.330970e-07 -6.903323e-08 -4.393220e-09 -1.271576e-04 -7.662401e-05 -7.534833e-05 -3.256930e-05
