# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.81956339882294
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.929996465
# ISS.sample_y_position: 15.695983693499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:29:29
# Scan.end_time: 02/21/2022  13:29:52
# Scan.duration: 00:23
# Scan.transient_id: 196875
# Scan.uid: 3b1cb373-270a-4453-b876-f0a05e61214a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.570102e-05 -2.301428e-06 -3.637505e-07 -1.400245e-07 -8.999174e-05 -3.753379e-05 -6.245073e-05 -3.701069e-05
 7614.000000 -2.313580e-05 -3.403675e-06 -5.388776e-07 -2.068101e-07 -1.310862e-04 -5.591193e-05 -8.519645e-05 -6.134801e-05
 7619.000000 -2.332388e-05 -3.450180e-06 -5.472612e-07 -2.091491e-07 -1.274320e-04 -5.647199e-05 -8.257817e-05 -6.722606e-05
 7624.000000 -2.340541e-05 -3.479939e-06 -5.530974e-07 -2.105269e-07 -1.299281e-04 -6.270792e-05 -8.351804e-05 -6.166800e-05
 7629.000000 -2.343917e-05 -3.502882e-06 -5.577513e-07 -2.114616e-07 -1.328532e-04 -5.915474e-05 -9.435453e-05 -5.781245e-05
 7634.000000 -2.346175e-05 -3.523645e-06 -5.621331e-07 -2.123321e-07 -1.287852e-04 -6.929020e-05 -9.213091e-05 -5.633710e-05
 7639.000000 -2.342786e-05 -3.535388e-06 -5.651020e-07 -2.126862e-07 -1.293989e-04 -7.120098e-05 -9.493992e-05 -4.992181e-05
 7644.000000 -2.348857e-05 -3.563004e-06 -5.704730e-07 -2.139132e-07 -1.252287e-04 -5.381464e-05 -1.042263e-04 -5.644516e-05
 7649.000000 -2.350549e-05 -3.582890e-06 -5.746572e-07 -2.147097e-07 -1.280693e-04 -4.736615e-05 -1.031799e-04 -5.388255e-05
 7654.000000 -2.346797e-05 -3.593960e-06 -5.775055e-07 -2.150180e-07 -1.330957e-04 -4.674234e-05 -9.526117e-05 -4.810261e-05
 7659.000000 -2.358669e-05 -3.630725e-06 -5.843638e-07 -2.168599e-07 -1.329796e-04 -4.500805e-05 -9.581320e-05 -4.433569e-05
 7664.000000 -2.368019e-05 -3.663794e-06 -5.905850e-07 -2.184600e-07 -1.349275e-04 -4.314257e-05 -8.903143e-05 -5.132330e-05
 7669.000000 -2.372117e-05 -3.687952e-06 -5.953606e-07 -2.195920e-07 -1.392181e-04 -3.699734e-05 -8.966000e-05 -5.064123e-05
 7674.000000 -2.372521e-05 -3.705454e-06 -5.991259e-07 -2.204586e-07 -1.416067e-04 -3.772670e-05 -9.741160e-05 -5.108830e-05
 7679.000000 -2.374050e-05 -3.724884e-06 -6.031034e-07 -2.214635e-07 -1.378870e-04 -5.123840e-05 -9.713971e-05 -4.683434e-05
 7683.000000 -2.377793e-05 -3.745268e-06 -6.068290e-07 -2.225392e-07 -1.342930e-04 -5.961137e-05 -9.749123e-05 -4.252737e-05
 7686.000000 -2.376671e-05 -3.753557e-06 -6.083605e-07 -2.230043e-07 -1.361059e-04 -6.217817e-05 -9.924691e-05 -3.748251e-05
 7688.000000 -2.381067e-05 -3.767690e-06 -6.107696e-07 -2.238724e-07 -1.310205e-04 -6.498163e-05 -1.054598e-04 -3.467351e-05
 7689.000000 -2.378379e-05 -3.766330e-06 -6.106305e-07 -2.238338e-07 -1.377889e-04 -6.978215e-05 -1.107546e-04 -4.043913e-05
 7689.200000 -2.379950e-05 -3.769890e-06 -6.112167e-07 -2.240769e-07 -1.387371e-04 -6.051422e-05 -9.745424e-05 -3.029834e-05
 7689.400000 -2.376676e-05 -3.765060e-06 -6.102752e-07 -2.238083e-07 -1.361189e-04 -6.259422e-05 -1.066935e-04 -3.853177e-05
 7689.600000 -2.381097e-05 -3.773566e-06 -6.114824e-07 -2.242484e-07 -1.319223e-04 -7.159743e-05 -1.107170e-04 -3.980055e-05
 7689.800000 -2.379937e-05 -3.772544e-06 -6.115510e-07 -2.241642e-07 -1.289898e-04 -7.063971e-05 -1.146784e-04 -3.869515e-05
 7690.000000 -2.378481e-05 -3.769567e-06 -6.111256e-07 -2.240824e-07 -1.310928e-04 -6.081960e-05 -1.012982e-04 -3.894367e-05
 7690.200000 -2.379372e-05 -3.771941e-06 -6.115095e-07 -2.241356e-07 -1.270154e-04 -5.922914e-05 -1.062913e-04 -3.901179e-05
 7690.400000 -2.376147e-05 -3.766920e-06 -6.107619e-07 -2.238932e-07 -1.314836e-04 -6.134864e-05 -1.165814e-04 -4.047849e-05
 7690.600000 -2.379875e-05 -3.774011e-06 -6.118371e-07 -2.244694e-07 -1.331874e-04 -5.871745e-05 -1.078170e-04 -3.902321e-05
 7690.800000 -2.381654e-05 -3.778156e-06 -6.124281e-07 -2.246757e-07 -1.317597e-04 -5.973638e-05 -1.071727e-04 -4.615942e-05
 7691.000000 -2.379091e-05 -3.773922e-06 -6.117980e-07 -2.244445e-07 -1.379383e-04 -6.087718e-05 -1.058378e-04 -3.623473e-05
 7691.200000 -2.380667e-05 -3.777497e-06 -6.124268e-07 -2.246105e-07 -1.282657e-04 -5.604555e-05 -1.112902e-04 -2.989068e-05
 7691.400000 -2.381633e-05 -3.779846e-06 -6.127680e-07 -2.247156e-07 -1.220414e-04 -5.573434e-05 -1.060873e-04 -3.162219e-05
 7691.600000 -2.382145e-05 -3.781331e-06 -6.128808e-07 -2.248391e-07 -1.263343e-04 -6.995713e-05 -9.065479e-05 -2.610546e-05
 7691.800000 -2.381043e-05 -3.780317e-06 -6.127351e-07 -2.248692e-07 -1.291631e-04 -7.095583e-05 -9.370812e-05 -3.058347e-05
 7692.000000 -2.382054e-05 -3.781849e-06 -6.131600e-07 -2.249736e-07 -1.318818e-04 -7.222499e-05 -8.202285e-05 -2.144344e-05
 7692.200000 -2.383784e-05 -3.786514e-06 -6.136766e-07 -2.251910e-07 -1.310742e-04 -5.469443e-05 -9.057259e-05 -2.687613e-05
 7692.400000 -2.385700e-05 -3.790454e-06 -6.141877e-07 -2.255101e-07 -1.369724e-04 -5.287963e-05 -1.035587e-04 -2.962790e-05
 7692.600000 -2.387291e-05 -3.793443e-06 -6.149779e-07 -2.256438e-07 -1.315776e-04 -5.310586e-05 -1.000450e-04 -2.535413e-05
 7692.800000 -2.385922e-05 -3.791455e-06 -6.144442e-07 -2.256479e-07 -1.322141e-04 -6.220384e-05 -1.069621e-04 -2.829221e-05
 7693.000000 -2.382854e-05 -3.787426e-06 -6.137707e-07 -2.252823e-07 -1.338033e-04 -6.067437e-05 -9.518974e-05 -3.795467e-05
 7693.200000 -2.383788e-05 -3.789432e-06 -6.139698e-07 -2.251995e-07 -1.395082e-04 -5.245433e-05 -9.596923e-05 -4.098822e-05
 7693.400000 -2.383519e-05 -3.789301e-06 -6.140078e-07 -2.254696e-07 -1.430716e-04 -5.412685e-05 -1.008661e-04 -4.034924e-05
