# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4029776552326
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.929996465
# ISS.sample_y_position: 15.696040914
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:41:34
# Scan.end_time: 02/21/2022  13:42:00
# Scan.duration: 00:26
# Scan.transient_id: 196897
# Scan.uid: 2232f413-44b9-4def-8465-0fc6c9c6161d
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.827645e-05 -3.626046e-06 -2.172495e-07 -2.654301e-07 -1.034952e-04 -5.994972e-05 -7.974444e-05 -5.695063e-05
 8238.000000 -2.601752e-05 -5.177606e-06 -3.107813e-07 -3.791039e-07 -1.446045e-04 -8.254146e-05 -1.205836e-04 -8.525359e-05
 8243.000000 -2.617634e-05 -5.234629e-06 -3.145111e-07 -3.798698e-07 -1.429793e-04 -8.421203e-05 -1.123702e-04 -8.082365e-05
 8248.000000 -2.621534e-05 -5.265557e-06 -3.164023e-07 -3.798702e-07 -1.387883e-04 -9.301678e-05 -1.066112e-04 -7.984580e-05
 8253.000000 -2.616249e-05 -5.276241e-06 -3.169293e-07 -3.798697e-07 -1.430503e-04 -8.835265e-05 -1.046250e-04 -8.912095e-05
 8258.000000 -2.620708e-05 -5.309331e-06 -3.187333e-07 -3.798708e-07 -1.462892e-04 -8.567390e-05 -9.656420e-05 -8.567998e-05
 8263.000000 -2.625741e-05 -5.342707e-06 -3.208531e-07 -3.798707e-07 -1.409574e-04 -8.681264e-05 -9.012017e-05 -8.072322e-05
 8268.000000 -2.629547e-05 -5.372197e-06 -3.232511e-07 -3.798702e-07 -1.438296e-04 -8.365337e-05 -9.107259e-05 -8.213938e-05
 8273.000000 -2.636599e-05 -5.408200e-06 -3.265775e-07 -3.798698e-07 -1.563246e-04 -8.327897e-05 -9.051735e-05 -9.011287e-05
 8278.000000 -2.626063e-05 -5.403947e-06 -3.279189e-07 -3.798705e-07 -1.587552e-04 -7.953544e-05 -9.562308e-05 -7.898704e-05
 8283.000000 -2.630418e-05 -5.434186e-06 -3.315724e-07 -3.798704e-07 -1.603259e-04 -8.245931e-05 -1.010317e-04 -7.672017e-05
 8288.000000 -2.637540e-05 -5.469628e-06 -3.354501e-07 -3.798713e-07 -1.634505e-04 -7.976960e-05 -9.780806e-05 -8.009731e-05
 8293.000000 -2.630885e-05 -5.472915e-06 -3.373803e-07 -3.798711e-07 -1.642586e-04 -8.811335e-05 -8.742568e-05 -8.176079e-05
