# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.76568158917104
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.929996465
# ISS.sample_y_position: 15.69596462
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:18:21
# Scan.end_time: 02/21/2022  13:18:44
# Scan.duration: 00:23
# Scan.transient_id: 196855
# Scan.uid: 8d56a41f-4618-44ca-a0ea-8c8fd2dd0922
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.448431e-06 -4.868431e-07 -3.880214e-08 -2.460098e-09 -1.003393e-04 -5.631100e-05 -4.684460e-05 -3.493536e-05
 6444.000000 -1.285382e-05 -7.451884e-07 -5.962182e-08 -3.780087e-09 -1.515032e-04 -7.734328e-05 -8.071829e-05 -4.644016e-05
 6449.000000 -1.293127e-05 -7.554591e-07 -6.066922e-08 -3.842324e-09 -1.561207e-04 -8.728557e-05 -7.945252e-05 -4.386175e-05
 6454.000000 -1.293995e-05 -7.618601e-07 -6.144481e-08 -3.894414e-09 -1.429840e-04 -8.878529e-05 -7.023622e-05 -4.140911e-05
 6459.000000 -1.303295e-05 -7.738109e-07 -6.264041e-08 -3.969031e-09 -1.467342e-04 -8.985778e-05 -6.274320e-05 -4.338052e-05
 6464.000000 -1.307938e-05 -7.829759e-07 -6.361022e-08 -4.032778e-09 -1.449812e-04 -8.395865e-05 -6.304609e-05 -4.102948e-05
 6469.000000 -1.312796e-05 -7.920542e-07 -6.455945e-08 -4.096839e-09 -1.492813e-04 -8.093293e-05 -6.061739e-05 -3.470695e-05
 6474.000000 -1.315155e-05 -7.997489e-07 -6.552087e-08 -4.154966e-09 -1.479048e-04 -8.361151e-05 -6.704661e-05 -3.626012e-05
 6479.000000 -1.318296e-05 -8.076435e-07 -6.644376e-08 -4.220530e-09 -1.428265e-04 -8.274910e-05 -6.227296e-05 -3.770502e-05
 6484.000000 -1.332848e-05 -8.234321e-07 -6.797512e-08 -4.327343e-09 -1.430099e-04 -8.466688e-05 -8.050360e-05 -4.185317e-05
 6489.000000 -1.336344e-05 -8.316428e-07 -6.891128e-08 -4.394521e-09 -1.448293e-04 -8.994748e-05 -8.175865e-05 -4.195236e-05
 6494.000000 -1.347054e-05 -8.450505e-07 -7.027814e-08 -4.494632e-09 -1.385954e-04 -8.498971e-05 -8.980719e-05 -4.614557e-05
 6499.000000 -1.353150e-05 -8.554829e-07 -7.141555e-08 -4.590195e-09 -1.495165e-04 -8.157860e-05 -7.814514e-05 -4.745145e-05
 6504.000000 -1.358341e-05 -8.652451e-07 -7.253058e-08 -4.672288e-09 -1.504841e-04 -9.019597e-05 -7.467316e-05 -4.968996e-05
 6509.000000 -1.361728e-05 -8.736996e-07 -7.355539e-08 -4.767880e-09 -1.472027e-04 -9.426317e-05 -7.553438e-05 -4.493108e-05
 6513.000000 -1.357558e-05 -8.763870e-07 -7.398038e-08 -4.839624e-09 -1.496193e-04 -8.655027e-05 -8.134065e-05 -3.361047e-05
 6516.000000 -1.370543e-05 -8.887082e-07 -7.520306e-08 -4.921591e-09 -1.441854e-04 -9.935750e-05 -8.272813e-05 -3.374730e-05
 6518.000000 -1.376322e-05 -8.950654e-07 -7.583041e-08 -4.983542e-09 -1.437827e-04 -1.003587e-04 -8.398977e-05 -3.356700e-05
 6519.000000 -1.374501e-05 -8.949386e-07 -7.586385e-08 -5.001449e-09 -1.435152e-04 -1.008809e-04 -7.867837e-05 -3.916446e-05
 6519.200000 -1.372171e-05 -8.935520e-07 -7.576981e-08 -5.004475e-09 -1.534562e-04 -9.943968e-05 -8.881254e-05 -5.220054e-05
 6519.400000 -1.372573e-05 -8.946337e-07 -7.585433e-08 -5.004778e-09 -1.490270e-04 -9.729651e-05 -8.640227e-05 -4.391595e-05
 6519.600000 -1.372091e-05 -8.949533e-07 -7.584834e-08 -4.993344e-09 -1.533724e-04 -9.799941e-05 -9.435962e-05 -3.843430e-05
 6519.800000 -1.375387e-05 -8.968627e-07 -7.603756e-08 -5.019350e-09 -1.530183e-04 -9.733022e-05 -8.064531e-05 -3.950163e-05
 6520.000000 -1.372349e-05 -8.951596e-07 -7.593494e-08 -5.007345e-09 -1.463751e-04 -1.005578e-04 -8.793710e-05 -4.863370e-05
 6520.200000 -1.371750e-05 -8.946196e-07 -7.580010e-08 -5.032134e-09 -1.492425e-04 -1.032728e-04 -1.051711e-04 -5.344631e-05
 6520.400000 -1.373831e-05 -8.964342e-07 -7.601775e-08 -5.024053e-09 -1.435076e-04 -9.329606e-05 -9.218910e-05 -4.189125e-05
 6520.600000 -1.374609e-05 -8.971024e-07 -7.598366e-08 -5.029413e-09 -1.456932e-04 -9.526551e-05 -7.882684e-05 -4.332734e-05
 6520.800000 -1.374762e-05 -8.980359e-07 -7.607611e-08 -5.038226e-09 -1.547662e-04 -9.039513e-05 -8.300235e-05 -3.787620e-05
 6521.000000 -1.379136e-05 -9.006400e-07 -7.651030e-08 -5.071974e-09 -1.524591e-04 -9.157751e-05 -8.282629e-05 -3.443157e-05
 6521.200000 -1.378429e-05 -9.010183e-07 -7.650429e-08 -5.077950e-09 -1.462495e-04 -9.463723e-05 -7.931942e-05 -3.641408e-05
 6521.400000 -1.375523e-05 -8.983447e-07 -7.633626e-08 -5.042850e-09 -1.426662e-04 -9.567872e-05 -8.315177e-05 -3.284721e-05
 6521.600000 -1.376055e-05 -8.991092e-07 -7.636667e-08 -5.059635e-09 -1.332033e-04 -1.019155e-04 -8.916134e-05 -3.037257e-05
 6521.800000 -1.376417e-05 -8.993948e-07 -7.654863e-08 -5.088829e-09 -1.363728e-04 -1.040600e-04 -8.823922e-05 -3.891369e-05
 6522.000000 -1.376423e-05 -9.004551e-07 -7.652173e-08 -5.092095e-09 -1.360478e-04 -1.071298e-04 -8.589526e-05 -4.299786e-05
 6522.200000 -1.373734e-05 -8.985118e-07 -7.629849e-08 -5.084249e-09 -1.390932e-04 -1.049376e-04 -9.685316e-05 -4.576383e-05
 6522.400000 -1.376163e-05 -9.005246e-07 -7.658635e-08 -5.105360e-09 -1.414549e-04 -1.027945e-04 -8.659301e-05 -4.212883e-05
 6522.600000 -1.375527e-05 -9.002943e-07 -7.657933e-08 -5.117916e-09 -1.508942e-04 -1.034401e-04 -7.723025e-05 -4.319218e-05
 6522.800000 -1.376656e-05 -9.012571e-07 -7.672537e-08 -5.096559e-09 -1.397008e-04 -1.027025e-04 -8.047162e-05 -4.535710e-05
 6523.000000 -1.372150e-05 -8.981827e-07 -7.639405e-08 -5.073346e-09 -1.478225e-04 -1.082215e-04 -1.024745e-04 -5.222705e-05
 6523.200000 -1.372473e-05 -8.986349e-07 -7.650338e-08 -5.101205e-09 -1.431021e-04 -1.085160e-04 -1.073346e-04 -4.346552e-05
 6523.400000 -1.374090e-05 -9.003971e-07 -7.666442e-08 -5.118735e-09 -1.358010e-04 -1.026108e-04 -7.989419e-05 -4.789543e-05
 6523.600000 -1.374754e-05 -9.004845e-07 -7.665399e-08 -5.116040e-09 -1.446472e-04 -1.017442e-04 -7.559379e-05 -5.240849e-05
 6523.800000 -1.373986e-05 -9.004562e-07 -7.668293e-08 -5.099447e-09 -1.474481e-04 -1.012047e-04 -7.231749e-05 -4.635722e-05
 6524.000000 -1.371611e-05 -8.990422e-07 -7.647705e-08 -5.127213e-09 -1.430271e-04 -1.021827e-04 -7.190983e-05 -4.479012e-05
 6524.200000 -1.372949e-05 -8.996634e-07 -7.663515e-08 -5.144473e-09 -1.475605e-04 -9.783069e-05 -7.371291e-05 -4.890206e-05
 6524.400000 -1.373253e-05 -9.006418e-07 -7.669338e-08 -5.145162e-09 -1.435863e-04 -9.099170e-05 -8.003142e-05 -4.451387e-05
 6524.600000 -1.376073e-05 -9.027421e-07 -7.690992e-08 -5.170807e-09 -1.468169e-04 -9.881242e-05 -7.297295e-05 -4.630162e-05
 6524.800000 -1.378338e-05 -9.044285e-07 -7.705946e-08 -5.192355e-09 -1.415572e-04 -1.075784e-04 -7.278042e-05 -5.617292e-05
 6525.000000 -1.379211e-05 -9.057434e-07 -7.726684e-08 -5.209296e-09 -1.367559e-04 -9.852424e-05 -7.849582e-05 -5.826649e-05
 6525.200000 -1.376860e-05 -9.041152e-07 -7.711889e-08 -5.208218e-09 -1.344135e-04 -9.983405e-05 -8.400376e-05 -5.938955e-05
 6525.400000 -1.377169e-05 -9.044908e-07 -7.718865e-08 -5.203786e-09 -1.326293e-04 -9.421642e-05 -8.944323e-05 -5.614980e-05
 6525.600000 -1.374356e-05 -9.028133e-07 -7.695613e-08 -5.178725e-09 -1.390742e-04 -1.002238e-04 -8.793143e-05 -4.868518e-05
 6525.800000 -1.375185e-05 -9.032629e-07 -7.705056e-08 -5.176476e-09 -1.440579e-04 -1.060886e-04 -9.087098e-05 -5.666989e-05
 6526.000000 -1.375711e-05 -9.044164e-07 -7.704068e-08 -5.203332e-09 -1.381812e-04 -1.016913e-04 -6.426430e-05 -4.309172e-05
 6526.200000 -1.376700e-05 -9.055441e-07 -7.718758e-08 -5.226112e-09 -1.473251e-04 -1.048038e-04 -8.224243e-05 -5.874993e-05
