# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4936318117976
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.929996465
# ISS.sample_y_position: 15.695983693499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:30:00
# Scan.end_time: 02/21/2022  13:30:24
# Scan.duration: 00:23
# Scan.transient_id: 196876
# Scan.uid: f68ea01f-286a-4a88-b5b2-72d070088406
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.574084e-05 -2.306809e-06 -3.646054e-07 -1.403371e-07 -8.841276e-05 -3.448945e-05 -6.144742e-05 -3.009712e-05
 7614.000000 -2.320280e-05 -3.412841e-06 -5.402910e-07 -2.073521e-07 -1.290907e-04 -4.903536e-05 -8.639022e-05 -3.983091e-05
 7619.000000 -2.328736e-05 -3.442640e-06 -5.460657e-07 -2.087486e-07 -1.300025e-04 -4.080547e-05 -9.421001e-05 -3.559452e-05
 7624.000000 -2.343631e-05 -3.484340e-06 -5.535967e-07 -2.107530e-07 -1.413820e-04 -4.510001e-05 -8.001573e-05 -4.216136e-05
 7629.000000 -2.350115e-05 -3.512201e-06 -5.590896e-07 -2.119781e-07 -1.373959e-04 -4.692676e-05 -7.600084e-05 -4.772501e-05
 7634.000000 -2.342263e-05 -3.515860e-06 -5.608935e-07 -2.118479e-07 -1.429033e-04 -4.802129e-05 -7.889610e-05 -4.930852e-05
 7639.000000 -2.346735e-05 -3.540192e-06 -5.659147e-07 -2.129421e-07 -1.426892e-04 -5.262527e-05 -7.852598e-05 -5.053967e-05
 7644.000000 -2.349621e-05 -3.562388e-06 -5.704855e-07 -2.138640e-07 -1.413257e-04 -5.179244e-05 -7.543864e-05 -5.583260e-05
 7649.000000 -2.341454e-05 -3.566305e-06 -5.721461e-07 -2.137574e-07 -1.342451e-04 -5.464543e-05 -7.374766e-05 -5.560169e-05
 7654.000000 -2.347234e-05 -3.593521e-06 -5.775017e-07 -2.149491e-07 -1.343368e-04 -6.228830e-05 -7.370044e-05 -5.540487e-05
 7659.000000 -2.366656e-05 -3.642769e-06 -5.864240e-07 -2.175020e-07 -1.333104e-04 -6.322207e-05 -8.478300e-05 -4.966634e-05
