# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0359805548224
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.929996465
# ISS.sample_y_position: 15.696040914
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:42:08
# Scan.end_time: 02/21/2022  13:42:32
# Scan.duration: 00:23
# Scan.transient_id: 196898
# Scan.uid: 76b646cd-a7ea-4c04-8d12-9a4f0477106b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.824296e-05 -3.618209e-06 -2.167928e-07 -2.653869e-07 -1.125281e-04 -5.072129e-05 -8.905808e-05 -4.061397e-05
 8238.000000 -2.612328e-05 -5.199805e-06 -3.120356e-07 -3.791045e-07 -1.534130e-04 -7.124017e-05 -1.288023e-04 -5.383563e-05
 8243.000000 -2.610549e-05 -5.217740e-06 -3.134643e-07 -3.798717e-07 -1.447637e-04 -6.693676e-05 -1.323683e-04 -4.497981e-05
 8248.000000 -2.618763e-05 -5.258629e-06 -3.159579e-07 -3.798727e-07 -1.490913e-04 -7.052867e-05 -1.433832e-04 -3.738205e-05
 8253.000000 -2.626270e-05 -5.298378e-06 -3.182482e-07 -3.798727e-07 -1.495028e-04 -7.098800e-05 -1.404863e-04 -4.121184e-05
 8258.000000 -2.625166e-05 -5.318705e-06 -3.193808e-07 -3.798722e-07 -1.513207e-04 -8.276864e-05 -1.322155e-04 -4.260113e-05
 8263.000000 -2.617279e-05 -5.322110e-06 -3.197771e-07 -3.798711e-07 -1.588274e-04 -8.574495e-05 -1.257734e-04 -4.500541e-05
 8268.000000 -2.605946e-05 -5.317779e-06 -3.201179e-07 -3.798704e-07 -1.617459e-04 -9.264357e-05 -1.302490e-04 -4.133754e-05
 8273.000000 -2.609857e-05 -5.346553e-06 -3.229880e-07 -3.798713e-07 -1.680459e-04 -8.962805e-05 -1.261539e-04 -3.971220e-05
 8278.000000 -2.620098e-05 -5.389508e-06 -3.272165e-07 -3.798704e-07 -1.621895e-04 -8.944554e-05 -1.216921e-04 -4.996972e-05
 8283.000000 -2.601943e-05 -5.367491e-06 -3.277252e-07 -3.798716e-07 -1.569275e-04 -8.546397e-05 -1.271060e-04 -5.604200e-05
 8288.000000 -2.599314e-05 -5.381232e-06 -3.302953e-07 -3.798714e-07 -1.618604e-04 -8.618839e-05 -1.307199e-04 -5.626807e-05
 8293.000000 -2.621372e-05 -5.450111e-06 -3.361768e-07 -3.798718e-07 -1.593788e-04 -8.190688e-05 -1.403947e-04 -4.659052e-05
 8298.000000 -2.627413e-05 -5.481598e-06 -3.398158e-07 -3.798721e-07 -1.587352e-04 -7.740021e-05 -1.382741e-04 -4.154727e-05
 8303.000000 -2.633923e-05 -5.512870e-06 -3.434235e-07 -3.798728e-07 -1.528840e-04 -7.779186e-05 -1.331593e-04 -5.246020e-05
 8307.000000 -2.634788e-05 -5.526517e-06 -3.455066e-07 -3.798731e-07 -1.486335e-04 -8.415259e-05 -1.327080e-04 -5.817757e-05
 8310.000000 -2.633931e-05 -5.531936e-06 -3.467535e-07 -3.798733e-07 -1.436791e-04 -8.878308e-05 -1.294750e-04 -5.285566e-05
 8312.000000 -2.624676e-05 -5.515089e-06 -3.462103e-07 -3.798743e-07 -1.507049e-04 -8.573175e-05 -1.343041e-04 -4.561034e-05
 8313.000000 -2.627663e-05 -5.523649e-06 -3.469773e-07 -3.798756e-07 -1.513254e-04 -8.524505e-05 -1.357481e-04 -4.097693e-05
 8313.200000 -2.629149e-05 -5.526966e-06 -3.474203e-07 -3.798759e-07 -1.531324e-04 -8.237414e-05 -1.421023e-04 -4.213335e-05
 8313.400000 -2.626957e-05 -5.521140e-06 -3.473794e-07 -3.797977e-07 -1.608313e-04 -8.500563e-05 -1.434505e-04 -3.896530e-05
 8313.600000 -2.634723e-05 -5.540324e-06 -3.483582e-07 -3.799375e-07 -1.596068e-04 -8.687932e-05 -1.189475e-04 -3.956852e-05
 8313.800000 -2.635878e-05 -5.543947e-06 -3.486369e-07 -3.798193e-07 -1.570113e-04 -8.413125e-05 -1.083200e-04 -4.558185e-05
 8314.000000 -2.640281e-05 -5.555470e-06 -3.491003e-07 -3.798956e-07 -1.554264e-04 -8.559899e-05 -1.002681e-04 -5.174261e-05
 8314.200000 -2.640660e-05 -5.555580e-06 -3.493626e-07 -3.798616e-07 -1.592250e-04 -9.087325e-05 -1.112764e-04 -5.263821e-05
 8314.400000 -2.644220e-05 -5.564031e-06 -3.500371e-07 -3.798810e-07 -1.616541e-04 -9.271910e-05 -1.240134e-04 -5.270081e-05
 8314.600000 -2.637558e-05 -5.549112e-06 -3.492547e-07 -3.798651e-07 -1.603183e-04 -8.745523e-05 -1.143512e-04 -5.667264e-05
