# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.44197285586023
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.929996465
# ISS.sample_y_position: 15.6960218405
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:18:54
# Scan.end_time: 02/21/2022  13:19:17
# Scan.duration: 00:23
# Scan.transient_id: 196856
# Scan.uid: 23c51bce-c186-429f-953f-099aa12f6850
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.394037e-06 -4.829722e-07 -3.852892e-08 -2.438387e-09 -1.035335e-04 -4.512123e-05 -5.777043e-05 -4.086821e-05
 6444.000000 -1.279627e-05 -7.410869e-07 -5.926616e-08 -3.750043e-09 -1.605760e-04 -6.240665e-05 -8.537881e-05 -5.399149e-05
 6449.000000 -1.289868e-05 -7.531724e-07 -6.046489e-08 -3.827540e-09 -1.539974e-04 -5.842145e-05 -7.782266e-05 -5.083706e-05
 6454.000000 -1.289817e-05 -7.591162e-07 -6.116166e-08 -3.869849e-09 -1.633999e-04 -6.648847e-05 -6.862874e-05 -5.493607e-05
 6459.000000 -1.296765e-05 -7.693132e-07 -6.223929e-08 -3.941107e-09 -1.560584e-04 -6.807468e-05 -7.700815e-05 -5.533777e-05
 6464.000000 -1.305136e-05 -7.804836e-07 -6.343586e-08 -4.013732e-09 -1.530232e-04 -7.078522e-05 -8.779120e-05 -5.777330e-05
 6469.000000 -1.310316e-05 -7.898978e-07 -6.445970e-08 -4.081170e-09 -1.477835e-04 -8.186903e-05 -9.034842e-05 -5.815098e-05
 6474.000000 -1.317964e-05 -8.007233e-07 -6.557267e-08 -4.161263e-09 -1.575067e-04 -8.489581e-05 -8.839766e-05 -6.439021e-05
 6479.000000 -1.326234e-05 -8.121510e-07 -6.676165e-08 -4.247136e-09 -1.535065e-04 -8.417212e-05 -8.962695e-05 -7.045172e-05
 6484.000000 -1.331455e-05 -8.217638e-07 -6.782193e-08 -4.312116e-09 -1.410411e-04 -8.877466e-05 -8.477631e-05 -6.460992e-05
 6489.000000 -1.339855e-05 -8.332315e-07 -6.902181e-08 -4.401141e-09 -1.439678e-04 -9.155588e-05 -9.415127e-05 -6.883261e-05
