# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.7349360559775
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 3V Co (pos   1) 0006
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -15.929996465
# ISS.sample_y_position: 15.696040914
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:42:40
# Scan.end_time: 02/21/2022  13:43:05
# Scan.duration: 00:25
# Scan.transient_id: 196899
# Scan.uid: 2c978951-0ee2-4ba9-8406-e9828a32523b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.819996e-05 -3.606527e-06 -2.162125e-07 -2.652910e-07 -9.776730e-05 -5.809795e-05 -8.937118e-05 -7.502404e-05
 8238.000000 -2.604795e-05 -5.180673e-06 -3.110363e-07 -3.791025e-07 -1.367235e-04 -7.429808e-05 -1.296776e-04 -1.016574e-04
 8243.000000 -2.613404e-05 -5.221457e-06 -3.137883e-07 -3.798722e-07 -1.342543e-04 -7.532435e-05 -1.376804e-04 -9.619458e-05
 8248.000000 -2.613713e-05 -5.244710e-06 -3.152869e-07 -3.798727e-07 -1.381429e-04 -7.309164e-05 -1.379400e-04 -9.990272e-05
 8253.000000 -2.621416e-05 -5.284884e-06 -3.175571e-07 -3.798731e-07 -1.391120e-04 -7.221938e-05 -1.368523e-04 -1.041363e-04
 8258.000000 -2.618371e-05 -5.300974e-06 -3.183686e-07 -3.798733e-07 -1.351010e-04 -8.057322e-05 -1.378104e-04 -9.841774e-05
 8263.000000 -2.620133e-05 -5.326583e-06 -3.200638e-07 -3.798737e-07 -1.349003e-04 -6.854645e-05 -1.409970e-04 -9.258111e-05
 8268.000000 -2.624554e-05 -5.357742e-06 -3.225258e-07 -3.798733e-07 -1.398402e-04 -6.468744e-05 -1.440279e-04 -9.411323e-05
 8273.000000 -2.626094e-05 -5.381700e-06 -3.251128e-07 -3.798727e-07 -1.318974e-04 -6.297149e-05 -1.373371e-04 -9.613076e-05
 8278.000000 -2.627392e-05 -5.404323e-06 -3.281411e-07 -3.798743e-07 -1.269795e-04 -6.493063e-05 -1.340327e-04 -8.234179e-05
 8283.000000 -2.627689e-05 -5.424593e-06 -3.312208e-07 -3.798750e-07 -1.264020e-04 -7.289307e-05 -1.323880e-04 -8.255958e-05
