# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.92780425058345
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.7332516234999997
# ISS.sample_y_position: 15.696040914
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:30:34
# Scan.end_time: 02/21/2022  13:30:58
# Scan.duration: 00:23
# Scan.transient_id: 196877
# Scan.uid: 3cd3f4e4-a4d6-467a-b13c-579ee38b1ef3
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.570107e-05 -2.296510e-06 -3.626244e-07 -1.400498e-07 -9.194087e-05 -3.547678e-05 -5.114877e-05 -3.186550e-05
 7614.000000 -2.327454e-05 -3.418829e-06 -5.406752e-07 -2.081194e-07 -1.322202e-04 -5.185053e-05 -8.592120e-05 -4.402189e-05
 7619.000000 -2.337455e-05 -3.451128e-06 -5.468930e-07 -2.096641e-07 -1.338652e-04 -5.536344e-05 -8.619242e-05 -3.112954e-05
 7624.000000 -2.339327e-05 -3.471127e-06 -5.511452e-07 -2.104627e-07 -1.391302e-04 -5.078626e-05 -8.182769e-05 -3.385583e-05
 7629.000000 -2.338615e-05 -3.487412e-06 -5.548928e-07 -2.110506e-07 -1.462765e-04 -4.954857e-05 -7.485954e-05 -3.289469e-05
 7634.000000 -2.340258e-05 -3.507536e-06 -5.592815e-07 -2.118398e-07 -1.466452e-04 -3.744038e-05 -8.164824e-05 -3.914681e-05
 7639.000000 -2.342077e-05 -3.527477e-06 -5.634010e-07 -2.126531e-07 -1.472190e-04 -3.506560e-05 -8.327126e-05 -3.715609e-05
 7644.000000 -2.342970e-05 -3.545814e-06 -5.673517e-07 -2.134205e-07 -1.455182e-04 -3.171724e-05 -7.901024e-05 -4.190429e-05
 7649.000000 -2.347302e-05 -3.570309e-06 -5.723047e-07 -2.144676e-07 -1.335324e-04 -3.433310e-05 -7.552766e-05 -4.237286e-05
 7654.000000 -2.353266e-05 -3.597204e-06 -5.775304e-07 -2.156667e-07 -1.298706e-04 -4.047236e-05 -7.272874e-05 -5.047091e-05
 7659.000000 -2.362213e-05 -3.628364e-06 -5.834953e-07 -2.172443e-07 -1.229205e-04 -4.009616e-05 -6.640403e-05 -4.429080e-05
