# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.3627184920437
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.732278875
# ISS.sample_y_position: 15.696002767
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:43:16
# Scan.end_time: 02/21/2022  13:43:39
# Scan.duration: 00:23
# Scan.transient_id: 196900
# Scan.uid: 77d5b607-5150-4465-8124-acad0ad54ab7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.814970e-05 -3.588803e-06 -2.151424e-07 -2.654818e-07 -1.125139e-04 -5.740946e-05 -8.406357e-05 -8.036725e-05
 8238.000000 -2.596357e-05 -5.150456e-06 -3.091849e-07 -3.791071e-07 -1.600672e-04 -6.918029e-05 -1.215607e-04 -1.107467e-04
 8243.000000 -2.593863e-05 -5.164620e-06 -3.103802e-07 -3.798726e-07 -1.545791e-04 -8.173486e-05 -1.141420e-04 -9.007366e-05
 8248.000000 -2.603773e-05 -5.207058e-06 -3.130204e-07 -3.798734e-07 -1.500281e-04 -8.526374e-05 -1.154304e-04 -7.118210e-05
 8253.000000 -2.611530e-05 -5.244608e-06 -3.151625e-07 -3.798738e-07 -1.522606e-04 -8.951260e-05 -1.233541e-04 -7.255318e-05
 8258.000000 -2.611025e-05 -5.265170e-06 -3.162718e-07 -3.798736e-07 -1.605175e-04 -8.202491e-05 -1.174053e-04 -6.007227e-05
 8263.000000 -2.611022e-05 -5.286513e-06 -3.176173e-07 -3.798742e-07 -1.608512e-04 -7.472449e-05 -1.139425e-04 -6.035610e-05
 8268.000000 -2.591067e-05 -5.264333e-06 -3.169527e-07 -3.798739e-07 -1.538396e-04 -7.654934e-05 -1.103836e-04 -7.319284e-05
 8273.000000 -2.590137e-05 -5.283249e-06 -3.192465e-07 -3.798744e-07 -1.548112e-04 -8.516817e-05 -1.205439e-04 -1.024377e-04
 8278.000000 -2.607494e-05 -5.341796e-06 -3.242567e-07 -3.798739e-07 -1.495209e-04 -9.192578e-05 -1.210009e-04 -1.143266e-04
 8283.000000 -2.622984e-05 -5.395655e-06 -3.291819e-07 -3.798735e-07 -1.549442e-04 -8.636415e-05 -1.223757e-04 -1.081344e-04
 8288.000000 -2.619884e-05 -5.407597e-06 -3.315806e-07 -3.798731e-07 -1.422215e-04 -8.507971e-05 -1.110178e-04 -1.168323e-04
 8293.000000 -2.627460e-05 -5.442690e-06 -3.354441e-07 -3.798753e-07 -1.417316e-04 -8.656154e-05 -1.085898e-04 -8.941535e-05
 8298.000000 -2.622148e-05 -5.448450e-06 -3.375826e-07 -3.798754e-07 -1.537383e-04 -8.307996e-05 -1.123320e-04 -6.874751e-05
 8303.000000 -2.625993e-05 -5.473713e-06 -3.408592e-07 -3.798747e-07 -1.530864e-04 -9.049872e-05 -1.149518e-04 -8.704671e-05
 8307.000000 -2.622965e-05 -5.479277e-06 -3.424732e-07 -3.798755e-07 -1.501071e-04 -7.207670e-05 -1.116606e-04 -9.882723e-05
 8310.000000 -2.626288e-05 -5.494668e-06 -3.442152e-07 -3.798757e-07 -1.548480e-04 -7.269257e-05 -1.231522e-04 -7.299490e-05
 8312.000000 -2.632685e-05 -5.513647e-06 -3.459713e-07 -3.798774e-07 -1.501123e-04 -7.269533e-05 -1.216085e-04 -6.153822e-05
 8313.000000 -2.634041e-05 -5.519535e-06 -3.464832e-07 -3.798754e-07 -1.490715e-04 -7.565044e-05 -1.203945e-04 -6.927213e-05
 8313.200000 -2.637797e-05 -5.528430e-06 -3.469345e-07 -3.798551e-07 -1.483840e-04 -8.710738e-05 -1.097702e-04 -7.420938e-05
 8313.400000 -2.637354e-05 -5.527847e-06 -3.471108e-07 -3.799356e-07 -1.451686e-04 -7.839229e-05 -1.092882e-04 -7.410729e-05
 8313.600000 -2.639699e-05 -5.532850e-06 -3.475170e-07 -3.798073e-07 -1.446266e-04 -6.367417e-05 -1.047159e-04 -6.651496e-05
 8313.800000 -2.641563e-05 -5.537330e-06 -3.478492e-07 -3.799209e-07 -1.434736e-04 -6.792051e-05 -1.111589e-04 -7.628798e-05
 8314.000000 -2.638208e-05 -5.530482e-06 -3.474803e-07 -3.798584e-07 -1.501997e-04 -7.914084e-05 -1.171637e-04 -8.356679e-05
 8314.200000 -2.641307e-05 -5.538806e-06 -3.478442e-07 -3.798835e-07 -1.469569e-04 -7.528740e-05 -1.185922e-04 -7.036133e-05
 8314.400000 -2.642956e-05 -5.542725e-06 -3.481737e-07 -3.798824e-07 -1.538254e-04 -6.734844e-05 -1.354121e-04 -7.264737e-05
 8314.600000 -2.642677e-05 -5.541120e-06 -3.482110e-07 -3.798844e-07 -1.541924e-04 -7.086559e-05 -1.220006e-04 -6.684457e-05
 8314.800000 -2.639901e-05 -5.535664e-06 -3.480405e-07 -3.798625e-07 -1.475883e-04 -7.711189e-05 -1.215814e-04 -7.049998e-05
 8315.000000 -2.641135e-05 -5.539554e-06 -3.484076e-07 -3.798799e-07 -1.462267e-04 -7.894777e-05 -1.385332e-04 -9.207544e-05
 8315.200000 -2.637213e-05 -5.529501e-06 -3.478214e-07 -3.798741e-07 -1.402445e-04 -7.376656e-05 -1.270493e-04 -8.710364e-05
 8315.400000 -2.641333e-05 -5.539056e-06 -3.484099e-07 -3.799104e-07 -1.427115e-04 -7.058459e-05 -1.275992e-04 -9.258642e-05
 8315.600000 -2.634900e-05 -5.525378e-06 -3.476384e-07 -3.798263e-07 -1.397620e-04 -6.739421e-05 -1.229839e-04 -9.367658e-05
 8315.800000 -2.638216e-05 -5.533395e-06 -3.482836e-07 -3.798839e-07 -1.334443e-04 -6.751524e-05 -1.242605e-04 -9.363780e-05
 8316.000000 -2.641142e-05 -5.540304e-06 -3.486919e-07 -3.799015e-07 -1.305248e-04 -7.017701e-05 -1.202478e-04 -8.650746e-05
 8316.200000 -2.636825e-05 -5.530935e-06 -3.482000e-07 -3.798651e-07 -1.334719e-04 -7.264674e-05 -1.146766e-04 -8.001473e-05
 8316.400000 -2.637657e-05 -5.533312e-06 -3.483289e-07 -3.798275e-07 -1.372617e-04 -6.962999e-05 -1.191049e-04 -7.943692e-05
 8316.600000 -2.639587e-05 -5.537680e-06 -3.487084e-07 -3.799019e-07 -1.345876e-04 -6.955923e-05 -1.110975e-04 -8.707046e-05
 8316.800000 -2.630737e-05 -5.518056e-06 -3.474466e-07 -3.799196e-07 -1.347419e-04 -7.375547e-05 -1.098480e-04 -9.194837e-05
