# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.07831129160496
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.7326603449999998
# ISS.sample_y_position: 15.695945546499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:19:28
# Scan.end_time: 02/21/2022  13:19:52
# Scan.duration: 00:24
# Scan.transient_id: 196857
# Scan.uid: ab9a9201-702e-4dd0-9c4b-3850405cf795
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.484215e-06 -4.891630e-07 -3.893276e-08 -2.479452e-09 -8.183139e-05 -5.944085e-05 -3.906731e-05 -6.834833e-05
 6444.000000 -1.288776e-05 -7.477162e-07 -5.972202e-08 -3.796508e-09 -1.265092e-04 -9.209516e-05 -6.133505e-05 -1.035418e-04
 6449.000000 -1.298812e-05 -7.599401e-07 -6.089255e-08 -3.861813e-09 -1.231543e-04 -8.528378e-05 -6.918258e-05 -9.937460e-05
 6454.000000 -1.299277e-05 -7.660357e-07 -6.160427e-08 -3.901858e-09 -1.178606e-04 -9.194599e-05 -7.644863e-05 -1.027367e-04
 6459.000000 -1.307467e-05 -7.767770e-07 -6.276658e-08 -3.965271e-09 -1.235667e-04 -8.628912e-05 -8.405267e-05 -9.319891e-05
 6464.000000 -1.314984e-05 -7.873900e-07 -6.394089e-08 -4.026632e-09 -1.245441e-04 -9.011561e-05 -8.389725e-05 -9.872472e-05
 6469.000000 -1.319050e-05 -7.961754e-07 -6.486525e-08 -4.073907e-09 -1.243720e-04 -9.876473e-05 -8.391723e-05 -9.735710e-05
 6474.000000 -1.323435e-05 -8.051517e-07 -6.579326e-08 -4.134571e-09 -1.226742e-04 -9.621262e-05 -6.455326e-05 -8.362493e-05
 6479.000000 -1.328546e-05 -8.144276e-07 -6.681020e-08 -4.190162e-09 -1.194980e-04 -8.193562e-05 -6.618399e-05 -8.530117e-05
 6484.000000 -1.338719e-05 -8.272822e-07 -6.812820e-08 -4.273126e-09 -1.230489e-04 -8.382346e-05 -6.787321e-05 -9.427150e-05
 6489.000000 -1.345673e-05 -8.379455e-07 -6.929289e-08 -4.347708e-09 -1.352883e-04 -8.358932e-05 -6.022242e-05 -8.986060e-05
 6494.000000 -1.351566e-05 -8.481028e-07 -7.040855e-08 -4.408405e-09 -1.409421e-04 -8.957807e-05 -6.635800e-05 -8.171851e-05
 6499.000000 -1.356930e-05 -8.581116e-07 -7.148516e-08 -4.492475e-09 -1.308056e-04 -9.228699e-05 -7.330733e-05 -8.571043e-05
