# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.5899866304941
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733194403
# ISS.sample_y_position: 15.695983693499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:31:06
# Scan.end_time: 02/21/2022  13:31:31
# Scan.duration: 00:25
# Scan.transient_id: 196878
# Scan.uid: 214faf0b-5085-4ba7-9341-1733a822b44f
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.568751e-05 -2.294525e-06 -3.621628e-07 -1.399369e-07 -1.010093e-04 -3.147412e-05 -4.308565e-05 -6.320304e-05
 7614.000000 -2.319817e-05 -3.406793e-06 -5.385312e-07 -2.074176e-07 -1.422855e-04 -4.912326e-05 -6.874343e-05 -9.847519e-05
 7619.000000 -2.333070e-05 -3.443905e-06 -5.453958e-07 -2.092194e-07 -1.315190e-04 -5.379969e-05 -6.128454e-05 -1.040185e-04
 7624.000000 -2.336382e-05 -3.466064e-06 -5.500421e-07 -2.101976e-07 -1.302837e-04 -4.855974e-05 -8.238159e-05 -1.036444e-04
 7629.000000 -2.335445e-05 -3.482081e-06 -5.537147e-07 -2.107485e-07 -1.337235e-04 -6.052929e-05 -9.939741e-05 -1.071861e-04
 7634.000000 -2.338650e-05 -3.503975e-06 -5.582157e-07 -2.116320e-07 -1.280354e-04 -5.555944e-05 -9.502075e-05 -1.052208e-04
 7639.000000 -2.343348e-05 -3.528638e-06 -5.632054e-07 -2.127499e-07 -1.301139e-04 -5.328924e-05 -8.529201e-05 -1.097540e-04
 7644.000000 -2.340106e-05 -3.540418e-06 -5.661261e-07 -2.131395e-07 -1.331586e-04 -5.457393e-05 -9.146214e-05 -1.010073e-04
 7649.000000 -2.354277e-05 -3.579644e-06 -5.734701e-07 -2.151310e-07 -1.376481e-04 -4.752494e-05 -9.137721e-05 -9.610274e-05
 7654.000000 -2.340532e-05 -3.574003e-06 -5.736300e-07 -2.144635e-07 -1.402736e-04 -4.376273e-05 -9.954156e-05 -1.002812e-04
 7659.000000 -2.341115e-05 -3.592414e-06 -5.775408e-07 -2.151909e-07 -1.367447e-04 -4.387467e-05 -9.751084e-05 -9.813891e-05
