# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.0218111494403
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.7331753295
# ISS.sample_y_position: 15.6960599875
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:43:47
# Scan.end_time: 02/21/2022  13:44:13
# Scan.duration: 00:25
# Scan.transient_id: 196901
# Scan.uid: 361e3a33-8a4f-4807-9afc-83f765516ab0
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.828554e-05 -3.618605e-06 -2.167400e-07 -2.651879e-07 -9.540514e-05 -7.677274e-05 -7.606095e-05 -6.469095e-05
 8238.000000 -2.611668e-05 -5.183796e-06 -3.109041e-07 -3.791019e-07 -1.367408e-04 -1.053641e-04 -1.136349e-04 -9.844347e-05
 8243.000000 -2.622940e-05 -5.227369e-06 -3.137774e-07 -3.798720e-07 -1.328566e-04 -1.043989e-04 -1.149274e-04 -1.044024e-04
 8248.000000 -2.620310e-05 -5.242682e-06 -3.147745e-07 -3.798723e-07 -1.296414e-04 -1.083583e-04 -1.182843e-04 -1.050287e-04
 8253.000000 -2.625042e-05 -5.274683e-06 -3.166269e-07 -3.798724e-07 -1.279448e-04 -1.092205e-04 -1.239976e-04 -9.855612e-05
 8258.000000 -2.626109e-05 -5.298690e-06 -3.179237e-07 -3.798731e-07 -1.396690e-04 -9.548846e-05 -1.146419e-04 -9.835240e-05
 8263.000000 -2.625271e-05 -5.318516e-06 -3.192762e-07 -3.798735e-07 -1.400277e-04 -1.025892e-04 -1.191700e-04 -9.922992e-05
 8268.000000 -2.630730e-05 -5.351741e-06 -3.219149e-07 -3.798740e-07 -1.356004e-04 -1.017368e-04 -1.135896e-04 -1.008868e-04
 8273.000000 -2.634276e-05 -5.380801e-06 -3.248895e-07 -3.798738e-07 -1.302850e-04 -1.040458e-04 -1.207874e-04 -1.016731e-04
 8278.000000 -2.633641e-05 -5.400347e-06 -3.276157e-07 -3.798731e-07 -1.379420e-04 -1.111292e-04 -1.060031e-04 -1.093368e-04
 8283.000000 -2.633466e-05 -5.419944e-06 -3.305787e-07 -3.798730e-07 -1.333986e-04 -1.075506e-04 -1.118045e-04 -1.094523e-04
