# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.52875517769655
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.7331753295
# ISS.sample_y_position: 15.69596462
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:20:01
# Scan.end_time: 02/21/2022  13:20:25
# Scan.duration: 00:23
# Scan.transient_id: 196858
# Scan.uid: 9b76bb97-a487-43c5-ac6c-1d64f8fbfc01
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.455791e-06 -4.869209e-07 -3.874100e-08 -2.468456e-09 -9.093444e-05 -6.914825e-05 -6.550217e-05 -4.071821e-05
 6444.000000 -1.287360e-05 -7.459789e-07 -5.951407e-08 -3.787195e-09 -1.377911e-04 -1.062838e-04 -9.831217e-05 -6.791863e-05
 6449.000000 -1.297556e-05 -7.582715e-07 -6.074074e-08 -3.851011e-09 -1.486889e-04 -1.006392e-04 -9.301144e-05 -6.588652e-05
 6454.000000 -1.301219e-05 -7.666302e-07 -6.167007e-08 -3.908473e-09 -1.547593e-04 -1.112054e-04 -9.265612e-05 -6.304185e-05
 6459.000000 -1.310578e-05 -7.781425e-07 -6.282869e-08 -3.975724e-09 -1.543861e-04 -1.132144e-04 -9.547039e-05 -6.341884e-05
 6464.000000 -1.316076e-05 -7.872625e-07 -6.382763e-08 -4.025793e-09 -1.501038e-04 -1.102021e-04 -9.751628e-05 -7.146259e-05
 6469.000000 -1.313148e-05 -7.917715e-07 -6.442784e-08 -4.052382e-09 -1.493118e-04 -1.134403e-04 -1.005010e-04 -6.636354e-05
 6474.000000 -1.327910e-05 -8.072481e-07 -6.591288e-08 -4.142781e-09 -1.516585e-04 -1.087405e-04 -1.022855e-04 -6.439791e-05
 6479.000000 -1.336441e-05 -8.190204e-07 -6.712009e-08 -4.209822e-09 -1.382206e-04 -1.114259e-04 -1.061299e-04 -7.241686e-05
 6484.000000 -1.339702e-05 -8.273206e-07 -6.810305e-08 -4.268722e-09 -1.467071e-04 -1.078537e-04 -1.032501e-04 -7.678226e-05
 6489.000000 -1.345798e-05 -8.372990e-07 -6.916887e-08 -4.339768e-09 -1.459831e-04 -9.996419e-05 -8.544379e-05 -6.903515e-05
