# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.2680617466793
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733041815
# ISS.sample_y_position: 15.696002767
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:31:39
# Scan.end_time: 02/21/2022  13:32:05
# Scan.duration: 00:25
# Scan.transient_id: 196879
# Scan.uid: 5ac5398c-f64e-4423-8d75-c3b9bcecbc10
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.567157e-05 -2.291703e-06 -3.615150e-07 -1.397906e-07 -9.489630e-05 -3.769090e-05 -6.400323e-05 -6.197065e-05
 7614.000000 -2.316232e-05 -3.400932e-06 -5.374458e-07 -2.071039e-07 -1.392332e-04 -5.254174e-05 -1.006621e-04 -8.185597e-05
 7619.000000 -2.322886e-05 -3.427810e-06 -5.427240e-07 -2.083155e-07 -1.430697e-04 -5.070460e-05 -9.393233e-05 -9.623767e-05
 7624.000000 -2.326487e-05 -3.450637e-06 -5.473702e-07 -2.092744e-07 -1.437574e-04 -5.281569e-05 -9.525556e-05 -7.602456e-05
 7629.000000 -2.342772e-05 -3.493108e-06 -5.551319e-07 -2.113796e-07 -1.346579e-04 -6.377260e-05 -9.799177e-05 -6.312559e-05
 7634.000000 -2.341536e-05 -3.508343e-06 -5.586721e-07 -2.118717e-07 -1.301477e-04 -5.849204e-05 -1.090164e-04 -5.973158e-05
 7639.000000 -2.340522e-05 -3.524118e-06 -5.622686e-07 -2.124495e-07 -1.395458e-04 -5.989497e-05 -1.035626e-04 -5.840097e-05
 7644.000000 -2.353085e-05 -3.561229e-06 -5.692321e-07 -2.143270e-07 -1.420719e-04 -6.162822e-05 -9.088486e-05 -4.803948e-05
 7649.000000 -2.355104e-05 -3.581494e-06 -5.735654e-07 -2.151800e-07 -1.474502e-04 -5.798425e-05 -8.738698e-05 -4.792848e-05
 7654.000000 -2.353165e-05 -3.595686e-06 -5.768413e-07 -2.156899e-07 -1.471055e-04 -5.251363e-05 -1.088247e-04 -4.392090e-05
 7659.000000 -2.364834e-05 -3.631346e-06 -5.834938e-07 -2.174801e-07 -1.481294e-04 -5.075279e-05 -1.027405e-04 -4.849224e-05
