# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.467332759637
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733041815
# ISS.sample_y_position: 15.6960218405
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:44:21
# Scan.end_time: 02/21/2022  13:44:45
# Scan.duration: 00:23
# Scan.transient_id: 196902
# Scan.uid: ccde590e-79ee-4347-ab83-1e3555b4e421
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.816704e-05 -3.591353e-06 -2.152494e-07 -2.650818e-07 -9.859634e-05 -4.537065e-05 -8.786387e-05 -6.995761e-05
 8238.000000 -2.602691e-05 -5.162219e-06 -3.098374e-07 -3.791032e-07 -1.451302e-04 -6.917725e-05 -1.379230e-04 -1.187146e-04
 8243.000000 -2.618829e-05 -5.216016e-06 -3.133371e-07 -3.798758e-07 -1.532815e-04 -6.546313e-05 -1.253830e-04 -1.107805e-04
 8248.000000 -2.624596e-05 -5.248860e-06 -3.153358e-07 -3.798761e-07 -1.574725e-04 -6.111109e-05 -1.328407e-04 -8.365492e-05
 8253.000000 -2.608269e-05 -5.235160e-06 -3.143959e-07 -3.798757e-07 -1.561667e-04 -5.762797e-05 -1.353443e-04 -7.745266e-05
 8258.000000 -2.595056e-05 -5.228132e-06 -3.139061e-07 -3.798759e-07 -1.465312e-04 -6.244708e-05 -1.308963e-04 -8.261952e-05
 8263.000000 -2.621743e-05 -5.307375e-06 -3.186726e-07 -3.798759e-07 -1.476226e-04 -6.983467e-05 -1.274395e-04 -6.758144e-05
 8268.000000 -2.631391e-05 -5.349776e-06 -3.218550e-07 -3.798766e-07 -1.529392e-04 -7.281501e-05 -1.181588e-04 -7.071309e-05
 8273.000000 -2.634771e-05 -5.378134e-06 -3.247310e-07 -3.798762e-07 -1.468251e-04 -7.337689e-05 -1.242776e-04 -7.133946e-05
 8278.000000 -2.623717e-05 -5.374716e-06 -3.261661e-07 -3.798775e-07 -1.430244e-04 -7.385699e-05 -1.220879e-04 -7.059576e-05
 8283.000000 -2.617637e-05 -5.381592e-06 -3.283796e-07 -3.798770e-07 -1.366731e-04 -8.169435e-05 -1.173221e-04 -9.546984e-05
 8288.000000 -2.632944e-05 -5.434615e-06 -3.332684e-07 -3.798775e-07 -1.370277e-04 -8.174677e-05 -1.138562e-04 -8.428043e-05
 8293.000000 -2.626200e-05 -5.438621e-06 -3.353322e-07 -3.798778e-07 -1.355635e-04 -7.824769e-05 -1.165877e-04 -8.924447e-05
 8298.000000 -2.632524e-05 -5.470075e-06 -3.389237e-07 -3.798784e-07 -1.349933e-04 -8.283541e-05 -1.172827e-04 -1.223642e-04
 8303.000000 -2.624971e-05 -5.469491e-06 -3.405920e-07 -3.798781e-07 -1.403882e-04 -8.085109e-05 -1.165734e-04 -1.187502e-04
 8307.000000 -2.630261e-05 -5.492771e-06 -3.432468e-07 -3.798795e-07 -1.448061e-04 -8.302030e-05 -1.091399e-04 -1.179865e-04
 8310.000000 -2.624989e-05 -5.489366e-06 -3.438643e-07 -3.798794e-07 -1.326165e-04 -8.820663e-05 -1.090522e-04 -1.198345e-04
 8312.000000 -2.628844e-05 -5.503299e-06 -3.452957e-07 -3.798797e-07 -1.239004e-04 -8.532384e-05 -1.087117e-04 -1.240411e-04
 8313.000000 -2.634691e-05 -5.518910e-06 -3.464986e-07 -3.798780e-07 -1.302137e-04 -6.889673e-05 -1.194736e-04 -1.157839e-04
 8313.200000 -2.637458e-05 -5.526125e-06 -3.469596e-07 -3.799075e-07 -1.375575e-04 -6.956404e-05 -1.155523e-04 -1.191701e-04
 8313.400000 -2.632656e-05 -5.515271e-06 -3.465213e-07 -3.798803e-07 -1.300507e-04 -8.344987e-05 -1.210868e-04 -1.181051e-04
