# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.1777999912222
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733041815
# ISS.sample_y_position: 15.6960599875
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:20:34
# Scan.end_time: 02/21/2022  13:20:56
# Scan.duration: 00:22
# Scan.transient_id: 196859
# Scan.uid: 486b3b37-8701-4617-9685-90849e9b3945
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.470288e-06 -4.877846e-07 -3.882997e-08 -2.474621e-09 -9.216761e-05 -6.933760e-05 -8.511724e-05 -7.314238e-05
 6444.000000 -1.283161e-05 -7.434656e-07 -5.933478e-08 -3.772794e-09 -1.379252e-04 -1.044795e-04 -1.312838e-04 -1.069936e-04
 6449.000000 -1.292417e-05 -7.546931e-07 -6.048744e-08 -3.839363e-09 -1.369790e-04 -1.057592e-04 -1.242989e-04 -1.052498e-04
 6454.000000 -1.294917e-05 -7.620788e-07 -6.134075e-08 -3.885648e-09 -1.426339e-04 -1.115703e-04 -1.180135e-04 -1.091193e-04
 6459.000000 -1.304252e-05 -7.738220e-07 -6.254163e-08 -3.954652e-09 -1.415166e-04 -1.062272e-04 -1.195268e-04 -1.170366e-04
 6464.000000 -1.310104e-05 -7.838456e-07 -6.356527e-08 -4.001282e-09 -1.372311e-04 -1.102325e-04 -1.237915e-04 -1.157521e-04
 6469.000000 -1.313484e-05 -7.921731e-07 -6.445967e-08 -4.057200e-09 -1.386789e-04 -1.152758e-04 -1.228649e-04 -1.111986e-04
 6474.000000 -1.320245e-05 -8.023592e-07 -6.555323e-08 -4.123882e-09 -1.377714e-04 -1.091091e-04 -1.218952e-04 -1.002790e-04
 6479.000000 -1.327360e-05 -8.128474e-07 -6.668646e-08 -4.178693e-09 -1.337826e-04 -1.141965e-04 -1.113525e-04 -9.591137e-05
 6484.000000 -1.337048e-05 -8.249008e-07 -6.795909e-08 -4.261447e-09 -1.343014e-04 -1.196830e-04 -1.131830e-04 -9.197012e-05
 6489.000000 -1.342242e-05 -8.343467e-07 -6.895562e-08 -4.330072e-09 -1.355140e-04 -1.066445e-04 -1.276160e-04 -1.018427e-04
 6494.000000 -1.347363e-05 -8.437947e-07 -7.001048e-08 -4.398047e-09 -1.389955e-04 -1.101483e-04 -1.190140e-04 -1.029108e-04
 6499.000000 -1.351140e-05 -8.527047e-07 -7.105209e-08 -4.467850e-09 -1.408680e-04 -1.032169e-04 -1.190558e-04 -1.069818e-04
 6504.000000 -1.357879e-05 -8.636023e-07 -7.223473e-08 -4.553213e-09 -1.344065e-04 -9.079732e-05 -1.261450e-04 -1.156818e-04
 6509.000000 -1.359743e-05 -8.714186e-07 -7.317555e-08 -4.636198e-09 -1.284755e-04 -8.493272e-05 -1.152488e-04 -1.094115e-04
 6513.000000 -1.358081e-05 -8.759950e-07 -7.375895e-08 -4.706214e-09 -1.266487e-04 -8.628240e-05 -1.085297e-04 -1.128252e-04
 6516.000000 -1.371402e-05 -8.887387e-07 -7.504259e-08 -4.795801e-09 -1.284661e-04 -9.755425e-05 -1.125345e-04 -1.062192e-04
 6518.000000 -1.372643e-05 -8.919629e-07 -7.540779e-08 -4.838420e-09 -1.320649e-04 -1.030708e-04 -1.139428e-04 -1.112421e-04
 6519.000000 -1.373197e-05 -8.933664e-07 -7.557318e-08 -4.857535e-09 -1.341399e-04 -9.661793e-05 -1.194416e-04 -1.177868e-04
 6519.200000 -1.373659e-05 -8.940232e-07 -7.563349e-08 -4.861313e-09 -1.326588e-04 -9.723294e-05 -1.226112e-04 -1.240714e-04
 6519.400000 -1.374944e-05 -8.957493e-07 -7.583186e-08 -4.872407e-09 -1.209927e-04 -9.576940e-05 -1.167533e-04 -1.050859e-04
 6519.600000 -1.376565e-05 -8.966786e-07 -7.595970e-08 -4.881698e-09 -1.225698e-04 -9.059352e-05 -1.238485e-04 -1.073127e-04
 6519.800000 -1.374308e-05 -8.954205e-07 -7.593693e-08 -4.876920e-09 -1.283621e-04 -9.709668e-05 -1.200796e-04 -1.148388e-04
 6520.000000 -1.373919e-05 -8.946795e-07 -7.588151e-08 -4.863532e-09 -1.234489e-04 -1.030221e-04 -1.197192e-04 -1.109665e-04
 6520.200000 -1.376606e-05 -8.965367e-07 -7.607251e-08 -4.899363e-09 -1.379418e-04 -1.069507e-04 -1.131603e-04 -1.119339e-04
 6520.400000 -1.377336e-05 -8.972592e-07 -7.599845e-08 -4.897087e-09 -1.334146e-04 -1.088270e-04 -1.028010e-04 -1.045027e-04
 6520.600000 -1.377668e-05 -8.982060e-07 -7.606454e-08 -4.893534e-09 -1.324466e-04 -1.083175e-04 -1.017584e-04 -1.086705e-04
 6520.800000 -1.377384e-05 -8.982758e-07 -7.612177e-08 -4.913136e-09 -1.462248e-04 -1.127733e-04 -1.096077e-04 -1.160904e-04
 6521.000000 -1.377464e-05 -8.986986e-07 -7.613988e-08 -4.912662e-09 -1.493490e-04 -1.147203e-04 -1.063957e-04 -1.135087e-04
 6521.200000 -1.377429e-05 -8.992577e-07 -7.633140e-08 -4.928287e-09 -1.433718e-04 -1.096070e-04 -1.045411e-04 -1.139764e-04
 6521.400000 -1.376610e-05 -8.992743e-07 -7.631115e-08 -4.924395e-09 -1.330172e-04 -1.024078e-04 -1.009654e-04 -1.195987e-04
 6521.600000 -1.376985e-05 -8.990054e-07 -7.625763e-08 -4.941076e-09 -1.386329e-04 -9.755167e-05 -1.020002e-04 -1.271382e-04
 6521.800000 -1.377634e-05 -8.999821e-07 -7.632992e-08 -4.958089e-09 -1.286654e-04 -1.055016e-04 -1.039267e-04 -1.203946e-04
 6522.000000 -1.378588e-05 -9.002947e-07 -7.641180e-08 -4.961510e-09 -1.246268e-04 -1.096347e-04 -1.096907e-04 -1.141626e-04
 6522.200000 -1.377675e-05 -8.999706e-07 -7.634996e-08 -4.956730e-09 -1.340383e-04 -1.178108e-04 -1.015677e-04 -1.118039e-04
 6522.400000 -1.376952e-05 -8.996931e-07 -7.634805e-08 -4.964284e-09 -1.339529e-04 -1.204335e-04 -1.055860e-04 -1.045931e-04
 6522.600000 -1.377378e-05 -9.007673e-07 -7.646619e-08 -4.986418e-09 -1.317505e-04 -1.184738e-04 -1.103365e-04 -1.078433e-04
 6522.800000 -1.375445e-05 -8.990975e-07 -7.636798e-08 -4.969053e-09 -1.426312e-04 -1.148036e-04 -1.145533e-04 -1.262594e-04
 6523.000000 -1.376948e-05 -9.004414e-07 -7.653902e-08 -4.952901e-09 -1.446542e-04 -1.127704e-04 -1.096761e-04 -1.277135e-04
 6523.200000 -1.375362e-05 -9.003863e-07 -7.649073e-08 -4.954706e-09 -1.449584e-04 -1.141069e-04 -1.037814e-04 -1.170368e-04
 6523.400000 -1.376885e-05 -9.006381e-07 -7.653002e-08 -4.985241e-09 -1.398916e-04 -1.112208e-04 -1.173465e-04 -1.212560e-04
 6523.600000 -1.376107e-05 -9.002586e-07 -7.643245e-08 -4.986485e-09 -1.397736e-04 -1.064052e-04 -1.151896e-04 -1.302923e-04
 6523.800000 -1.379315e-05 -9.028132e-07 -7.672801e-08 -4.987072e-09 -1.392379e-04 -9.954246e-05 -1.117689e-04 -1.158395e-04
 6524.000000 -1.379499e-05 -9.030463e-07 -7.669106e-08 -5.000682e-09 -1.435377e-04 -1.078597e-04 -1.129039e-04 -1.180641e-04
 6524.200000 -1.378633e-05 -9.030987e-07 -7.679569e-08 -5.012277e-09 -1.402803e-04 -1.076940e-04 -1.095171e-04 -1.219880e-04
 6524.400000 -1.379189e-05 -9.039420e-07 -7.691057e-08 -5.030846e-09 -1.470610e-04 -1.059999e-04 -1.143117e-04 -1.174561e-04
 6524.600000 -1.380316e-05 -9.051238e-07 -7.694425e-08 -5.028667e-09 -1.434107e-04 -1.072227e-04 -9.856694e-05 -1.119796e-04
 6524.800000 -1.380085e-05 -9.048921e-07 -7.689902e-08 -5.038078e-09 -1.457018e-04 -1.017228e-04 -1.026893e-04 -1.064761e-04
 6525.000000 -1.380522e-05 -9.058841e-07 -7.703023e-08 -5.041223e-09 -1.466049e-04 -1.022328e-04 -1.074021e-04 -1.049345e-04
 6525.200000 -1.381648e-05 -9.060953e-07 -7.715182e-08 -5.061974e-09 -1.338851e-04 -9.931116e-05 -1.097277e-04 -1.034474e-04
 6525.400000 -1.381991e-05 -9.066316e-07 -7.711372e-08 -5.074726e-09 -1.402834e-04 -1.083621e-04 -1.059436e-04 -1.056835e-04
 6525.600000 -1.383254e-05 -9.085555e-07 -7.716518e-08 -5.056935e-09 -1.417150e-04 -1.068505e-04 -1.052914e-04 -1.082659e-04
 6525.800000 -1.383206e-05 -9.088403e-07 -7.732017e-08 -5.082776e-09 -1.475525e-04 -1.029895e-04 -9.793844e-05 -9.824698e-05
 6526.000000 -1.382840e-05 -9.088096e-07 -7.729340e-08 -5.078193e-09 -1.528320e-04 -1.018214e-04 -1.022533e-04 -1.021053e-04
 6526.200000 -1.383462e-05 -9.095772e-07 -7.743787e-08 -5.089433e-09 -1.531921e-04 -1.026265e-04 -1.175507e-04 -1.166787e-04
 6526.400000 -1.382445e-05 -9.092479e-07 -7.732172e-08 -5.099964e-09 -1.503815e-04 -1.007702e-04 -1.283444e-04 -1.215806e-04
 6526.600000 -1.381891e-05 -9.089250e-07 -7.728200e-08 -5.107034e-09 -1.563985e-04 -9.447721e-05 -1.167165e-04 -1.258744e-04
 6526.800000 -1.382504e-05 -9.088034e-07 -7.744208e-08 -5.101449e-09 -1.451285e-04 -9.465808e-05 -1.184559e-04 -1.138567e-04
 6527.000000 -1.381807e-05 -9.090255e-07 -7.739522e-08 -5.129482e-09 -1.377094e-04 -1.070734e-04 -1.066252e-04 -1.078789e-04
 6527.200000 -1.384448e-05 -9.109162e-07 -7.757932e-08 -5.134803e-09 -1.406145e-04 -1.024867e-04 -1.074819e-04 -1.100665e-04
