# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.90638168690896
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733003668
# ISS.sample_y_position: 15.69596462
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:32:14
# Scan.end_time: 02/21/2022  13:32:39
# Scan.duration: 00:25
# Scan.transient_id: 196880
# Scan.uid: 3619f724-ccc0-4098-baf4-77699b035b8b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.570679e-05 -2.296813e-06 -3.623437e-07 -1.400398e-07 -7.782630e-05 -4.307261e-05 -6.700502e-05 -3.534431e-05
 7614.000000 -2.313691e-05 -3.395740e-06 -5.366768e-07 -2.067088e-07 -1.155321e-04 -5.995582e-05 -9.549660e-05 -5.644917e-05
 7619.000000 -2.324332e-05 -3.428998e-06 -5.428711e-07 -2.083340e-07 -1.096754e-04 -7.313726e-05 -9.537710e-05 -5.915970e-05
 7624.000000 -2.335153e-05 -3.462891e-06 -5.492686e-07 -2.099604e-07 -1.070096e-04 -8.709922e-05 -9.410936e-05 -5.745369e-05
 7629.000000 -2.322375e-05 -3.459601e-06 -5.498067e-07 -2.094171e-07 -1.105362e-04 -8.499592e-05 -1.078992e-04 -6.753216e-05
 7634.000000 -2.302711e-05 -3.445040e-06 -5.486324e-07 -2.081821e-07 -1.120723e-04 -7.725957e-05 -1.000203e-04 -6.625070e-05
 7639.000000 -2.322232e-05 -3.493491e-06 -5.573068e-07 -2.106922e-07 -1.146147e-04 -7.613207e-05 -9.837280e-05 -6.373791e-05
 7644.000000 -2.342430e-05 -3.542716e-06 -5.662246e-07 -2.132495e-07 -1.155336e-04 -7.143828e-05 -1.096230e-04 -7.061401e-05
 7649.000000 -2.336460e-05 -3.549992e-06 -5.684419e-07 -2.133077e-07 -1.205599e-04 -7.501246e-05 -1.125145e-04 -6.465301e-05
 7654.000000 -2.335281e-05 -3.565278e-06 -5.718236e-07 -2.138868e-07 -1.263121e-04 -6.637069e-05 -1.108130e-04 -7.443922e-05
 7659.000000 -2.342293e-05 -3.593679e-06 -5.773763e-07 -2.152276e-07 -1.302026e-04 -7.141341e-05 -1.127698e-04 -6.842863e-05
