# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.17670359705124
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733003668
# ISS.sample_y_position: 15.69596462
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:44:53
# Scan.end_time: 02/21/2022  13:45:18
# Scan.duration: 00:25
# Scan.transient_id: 196903
# Scan.uid: 43f27eec-bbfe-4a61-95ef-b2677c46aa53
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.822695e-05 -3.605449e-06 -2.158064e-07 -2.643787e-07 -1.081693e-04 -5.676818e-05 -6.901164e-05 -8.680757e-05
 8238.000000 -2.611355e-05 -5.181388e-06 -3.106261e-07 -3.790937e-07 -1.543074e-04 -8.986564e-05 -1.020389e-04 -1.200092e-04
 8243.000000 -2.615975e-05 -5.210871e-06 -3.127846e-07 -3.798795e-07 -1.554569e-04 -9.377163e-05 -1.020364e-04 -1.180703e-04
 8248.000000 -2.623528e-05 -5.247923e-06 -3.151304e-07 -3.798798e-07 -1.622078e-04 -8.893677e-05 -9.447453e-05 -1.147469e-04
 8253.000000 -2.622631e-05 -5.267038e-06 -3.161062e-07 -3.798797e-07 -1.610525e-04 -8.767398e-05 -1.014609e-04 -1.137052e-04
 8258.000000 -2.626434e-05 -5.297161e-06 -3.177610e-07 -3.798788e-07 -1.524833e-04 -8.016720e-05 -1.079222e-04 -1.179743e-04
 8263.000000 -2.629868e-05 -5.326333e-06 -3.197007e-07 -3.798789e-07 -1.490392e-04 -7.510520e-05 -1.063716e-04 -1.282221e-04
 8268.000000 -2.625369e-05 -5.338438e-06 -3.211832e-07 -3.798794e-07 -1.483896e-04 -8.255240e-05 -1.078232e-04 -1.317268e-04
 8273.000000 -2.620263e-05 -5.348284e-06 -3.229954e-07 -3.798803e-07 -1.480076e-04 -8.696507e-05 -1.091298e-04 -1.172838e-04
 8278.000000 -2.630397e-05 -5.391705e-06 -3.271365e-07 -3.798805e-07 -1.470680e-04 -9.078681e-05 -1.154043e-04 -1.154609e-04
 8283.000000 -2.630607e-05 -5.412564e-06 -3.301158e-07 -3.798812e-07 -1.523188e-04 -9.253992e-05 -1.123596e-04 -1.038818e-04
 8288.000000 -2.634046e-05 -5.439263e-06 -3.335465e-07 -3.798811e-07 -1.532363e-04 -9.960001e-05 -1.058169e-04 -7.869029e-05
 8293.000000 -2.639863e-05 -5.470565e-06 -3.371812e-07 -3.798806e-07 -1.573131e-04 -9.938910e-05 -9.843453e-05 -6.894858e-05
 8298.000000 -2.638580e-05 -5.485678e-06 -3.398632e-07 -3.798811e-07 -1.630097e-04 -9.472036e-05 -8.577422e-05 -7.270157e-05
 8303.000000 -2.639639e-05 -5.505309e-06 -3.428802e-07 -3.798814e-07 -1.566910e-04 -8.429983e-05 -9.136796e-05 -1.059374e-04
 8307.000000 -2.639047e-05 -5.516121e-06 -3.448060e-07 -3.798819e-07 -1.482472e-04 -8.153221e-05 -9.440465e-05 -1.163427e-04
 8310.000000 -2.635341e-05 -5.515750e-06 -3.456540e-07 -3.798831e-07 -1.517771e-04 -7.706839e-05 -9.444329e-05 -1.074941e-04
 8312.000000 -2.635673e-05 -5.521039e-06 -3.464263e-07 -3.798822e-07 -1.396084e-04 -7.878432e-05 -9.909420e-05 -1.012391e-04
 8313.000000 -2.635975e-05 -5.524063e-06 -3.470114e-07 -3.798828e-07 -1.297209e-04 -7.248410e-05 -1.002536e-04 -9.583848e-05
 8313.200000 -2.634634e-05 -5.522376e-06 -3.469649e-07 -3.798655e-07 -1.253054e-04 -6.861911e-05 -1.023188e-04 -9.956460e-05
 8313.400000 -2.632223e-05 -5.516549e-06 -3.464999e-07 -3.798843e-07 -1.313347e-04 -7.794974e-05 -9.384660e-05 -8.871952e-05
 8313.600000 -2.633824e-05 -5.520607e-06 -3.466544e-07 -3.798728e-07 -1.469600e-04 -8.051967e-05 -1.076607e-04 -9.108898e-05
