# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.8550395280141
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733003668
# ISS.sample_y_position: 15.695926473
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:21:05
# Scan.end_time: 02/21/2022  13:21:29
# Scan.duration: 00:24
# Scan.transient_id: 196860
# Scan.uid: c55b419e-533a-4873-93ac-e90dc5feda4e
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.474880e-06 -4.880911e-07 -3.884367e-08 -2.474327e-09 -1.088066e-04 -6.902993e-05 -6.082561e-05 -5.327661e-05
 6444.000000 -1.283217e-05 -7.435381e-07 -5.936854e-08 -3.767615e-09 -1.643075e-04 -1.063338e-04 -9.193506e-05 -7.629215e-05
 6449.000000 -1.293130e-05 -7.550862e-07 -6.053539e-08 -3.841593e-09 -1.691191e-04 -1.138232e-04 -9.428016e-05 -7.714687e-05
 6454.000000 -1.294145e-05 -7.615690e-07 -6.126612e-08 -3.879249e-09 -1.709420e-04 -1.056906e-04 -1.044210e-04 -7.635776e-05
 6459.000000 -1.299971e-05 -7.711586e-07 -6.229723e-08 -3.929729e-09 -1.747259e-04 -9.912255e-05 -1.158731e-04 -6.975336e-05
 6464.000000 -1.308289e-05 -7.822077e-07 -6.344921e-08 -3.992962e-09 -1.714337e-04 -9.214658e-05 -1.067692e-04 -4.695487e-05
 6469.000000 -1.312080e-05 -7.910675e-07 -6.438702e-08 -4.041515e-09 -1.641957e-04 -9.215656e-05 -1.053549e-04 -4.625555e-05
 6474.000000 -1.322580e-05 -8.037822e-07 -6.565086e-08 -4.120524e-09 -1.558129e-04 -1.004878e-04 -9.483186e-05 -4.309879e-05
 6479.000000 -1.329959e-05 -8.143986e-07 -6.680614e-08 -4.195160e-09 -1.511506e-04 -1.003281e-04 -9.575382e-05 -3.873314e-05
 6484.000000 -1.337516e-05 -8.255697e-07 -6.799854e-08 -4.254991e-09 -1.494417e-04 -9.804517e-05 -9.636335e-05 -3.608844e-05
 6489.000000 -1.342936e-05 -8.351886e-07 -6.907311e-08 -4.314160e-09 -1.488341e-04 -1.011131e-04 -1.066826e-04 -4.502654e-05
 6494.000000 -1.345506e-05 -8.430496e-07 -6.997701e-08 -4.380929e-09 -1.474349e-04 -9.823302e-05 -1.073765e-04 -4.036318e-05
 6499.000000 -1.350886e-05 -8.530951e-07 -7.101959e-08 -4.460500e-09 -1.539125e-04 -1.083908e-04 -1.062289e-04 -3.831978e-05
 6504.000000 -1.354063e-05 -8.612204e-07 -7.200839e-08 -4.536703e-09 -1.491445e-04 -1.055989e-04 -1.082664e-04 -4.782991e-05
