# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.5572810692715
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733003668
# ISS.sample_y_position: 15.69596462
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:32:47
# Scan.end_time: 02/21/2022  13:33:12
# Scan.duration: 00:25
# Scan.transient_id: 196881
# Scan.uid: faf5ead0-e472-4e4d-914a-28705165df54
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.575818e-05 -2.304749e-06 -3.633379e-07 -1.405483e-07 -9.942422e-05 -3.436787e-05 -7.670920e-05 -3.261502e-05
 7614.000000 -2.329704e-05 -3.421636e-06 -5.403486e-07 -2.083215e-07 -1.481912e-04 -5.653235e-05 -1.065122e-04 -5.452578e-05
 7619.000000 -2.340461e-05 -3.455257e-06 -5.468068e-07 -2.098807e-07 -1.503026e-04 -6.515010e-05 -1.154961e-04 -5.606718e-05
 7624.000000 -2.344769e-05 -3.479135e-06 -5.516535e-07 -2.109190e-07 -1.457230e-04 -7.629386e-05 -1.228346e-04 -5.520204e-05
 7629.000000 -2.347386e-05 -3.500291e-06 -5.559878e-07 -2.118305e-07 -1.272526e-04 -7.631236e-05 -1.149721e-04 -4.915010e-05
 7634.000000 -2.352906e-05 -3.525543e-06 -5.611422e-07 -2.129850e-07 -1.322441e-04 -7.399673e-05 -1.087085e-04 -4.665801e-05
 7639.000000 -2.358280e-05 -3.551344e-06 -5.663262e-07 -2.141273e-07 -1.438224e-04 -6.794321e-05 -1.054260e-04 -4.608687e-05
 7644.000000 -2.358427e-05 -3.569081e-06 -5.701751e-07 -2.148320e-07 -1.525851e-04 -6.583077e-05 -1.178675e-04 -4.943339e-05
 7649.000000 -2.360670e-05 -3.590438e-06 -5.745767e-07 -2.156940e-07 -1.503363e-04 -6.372790e-05 -1.173122e-04 -5.029377e-05
 7654.000000 -2.361830e-05 -3.608963e-06 -5.786547e-07 -2.164626e-07 -1.507896e-04 -5.720846e-05 -1.166612e-04 -5.711256e-05
 7659.000000 -2.371733e-05 -3.642148e-06 -5.849164e-07 -2.180981e-07 -1.454169e-04 -5.672223e-05 -1.133826e-04 -5.616052e-05
 7664.000000 -2.367184e-05 -3.652581e-06 -5.875653e-07 -2.183816e-07 -1.356684e-04 -4.710161e-05 -1.050121e-04 -5.602365e-05
 7669.000000 -2.376899e-05 -3.686231e-06 -5.938618e-07 -2.200502e-07 -1.384347e-04 -4.961799e-05 -9.524720e-05 -5.812260e-05
 7674.000000 -2.372496e-05 -3.696089e-06 -5.963437e-07 -2.204020e-07 -1.385618e-04 -6.108385e-05 -9.966611e-05 -5.820565e-05
 7679.000000 -2.374929e-05 -3.717553e-06 -6.005065e-07 -2.214662e-07 -1.377249e-04 -6.158947e-05 -9.653645e-05 -6.597290e-05
 7683.000000 -2.377214e-05 -3.734854e-06 -6.036319e-07 -2.224045e-07 -1.466175e-04 -7.141636e-05 -9.688040e-05 -5.840110e-05
 7686.000000 -2.374230e-05 -3.739868e-06 -6.046638e-07 -2.226752e-07 -1.368330e-04 -7.964875e-05 -1.088651e-04 -5.218378e-05
 7688.000000 -2.381286e-05 -3.758496e-06 -6.078060e-07 -2.237800e-07 -1.256015e-04 -7.528835e-05 -1.026588e-04 -4.539085e-05
 7689.000000 -2.390978e-05 -3.777701e-06 -6.108965e-07 -2.249410e-07 -1.336842e-04 -7.426476e-05 -1.119786e-04 -5.079853e-05
 7689.200000 -2.392578e-05 -3.780951e-06 -6.113608e-07 -2.251900e-07 -1.332126e-04 -7.336790e-05 -1.190448e-04 -4.626736e-05
 7689.400000 -2.381173e-05 -3.763164e-06 -6.085710e-07 -2.240874e-07 -1.319148e-04 -7.882968e-05 -1.069355e-04 -4.867329e-05
 7689.600000 -2.384622e-05 -3.770278e-06 -6.099258e-07 -2.244663e-07 -1.262872e-04 -7.013574e-05 -9.324952e-05 -4.006894e-05
 7689.800000 -2.386979e-05 -3.775059e-06 -6.105919e-07 -2.247260e-07 -1.374176e-04 -6.768859e-05 -9.096585e-05 -3.866186e-05
 7690.000000 -2.384570e-05 -3.771162e-06 -6.101070e-07 -2.244596e-07 -1.403966e-04 -6.840550e-05 -1.096470e-04 -3.809979e-05
 7690.200000 -2.383491e-05 -3.770255e-06 -6.096909e-07 -2.243729e-07 -1.437887e-04 -6.804593e-05 -1.151051e-04 -3.605797e-05
 7690.400000 -2.381229e-05 -3.766799e-06 -6.092523e-07 -2.243254e-07 -1.395314e-04 -5.995524e-05 -1.036075e-04 -3.895261e-05
 7690.600000 -2.385933e-05 -3.776002e-06 -6.106544e-07 -2.247234e-07 -1.385316e-04 -6.010575e-05 -9.153031e-05 -3.909338e-05
 7690.800000 -2.385097e-05 -3.775026e-06 -6.106338e-07 -2.247092e-07 -1.409074e-04 -6.646420e-05 -1.089879e-04 -5.385140e-05
 7691.000000 -2.383934e-05 -3.773758e-06 -6.103315e-07 -2.247714e-07 -1.371225e-04 -7.382293e-05 -1.155977e-04 -5.181313e-05
 7691.200000 -2.387721e-05 -3.780518e-06 -6.115181e-07 -2.252339e-07 -1.394471e-04 -7.858527e-05 -1.043084e-04 -5.163733e-05
 7691.400000 -2.387902e-05 -3.781915e-06 -6.115498e-07 -2.252345e-07 -1.345353e-04 -6.810814e-05 -1.125537e-04 -6.315689e-05
 7691.600000 -2.385931e-05 -3.778912e-06 -6.110914e-07 -2.251383e-07 -1.378967e-04 -6.934337e-05 -1.089417e-04 -6.166704e-05
 7691.800000 -2.377551e-05 -3.766143e-06 -6.090019e-07 -2.243764e-07 -1.480345e-04 -7.575946e-05 -1.110602e-04 -5.967890e-05
 7692.000000 -2.377916e-05 -3.766564e-06 -6.090101e-07 -2.244763e-07 -1.411423e-04 -7.246171e-05 -1.135323e-04 -5.357313e-05
 7692.200000 -2.381376e-05 -3.773587e-06 -6.102969e-07 -2.248753e-07 -1.371650e-04 -6.230597e-05 -9.848581e-05 -4.232239e-05
 7692.400000 -2.378517e-05 -3.769260e-06 -6.094839e-07 -2.246432e-07 -1.323343e-04 -5.740110e-05 -9.302890e-05 -5.151579e-05
 7692.600000 -2.382317e-05 -3.776503e-06 -6.106854e-07 -2.249500e-07 -1.390057e-04 -5.753693e-05 -1.009267e-04 -5.574173e-05
 7692.800000 -2.377218e-05 -3.769249e-06 -6.094557e-07 -2.245825e-07 -1.383194e-04 -4.292875e-05 -9.387488e-05 -5.417933e-05
 7693.000000 -2.379627e-05 -3.773256e-06 -6.100317e-07 -2.248508e-07 -1.428863e-04 -4.672171e-05 -8.319671e-05 -5.487902e-05
 7693.200000 -2.364639e-05 -3.749512e-06 -6.062488e-07 -2.234088e-07 -1.407575e-04 -4.295865e-05 -9.988213e-05 -6.318834e-05
 7693.400000 -2.369947e-05 -3.759186e-06 -6.076074e-07 -2.238624e-07 -1.372026e-04 -4.618011e-05 -1.087027e-04 -5.978736e-05
 7693.600000 -2.374402e-05 -3.766434e-06 -6.089061e-07 -2.243992e-07 -1.367363e-04 -4.950248e-05 -9.976176e-05 -5.382181e-05
 7693.800000 -2.385878e-05 -3.786547e-06 -6.119544e-07 -2.256929e-07 -1.433707e-04 -6.058759e-05 -1.015441e-04 -6.207864e-05
 7694.000000 -2.387011e-05 -3.789450e-06 -6.124390e-07 -2.259027e-07 -1.429082e-04 -5.753119e-05 -1.074744e-04 -5.681265e-05
 7694.200000 -2.390145e-05 -3.795870e-06 -6.134507e-07 -2.262488e-07 -1.397844e-04 -6.126278e-05 -9.936036e-05 -5.704575e-05
 7694.400000 -2.382421e-05 -3.783266e-06 -6.115320e-07 -2.254241e-07 -1.415349e-04 -6.103475e-05 -8.049427e-05 -5.914436e-05
 7694.600000 -2.388491e-05 -3.794702e-06 -6.133102e-07 -2.261451e-07 -1.407932e-04 -5.680167e-05 -9.555382e-05 -5.604728e-05
 7694.800000 -2.394739e-05 -3.805176e-06 -6.147617e-07 -2.268091e-07 -1.428155e-04 -5.735137e-05 -1.064386e-04 -4.719938e-05
 7695.000000 -2.394961e-05 -3.806347e-06 -6.148032e-07 -2.268667e-07 -1.424944e-04 -5.838472e-05 -1.085348e-04 -5.059439e-05
 7695.200000 -2.397325e-05 -3.810539e-06 -6.154314e-07 -2.271448e-07 -1.435475e-04 -5.985285e-05 -9.498249e-05 -6.109525e-05
 7695.400000 -2.394018e-05 -3.805271e-06 -6.145607e-07 -2.268791e-07 -1.347914e-04 -5.701131e-05 -9.887753e-05 -5.844169e-05
 7695.600000 -2.390273e-05 -3.799845e-06 -6.135990e-07 -2.264713e-07 -1.376699e-04 -4.859203e-05 -9.495836e-05 -5.952865e-05
 7695.800000 -2.390535e-05 -3.800614e-06 -6.137947e-07 -2.266362e-07 -1.404074e-04 -5.585165e-05 -9.647798e-05 -6.273632e-05
 7696.000000 -2.398438e-05 -3.814054e-06 -6.160962e-07 -2.274818e-07 -1.467461e-04 -5.911775e-05 -8.984595e-05 -6.287937e-05
 7696.200000 -2.394630e-05 -3.808799e-06 -6.151143e-07 -2.271688e-07 -1.461880e-04 -6.070731e-05 -8.731203e-05 -6.949195e-05
 7696.400000 -2.392312e-05 -3.805928e-06 -6.146366e-07 -2.270595e-07 -1.422994e-04 -6.632500e-05 -9.162529e-05 -6.513567e-05
 7696.600000 -2.387905e-05 -3.799544e-06 -6.134272e-07 -2.266004e-07 -1.443913e-04 -6.034170e-05 -1.065909e-04 -6.734105e-05
 7696.800000 -2.387610e-05 -3.800045e-06 -6.133377e-07 -2.266235e-07 -1.416043e-04 -5.647560e-05 -1.068063e-04 -6.147131e-05
 7697.000000 -2.381575e-05 -3.790337e-06 -6.117184e-07 -2.260941e-07 -1.446553e-04 -5.981884e-05 -1.154631e-04 -6.192001e-05
 7697.200000 -2.380099e-05 -3.788610e-06 -6.113311e-07 -2.260244e-07 -1.488982e-04 -6.438683e-05 -1.063017e-04 -5.631854e-05
 7697.400000 -2.373900e-05 -3.778351e-06 -6.097885e-07 -2.254993e-07 -1.481732e-04 -6.114752e-05 -1.085421e-04 -6.928668e-05
 7697.600000 -2.371571e-05 -3.776501e-06 -6.092958e-07 -2.253030e-07 -1.470609e-04 -6.133382e-05 -1.028100e-04 -6.574923e-05
 7697.800000 -2.372030e-05 -3.777707e-06 -6.094546e-07 -2.255453e-07 -1.483898e-04 -6.660141e-05 -9.261423e-05 -6.318950e-05
 7698.000000 -2.381507e-05 -3.793997e-06 -6.120034e-07 -2.264404e-07 -1.487272e-04 -6.230409e-05 -1.163635e-04 -5.603943e-05
 7698.200000 -2.389732e-05 -3.808494e-06 -6.142609e-07 -2.274768e-07 -1.454095e-04 -6.361475e-05 -1.047519e-04 -4.780043e-05
 7698.400000 -2.388389e-05 -3.806581e-06 -6.138918e-07 -2.273322e-07 -1.510058e-04 -5.589407e-05 -1.049503e-04 -6.111827e-05
 7698.600000 -2.388159e-05 -3.806702e-06 -6.136468e-07 -2.273849e-07 -1.459725e-04 -5.451189e-05 -9.710167e-05 -6.223771e-05
 7698.800000 -2.383470e-05 -3.799060e-06 -6.124673e-07 -2.270213e-07 -1.543039e-04 -5.431700e-05 -1.046709e-04 -5.570671e-05
 7699.000000 -2.377835e-05 -3.790926e-06 -6.110126e-07 -2.264614e-07 -1.448259e-04 -6.023179e-05 -1.086166e-04 -5.113443e-05
 7699.200000 -2.373885e-05 -3.785182e-06 -6.099543e-07 -2.260734e-07 -1.428014e-04 -7.158059e-05 -1.185291e-04 -5.942418e-05
 7699.400000 -2.364409e-05 -3.769352e-06 -6.071093e-07 -2.250505e-07 -1.331403e-04 -7.355504e-05 -1.027677e-04 -5.811762e-05
 7699.600000 -2.368795e-05 -3.777305e-06 -6.083758e-07 -2.258013e-07 -1.295074e-04 -7.756693e-05 -1.019417e-04 -5.942116e-05
 7699.800000 -2.368502e-05 -3.776997e-06 -6.081450e-07 -2.257618e-07 -1.357601e-04 -7.283860e-05 -1.206223e-04 -7.725622e-05
 7700.000000 -2.371722e-05 -3.783075e-06 -6.091041e-07 -2.262343e-07 -1.426945e-04 -6.746551e-05 -1.128053e-04 -6.870842e-05
 7700.200000 -2.368641e-05 -3.778862e-06 -6.082511e-07 -2.259492e-07 -1.464577e-04 -7.348779e-05 -1.094469e-04 -6.038596e-05
 7700.400000 -2.368882e-05 -3.779599e-06 -6.080080e-07 -2.260686e-07 -1.425030e-04 -7.917138e-05 -9.124511e-05 -5.855601e-05
 7700.600000 -2.366151e-05 -3.775504e-06 -6.074118e-07 -2.258564e-07 -1.403255e-04 -6.798835e-05 -1.021279e-04 -5.113299e-05
 7700.800000 -2.366969e-05 -3.777454e-06 -6.073888e-07 -2.259769e-07 -1.374978e-04 -7.030774e-05 -1.095317e-04 -4.976928e-05
 7701.000000 -2.373041e-05 -3.788758e-06 -6.090760e-07 -2.266741e-07 -1.290066e-04 -6.527293e-05 -1.042687e-04 -5.515899e-05
 7701.200000 -2.373940e-05 -3.790821e-06 -6.092833e-07 -2.269336e-07 -1.276185e-04 -6.579640e-05 -1.146133e-04 -5.636281e-05
 7701.400000 -2.379953e-05 -3.801132e-06 -6.105610e-07 -2.276748e-07 -1.299292e-04 -6.636645e-05 -1.051763e-04 -5.399702e-05
 7701.600000 -2.387215e-05 -3.814010e-06 -6.125169e-07 -2.284251e-07 -1.306436e-04 -5.679647e-05 -1.032967e-04 -5.231884e-05
 7701.800000 -2.392119e-05 -3.822742e-06 -6.136584e-07 -2.288576e-07 -1.382713e-04 -6.108574e-05 -9.920889e-05 -5.117587e-05
 7702.000000 -2.395165e-05 -3.828834e-06 -6.143531e-07 -2.293696e-07 -1.382111e-04 -5.805412e-05 -1.010276e-04 -4.124743e-05
 7702.200000 -2.398891e-05 -3.835694e-06 -6.151216e-07 -2.297077e-07 -1.339533e-04 -6.178558e-05 -1.037118e-04 -4.884986e-05
 7702.400000 -2.401235e-05 -3.841064e-06 -6.156606e-07 -2.300505e-07 -1.320933e-04 -6.880538e-05 -1.046785e-04 -4.895848e-05
 7702.600000 -2.399820e-05 -3.839045e-06 -6.148485e-07 -2.302044e-07 -1.325702e-04 -5.843476e-05 -1.131657e-04 -5.249415e-05
 7702.800000 -2.403264e-05 -3.845118e-06 -6.156269e-07 -2.306049e-07 -1.212472e-04 -6.033839e-05 -1.140088e-04 -4.643326e-05
 7703.000000 -2.403241e-05 -3.845661e-06 -6.154681e-07 -2.307882e-07 -1.206260e-04 -5.774979e-05 -1.117555e-04 -4.237911e-05
 7703.200000 -2.398768e-05 -3.838360e-06 -6.140870e-07 -2.303057e-07 -1.217654e-04 -5.193727e-05 -1.054669e-04 -4.641055e-05
 7703.400000 -2.401618e-05 -3.843747e-06 -6.144922e-07 -2.307364e-07 -1.199550e-04 -4.654454e-05 -1.006722e-04 -4.820879e-05
 7703.600000 -2.400632e-05 -3.842463e-06 -6.138807e-07 -2.308485e-07 -1.239225e-04 -5.000841e-05 -1.131711e-04 -4.494457e-05
 7703.800000 -2.399212e-05 -3.840567e-06 -6.129878e-07 -2.308051e-07 -1.257492e-04 -5.077537e-05 -1.019879e-04 -4.146551e-05
 7704.000000 -2.393246e-05 -3.831381e-06 -6.111969e-07 -2.302846e-07 -1.260089e-04 -4.238510e-05 -1.046449e-04 -5.190841e-05
 7704.200000 -2.395619e-05 -3.835570e-06 -6.110414e-07 -2.306367e-07 -1.305102e-04 -4.530378e-05 -1.070419e-04 -5.337485e-05
 7704.400000 -2.387308e-05 -3.822372e-06 -6.084524e-07 -2.299735e-07 -1.217937e-04 -3.675745e-05 -1.048105e-04 -5.321280e-05
 7704.600000 -2.397295e-05 -3.839047e-06 -6.105549e-07 -2.312467e-07 -1.284766e-04 -3.937440e-05 -9.878080e-05 -5.829978e-05
 7704.800000 -2.400243e-05 -3.844660e-06 -6.107188e-07 -2.315262e-07 -1.304147e-04 -5.244658e-05 -9.431817e-05 -5.503190e-05
 7705.000000 -2.401581e-05 -3.847414e-06 -6.101920e-07 -2.318714e-07 -1.356811e-04 -5.295189e-05 -1.026610e-04 -5.158424e-05
 7705.200000 -2.398740e-05 -3.842910e-06 -6.087248e-07 -2.317367e-07 -1.408058e-04 -5.044172e-05 -1.024578e-04 -5.498206e-05
