# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.839896877092
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733003668
# ISS.sample_y_position: 15.695983693499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:45:26
# Scan.end_time: 02/21/2022  13:45:49
# Scan.duration: 00:23
# Scan.transient_id: 196904
# Scan.uid: 06498066-0c93-478e-8717-2f248e3d415a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.817917e-05 -3.595766e-06 -2.152127e-07 -2.646817e-07 -9.870657e-05 -5.352029e-05 -7.924231e-05 -4.694282e-05
 8238.000000 -2.604413e-05 -5.167725e-06 -3.098363e-07 -3.790997e-07 -1.434948e-04 -6.951316e-05 -1.150919e-04 -7.414788e-05
 8243.000000 -2.602724e-05 -5.183534e-06 -3.111114e-07 -3.798797e-07 -1.427509e-04 -8.014517e-05 -1.132023e-04 -6.453387e-05
 8248.000000 -2.616522e-05 -5.234299e-06 -3.142227e-07 -3.798806e-07 -1.419847e-04 -7.808478e-05 -1.198601e-04 -6.651041e-05
 8253.000000 -2.616074e-05 -5.255152e-06 -3.154934e-07 -3.798806e-07 -1.381613e-04 -8.214103e-05 -1.155707e-04 -7.274379e-05
 8258.000000 -2.601381e-05 -5.245182e-06 -3.148053e-07 -3.798806e-07 -1.378384e-04 -7.884322e-05 -1.223504e-04 -7.238187e-05
 8263.000000 -2.606549e-05 -5.278080e-06 -3.168744e-07 -3.798819e-07 -1.404678e-04 -7.879704e-05 -1.290985e-04 -7.310918e-05
 8268.000000 -2.614581e-05 -5.316861e-06 -3.198776e-07 -3.798823e-07 -1.391140e-04 -8.743146e-05 -1.149100e-04 -7.852071e-05
 8273.000000 -2.623038e-05 -5.356282e-06 -3.233522e-07 -3.798831e-07 -1.442047e-04 -8.127979e-05 -1.031696e-04 -7.217850e-05
 8278.000000 -2.624110e-05 -5.379522e-06 -3.262893e-07 -3.798832e-07 -1.368938e-04 -7.434691e-05 -1.159799e-04 -6.360923e-05
 8283.000000 -2.618725e-05 -5.387598e-06 -3.285798e-07 -3.798826e-07 -1.347373e-04 -8.138982e-05 -1.191291e-04 -5.783422e-05
