# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.5157038085632
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733003668
# ISS.sample_y_position: 15.696079060999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:21:38
# Scan.end_time: 02/21/2022  13:22:04
# Scan.duration: 00:25
# Scan.transient_id: 196861
# Scan.uid: 69e6ab78-b45d-480f-b1d2-756e605915e6
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.484368e-06 -4.883461e-07 -3.886145e-08 -2.473754e-09 -9.552983e-05 -6.084607e-05 -5.753516e-05 -5.854408e-05
 6444.000000 -1.287147e-05 -7.458434e-07 -5.953410e-08 -3.783395e-09 -1.466927e-04 -8.348474e-05 -8.560437e-05 -9.376364e-05
 6449.000000 -1.297211e-05 -7.575896e-07 -6.069933e-08 -3.853785e-09 -1.466231e-04 -8.741127e-05 -8.264188e-05 -1.081839e-04
 6454.000000 -1.298411e-05 -7.641645e-07 -6.143299e-08 -3.886593e-09 -1.403234e-04 -9.165556e-05 -8.528331e-05 -1.108478e-04
 6459.000000 -1.307256e-05 -7.758514e-07 -6.259902e-08 -3.950819e-09 -1.379532e-04 -9.220013e-05 -8.029300e-05 -1.013118e-04
 6464.000000 -1.312881e-05 -7.855379e-07 -6.361837e-08 -4.014142e-09 -1.382514e-04 -8.557283e-05 -6.893488e-05 -1.023777e-04
 6469.000000 -1.314896e-05 -7.927157e-07 -6.449363e-08 -4.053198e-09 -1.526178e-04 -8.784734e-05 -7.461733e-05 -1.055740e-04
 6474.000000 -1.321620e-05 -8.030287e-07 -6.563106e-08 -4.111757e-09 -1.510921e-04 -8.302817e-05 -8.291063e-05 -1.163262e-04
 6479.000000 -1.330691e-05 -8.144763e-07 -6.685619e-08 -4.188136e-09 -1.529499e-04 -9.313912e-05 -8.988313e-05 -1.120542e-04
 6484.000000 -1.337044e-05 -8.244338e-07 -6.788672e-08 -4.256984e-09 -1.563311e-04 -8.731611e-05 -9.819613e-05 -1.053478e-04
 6489.000000 -1.344522e-05 -8.361181e-07 -6.909711e-08 -4.335002e-09 -1.608795e-04 -8.961029e-05 -9.154296e-05 -8.672867e-05
 6494.000000 -1.348498e-05 -8.451541e-07 -7.007124e-08 -4.393693e-09 -1.576463e-04 -9.035569e-05 -8.402604e-05 -7.857198e-05
 6499.000000 -1.351969e-05 -8.531321e-07 -7.106807e-08 -4.462198e-09 -1.606337e-04 -9.462505e-05 -8.513614e-05 -6.729704e-05
 6504.000000 -1.359842e-05 -8.647192e-07 -7.230201e-08 -4.550034e-09 -1.624753e-04 -9.470560e-05 -7.843186e-05 -7.679993e-05
 6509.000000 -1.360936e-05 -8.720542e-07 -7.319093e-08 -4.639352e-09 -1.541385e-04 -9.002670e-05 -8.413805e-05 -8.400307e-05
 6513.000000 -1.355895e-05 -8.738016e-07 -7.359236e-08 -4.691705e-09 -1.489807e-04 -9.198840e-05 -8.583998e-05 -8.279646e-05
 6516.000000 -1.373740e-05 -8.898244e-07 -7.510828e-08 -4.792483e-09 -1.450023e-04 -9.484872e-05 -8.288352e-05 -8.069021e-05
 6518.000000 -1.373215e-05 -8.917395e-07 -7.543479e-08 -4.826436e-09 -1.504810e-04 -9.648399e-05 -7.767099e-05 -7.965087e-05
 6519.000000 -1.374624e-05 -8.941759e-07 -7.566941e-08 -4.860503e-09 -1.445693e-04 -9.240741e-05 -8.956642e-05 -8.325522e-05
 6519.200000 -1.374500e-05 -8.946243e-07 -7.569420e-08 -4.851464e-09 -1.492850e-04 -9.408831e-05 -8.789061e-05 -8.340738e-05
 6519.400000 -1.375323e-05 -8.953274e-07 -7.571062e-08 -4.859551e-09 -1.535623e-04 -8.955318e-05 -7.296081e-05 -8.685624e-05
 6519.600000 -1.377305e-05 -8.963010e-07 -7.597119e-08 -4.848527e-09 -1.489008e-04 -9.627826e-05 -8.515862e-05 -9.270329e-05
 6519.800000 -1.377750e-05 -8.967832e-07 -7.593153e-08 -4.878842e-09 -1.577341e-04 -9.364223e-05 -6.617584e-05 -8.099818e-05
 6520.000000 -1.378687e-05 -8.982080e-07 -7.602850e-08 -4.881827e-09 -1.620471e-04 -8.605677e-05 -7.105822e-05 -8.678300e-05
 6520.200000 -1.378343e-05 -8.979085e-07 -7.600549e-08 -4.900316e-09 -1.615581e-04 -9.227619e-05 -7.625535e-05 -8.615578e-05
 6520.400000 -1.380128e-05 -8.995593e-07 -7.609116e-08 -4.908059e-09 -1.574723e-04 -9.519994e-05 -6.433493e-05 -8.854321e-05
 6520.600000 -1.380487e-05 -9.001042e-07 -7.613619e-08 -4.900006e-09 -1.577985e-04 -9.757142e-05 -7.131012e-05 -9.294074e-05
 6520.800000 -1.381326e-05 -9.011511e-07 -7.627388e-08 -4.924100e-09 -1.615010e-04 -1.003083e-04 -6.295905e-05 -8.181020e-05
 6521.000000 -1.380976e-05 -9.009266e-07 -7.632656e-08 -4.948545e-09 -1.603703e-04 -9.978115e-05 -7.488908e-05 -8.354914e-05
 6521.200000 -1.381598e-05 -9.013664e-07 -7.626763e-08 -4.928105e-09 -1.481369e-04 -1.111956e-04 -6.249900e-05 -8.506189e-05
 6521.400000 -1.380755e-05 -9.013391e-07 -7.629120e-08 -4.955331e-09 -1.499487e-04 -1.051526e-04 -6.844220e-05 -9.150454e-05
 6521.600000 -1.380515e-05 -9.014158e-07 -7.632503e-08 -4.946911e-09 -1.610291e-04 -9.916814e-05 -6.600091e-05 -9.204504e-05
 6521.800000 -1.380749e-05 -9.014211e-07 -7.641415e-08 -4.942985e-09 -1.602742e-04 -9.909150e-05 -6.921866e-05 -9.438773e-05
 6522.000000 -1.381358e-05 -9.023699e-07 -7.653770e-08 -4.938352e-09 -1.627336e-04 -9.856019e-05 -7.206931e-05 -8.883490e-05
 6522.200000 -1.380363e-05 -9.018048e-07 -7.655151e-08 -4.948756e-09 -1.593847e-04 -1.052450e-04 -8.375839e-05 -8.525540e-05
 6522.400000 -1.380985e-05 -9.025469e-07 -7.658865e-08 -4.945345e-09 -1.560650e-04 -1.080786e-04 -8.050948e-05 -8.943149e-05
 6522.600000 -1.379167e-05 -9.011948e-07 -7.647415e-08 -4.966157e-09 -1.596825e-04 -9.779204e-05 -6.896593e-05 -8.424450e-05
 6522.800000 -1.381385e-05 -9.026265e-07 -7.662963e-08 -4.979277e-09 -1.639006e-04 -9.798207e-05 -5.853997e-05 -7.301938e-05
 6523.000000 -1.381114e-05 -9.026168e-07 -7.661357e-08 -4.996857e-09 -1.578941e-04 -9.861622e-05 -6.366257e-05 -7.844637e-05
