# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.5169479682155
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 10th 4_8V Co (pos   1) 0006
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -2.733003668
# ISS.sample_y_position: 15.6960599875
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:45:57
# Scan.end_time: 02/21/2022  13:46:21
# Scan.duration: 00:23
# Scan.transient_id: 196905
# Scan.uid: 911dc7ac-8b3f-4f16-ab2f-312df47f5da4
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.817274e-05 -3.594350e-06 -2.153276e-07 -2.646997e-07 -1.127485e-04 -6.963606e-05 -7.732808e-05 -4.415363e-05
 8238.000000 -2.604682e-05 -5.167571e-06 -3.099639e-07 -3.791022e-07 -1.569923e-04 -9.875072e-05 -1.092980e-04 -4.950158e-05
 8243.000000 -2.615740e-05 -5.210793e-06 -3.129420e-07 -3.798813e-07 -1.555781e-04 -9.269178e-05 -1.254455e-04 -4.834195e-05
 8248.000000 -2.614557e-05 -5.229630e-06 -3.142364e-07 -3.798816e-07 -1.533886e-04 -1.001475e-04 -1.238869e-04 -4.756899e-05
 8253.000000 -2.616531e-05 -5.255409e-06 -3.155809e-07 -3.798800e-07 -1.507528e-04 -9.716716e-05 -1.203004e-04 -7.410859e-05
 8258.000000 -2.616967e-05 -5.278046e-06 -3.168695e-07 -3.798802e-07 -1.389602e-04 -9.460216e-05 -1.094869e-04 -9.249663e-05
 8263.000000 -2.622843e-05 -5.312264e-06 -3.190432e-07 -3.798809e-07 -1.326656e-04 -9.087138e-05 -1.043884e-04 -9.213027e-05
 8268.000000 -2.623109e-05 -5.334233e-06 -3.210489e-07 -3.798812e-07 -1.464716e-04 -9.991886e-05 -1.089224e-04 -8.608940e-05
 8273.000000 -2.627093e-05 -5.364196e-06 -3.240736e-07 -3.798799e-07 -1.438324e-04 -1.013622e-04 -1.012192e-04 -9.398517e-05
 8278.000000 -2.624246e-05 -5.378778e-06 -3.265414e-07 -3.798816e-07 -1.517275e-04 -1.044383e-04 -9.678539e-05 -9.855715e-05
 8283.000000 -2.624547e-05 -5.399294e-06 -3.295281e-07 -3.798826e-07 -1.514441e-04 -1.060727e-04 -9.877641e-05 -1.047630e-04
