# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.70412691439
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.7328025105
# ISS.sample_y_position: 13.896227307
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:22:23
# Scan.end_time: 02/21/2022  13:22:48
# Scan.duration: 00:25
# Scan.transient_id: 196862
# Scan.uid: 322c0ee5-f73c-48ed-ad01-3bbdcaf7ee80
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.574012e-05 -2.895240e-06 -4.563974e-07 -1.237282e-07 -7.713667e-05 -5.454671e-05 -7.364306e-05 -4.706206e-05
 7614.000000 -2.331479e-05 -4.304143e-06 -6.796447e-07 -1.837133e-07 -1.141616e-04 -8.114979e-05 -1.116011e-04 -7.072372e-05
 7619.000000 -2.336838e-05 -4.333458e-06 -6.856901e-07 -1.846452e-07 -1.190153e-04 -7.825760e-05 -1.034926e-04 -7.399699e-05
 7624.000000 -2.331532e-05 -4.341980e-06 -6.885503e-07 -1.847855e-07 -1.158042e-04 -7.427798e-05 -9.623404e-05 -7.906718e-05
 7629.000000 -2.332525e-05 -4.363179e-06 -6.934402e-07 -1.854432e-07 -1.103918e-04 -7.160595e-05 -8.639493e-05 -7.897916e-05
 7634.000000 -2.336575e-05 -4.390971e-06 -6.992189e-07 -1.862932e-07 -1.110429e-04 -7.706773e-05 -9.490615e-05 -8.310394e-05
 7639.000000 -2.345521e-05 -4.428943e-06 -7.065791e-07 -1.876269e-07 -1.084627e-04 -8.468473e-05 -9.626519e-05 -7.590047e-05
 7644.000000 -2.351316e-05 -4.460907e-06 -7.129287e-07 -1.887077e-07 -1.159482e-04 -8.015727e-05 -9.683312e-05 -7.206578e-05
 7649.000000 -2.353157e-05 -4.484160e-06 -7.179622e-07 -1.894108e-07 -1.209074e-04 -7.559854e-05 -1.003486e-04 -7.177300e-05
 7654.000000 -2.345798e-05 -4.489542e-06 -7.201440e-07 -1.894091e-07 -1.226118e-04 -8.005072e-05 -1.032277e-04 -7.551400e-05
 7659.000000 -2.341677e-05 -4.501180e-06 -7.232464e-07 -1.896200e-07 -1.151808e-04 -7.981193e-05 -1.013147e-04 -6.902368e-05
 7664.000000 -2.359294e-05 -4.556825e-06 -7.333232e-07 -1.917486e-07 -1.145730e-04 -6.846808e-05 -9.666042e-05 -7.619591e-05
 7669.000000 -2.363398e-05 -4.585332e-06 -7.390332e-07 -1.927513e-07 -1.219028e-04 -6.839282e-05 -8.834608e-05 -7.989209e-05
 7674.000000 -2.366719e-05 -4.611701e-06 -7.443877e-07 -1.937288e-07 -1.327048e-04 -7.048465e-05 -8.847311e-05 -7.090228e-05
 7679.000000 -2.360217e-05 -4.617689e-06 -7.464365e-07 -1.939237e-07 -1.329954e-04 -7.355875e-05 -9.311178e-05 -6.776405e-05
 7683.000000 -2.363702e-05 -4.640234e-06 -7.507481e-07 -1.948519e-07 -1.327007e-04 -6.773383e-05 -8.751458e-05 -6.857389e-05
 7686.000000 -2.364664e-05 -4.653577e-06 -7.533464e-07 -1.954278e-07 -1.298329e-04 -7.254998e-05 -9.375762e-05 -6.328915e-05
 7688.000000 -2.362815e-05 -4.657277e-06 -7.540949e-07 -1.956265e-07 -1.234404e-04 -7.572197e-05 -8.769209e-05 -6.522191e-05
 7689.000000 -2.352421e-05 -4.638886e-06 -7.511605e-07 -1.949303e-07 -1.231614e-04 -7.872409e-05 -8.206237e-05 -6.355274e-05
 7689.200000 -2.349795e-05 -4.634244e-06 -7.503077e-07 -1.947742e-07 -1.250448e-04 -8.327327e-05 -7.663794e-05 -6.074834e-05
 7689.400000 -2.353584e-05 -4.643166e-06 -7.516818e-07 -1.951539e-07 -1.300459e-04 -8.425114e-05 -7.768627e-05 -7.280913e-05
 7689.600000 -2.349292e-05 -4.635317e-06 -7.504839e-07 -1.948875e-07 -1.329714e-04 -9.330750e-05 -7.503166e-05 -6.569047e-05
 7689.800000 -2.350413e-05 -4.638357e-06 -7.511972e-07 -1.948381e-07 -1.322027e-04 -8.521860e-05 -8.370351e-05 -6.238901e-05
 7690.000000 -2.347049e-05 -4.631964e-06 -7.502036e-07 -1.946034e-07 -1.281255e-04 -7.554291e-05 -8.797408e-05 -5.369076e-05
 7690.200000 -2.351305e-05 -4.640586e-06 -7.517387e-07 -1.950571e-07 -1.302415e-04 -6.748552e-05 -8.152039e-05 -4.655655e-05
 7690.400000 -2.352689e-05 -4.644461e-06 -7.521568e-07 -1.951901e-07 -1.333176e-04 -7.373389e-05 -8.130757e-05 -5.798528e-05
 7690.600000 -2.354420e-05 -4.649839e-06 -7.528505e-07 -1.954684e-07 -1.303441e-04 -7.699306e-05 -7.552952e-05 -6.010440e-05
 7690.800000 -2.362610e-05 -4.668131e-06 -7.557185e-07 -1.962565e-07 -1.405973e-04 -7.408223e-05 -8.286899e-05 -6.163647e-05
 7691.000000 -2.359675e-05 -4.662068e-06 -7.548037e-07 -1.959559e-07 -1.333612e-04 -7.605281e-05 -9.266169e-05 -6.110718e-05
 7691.200000 -2.365157e-05 -4.674373e-06 -7.566716e-07 -1.966156e-07 -1.282799e-04 -7.728228e-05 -8.639418e-05 -5.615993e-05
 7691.400000 -2.367794e-05 -4.680585e-06 -7.576882e-07 -1.967604e-07 -1.218013e-04 -7.155014e-05 -7.782548e-05 -6.175541e-05
 7691.600000 -2.368739e-05 -4.683617e-06 -7.581657e-07 -1.969164e-07 -1.113403e-04 -6.845787e-05 -7.703771e-05 -6.188457e-05
 7691.800000 -2.370441e-05 -4.686980e-06 -7.589214e-07 -1.970966e-07 -1.187102e-04 -6.994421e-05 -8.080670e-05 -5.787778e-05
 7692.000000 -2.370203e-05 -4.687533e-06 -7.587417e-07 -1.970495e-07 -1.244182e-04 -7.026663e-05 -7.000908e-05 -5.178319e-05
 7692.200000 -2.367528e-05 -4.682959e-06 -7.579026e-07 -1.969103e-07 -1.142053e-04 -6.332741e-05 -5.825052e-05 -4.894438e-05
 7692.400000 -2.367287e-05 -4.682824e-06 -7.579271e-07 -1.969254e-07 -1.125268e-04 -6.247309e-05 -7.916027e-05 -5.362946e-05
 7692.600000 -2.369102e-05 -4.687656e-06 -7.588811e-07 -1.971053e-07 -1.176756e-04 -5.455622e-05 -9.153001e-05 -6.020443e-05
 7692.800000 -2.371090e-05 -4.692883e-06 -7.596006e-07 -1.973718e-07 -1.180052e-04 -5.950805e-05 -8.369614e-05 -7.218165e-05
 7693.000000 -2.369831e-05 -4.691218e-06 -7.592968e-07 -1.973131e-07 -1.295472e-04 -6.121942e-05 -8.496315e-05 -6.394821e-05
 7693.200000 -2.369858e-05 -4.691741e-06 -7.594460e-07 -1.973079e-07 -1.319036e-04 -5.954272e-05 -9.709368e-05 -6.551736e-05
 7693.400000 -2.370712e-05 -4.693508e-06 -7.597980e-07 -1.973862e-07 -1.306022e-04 -7.099398e-05 -8.926249e-05 -6.574872e-05
 7693.600000 -2.371244e-05 -4.695985e-06 -7.600597e-07 -1.974601e-07 -1.374273e-04 -7.231690e-05 -7.681574e-05 -5.661887e-05
 7693.800000 -2.371764e-05 -4.697503e-06 -7.602248e-07 -1.976324e-07 -1.219702e-04 -6.868599e-05 -8.488815e-05 -6.364876e-05
 7694.000000 -2.370422e-05 -4.696174e-06 -7.598561e-07 -1.977128e-07 -1.200448e-04 -7.411295e-05 -7.842310e-05 -6.139126e-05
 7694.200000 -2.370415e-05 -4.696821e-06 -7.599865e-07 -1.977047e-07 -1.240918e-04 -6.474761e-05 -7.235407e-05 -5.667108e-05
 7694.400000 -2.371978e-05 -4.700326e-06 -7.604485e-07 -1.978209e-07 -1.302238e-04 -6.942697e-05 -7.597215e-05 -6.076897e-05
 7694.600000 -2.369081e-05 -4.695327e-06 -7.596880e-07 -1.976323e-07 -1.375577e-04 -7.069788e-05 -8.154216e-05 -5.959412e-05
 7694.800000 -2.370892e-05 -4.700243e-06 -7.601973e-07 -1.977127e-07 -1.359142e-04 -6.000661e-05 -8.756342e-05 -5.066951e-05
 7695.000000 -2.367609e-05 -4.693948e-06 -7.591325e-07 -1.975878e-07 -1.405960e-04 -6.062082e-05 -1.051515e-04 -5.866274e-05
 7695.200000 -2.371121e-05 -4.701820e-06 -7.604602e-07 -1.978403e-07 -1.364686e-04 -6.150995e-05 -9.506556e-05 -5.657754e-05
 7695.400000 -2.365110e-05 -4.689525e-06 -7.584187e-07 -1.973886e-07 -1.272855e-04 -7.436168e-05 -1.006674e-04 -5.403431e-05
 7695.600000 -2.360739e-05 -4.681814e-06 -7.572634e-07 -1.971649e-07 -1.312484e-04 -7.854027e-05 -1.052716e-04 -6.155643e-05
 7695.800000 -2.362825e-05 -4.687031e-06 -7.580101e-07 -1.973463e-07 -1.330727e-04 -6.337383e-05 -9.077877e-05 -6.222223e-05
 7696.000000 -2.366132e-05 -4.694429e-06 -7.589320e-07 -1.976433e-07 -1.386152e-04 -7.348382e-05 -1.055739e-04 -7.135426e-05
 7696.200000 -2.365789e-05 -4.694666e-06 -7.589856e-07 -1.977084e-07 -1.398238e-04 -7.059700e-05 -9.269699e-05 -6.572378e-05
 7696.400000 -2.367824e-05 -4.699461e-06 -7.596234e-07 -1.979961e-07 -1.396500e-04 -6.101776e-05 -9.939173e-05 -7.162434e-05
 7696.600000 -2.369636e-05 -4.704161e-06 -7.601983e-07 -1.981535e-07 -1.373221e-04 -6.109048e-05 -9.634094e-05 -6.517660e-05
 7696.800000 -2.367183e-05 -4.699547e-06 -7.595805e-07 -1.978989e-07 -1.370978e-04 -6.652236e-05 -1.059131e-04 -7.335868e-05
 7697.000000 -2.360531e-05 -4.686733e-06 -7.574109e-07 -1.974928e-07 -1.346938e-04 -7.049976e-05 -9.335635e-05 -7.066236e-05
 7697.200000 -2.360819e-05 -4.688351e-06 -7.574224e-07 -1.973633e-07 -1.319851e-04 -7.206012e-05 -8.701874e-05 -7.200065e-05
 7697.400000 -2.358161e-05 -4.683752e-06 -7.566636e-07 -1.973481e-07 -1.309369e-04 -7.266486e-05 -7.668364e-05 -6.388272e-05
 7697.600000 -2.362010e-05 -4.692620e-06 -7.578893e-07 -1.976532e-07 -1.291204e-04 -7.638457e-05 -7.886902e-05 -7.256075e-05
 7697.800000 -2.364253e-05 -4.698591e-06 -7.587341e-07 -1.980059e-07 -1.367792e-04 -7.108483e-05 -7.920950e-05 -7.040232e-05
 7698.000000 -2.368462e-05 -4.707113e-06 -7.599153e-07 -1.985098e-07 -1.408027e-04 -6.826495e-05 -8.634223e-05 -7.167399e-05
 7698.200000 -2.372672e-05 -4.716977e-06 -7.615876e-07 -1.988795e-07 -1.423121e-04 -6.852615e-05 -8.075615e-05 -7.124769e-05
 7698.400000 -2.373008e-05 -4.718233e-06 -7.614804e-07 -1.988974e-07 -1.357553e-04 -7.089655e-05 -8.167327e-05 -7.148264e-05
 7698.600000 -2.372707e-05 -4.718991e-06 -7.614137e-07 -1.989592e-07 -1.287745e-04 -7.365279e-05 -9.002092e-05 -7.819220e-05
 7698.800000 -2.369755e-05 -4.713652e-06 -7.605064e-07 -1.987905e-07 -1.288659e-04 -7.548841e-05 -8.705223e-05 -8.028608e-05
 7699.000000 -2.365580e-05 -4.705127e-06 -7.589793e-07 -1.984808e-07 -1.231934e-04 -5.958806e-05 -9.008561e-05 -7.762229e-05
 7699.200000 -2.360309e-05 -4.694741e-06 -7.571272e-07 -1.979485e-07 -1.248114e-04 -5.760314e-05 -8.407249e-05 -7.352554e-05
 7699.400000 -2.357219e-05 -4.688646e-06 -7.560245e-07 -1.978094e-07 -1.333849e-04 -5.821113e-05 -9.159681e-05 -5.632642e-05
 7699.600000 -2.352880e-05 -4.680472e-06 -7.546935e-07 -1.975095e-07 -1.372302e-04 -6.129720e-05 -9.216515e-05 -6.138787e-05
 7699.800000 -2.352991e-05 -4.681925e-06 -7.546873e-07 -1.976561e-07 -1.430926e-04 -5.701983e-05 -1.014820e-04 -6.721727e-05
 7700.000000 -2.353955e-05 -4.684584e-06 -7.550517e-07 -1.977656e-07 -1.359827e-04 -5.572795e-05 -8.760436e-05 -5.542614e-05
 7700.200000 -2.354564e-05 -4.686337e-06 -7.550048e-07 -1.978100e-07 -1.407166e-04 -5.852347e-05 -7.331598e-05 -5.045447e-05
 7700.400000 -2.351819e-05 -4.681291e-06 -7.539527e-07 -1.975819e-07 -1.411649e-04 -5.599707e-05 -7.484737e-05 -5.353413e-05
 7700.600000 -2.349030e-05 -4.675432e-06 -7.529049e-07 -1.975690e-07 -1.334949e-04 -4.518481e-05 -7.195833e-05 -4.948990e-05
 7700.800000 -2.351186e-05 -4.681635e-06 -7.535719e-07 -1.978072e-07 -1.357726e-04 -4.905398e-05 -7.518182e-05 -6.191130e-05
 7701.000000 -2.352326e-05 -4.684262e-06 -7.536137e-07 -1.979395e-07 -1.418895e-04 -5.536679e-05 -8.637972e-05 -6.880621e-05
 7701.200000 -2.361575e-05 -4.704426e-06 -7.566519e-07 -1.989639e-07 -1.435719e-04 -5.833315e-05 -8.835463e-05 -6.783203e-05
 7701.400000 -2.366312e-05 -4.715000e-06 -7.579734e-07 -1.993752e-07 -1.436865e-04 -5.358654e-05 -8.359626e-05 -6.260856e-05
 7701.600000 -2.371708e-05 -4.726537e-06 -7.597018e-07 -1.998420e-07 -1.419866e-04 -5.228763e-05 -7.765682e-05 -5.422497e-05
 7701.800000 -2.377807e-05 -4.739456e-06 -7.614307e-07 -2.003838e-07 -1.397969e-04 -6.563053e-05 -6.804461e-05 -5.547478e-05
 7702.000000 -2.382330e-05 -4.750378e-06 -7.628557e-07 -2.009192e-07 -1.324406e-04 -6.266427e-05 -7.123847e-05 -5.589293e-05
 7702.200000 -2.385151e-05 -4.757023e-06 -7.635078e-07 -2.012087e-07 -1.298864e-04 -5.296579e-05 -6.195949e-05 -4.951605e-05
 7702.400000 -2.387134e-05 -4.761957e-06 -7.639674e-07 -2.015295e-07 -1.253464e-04 -4.902996e-05 -7.791939e-05 -5.382451e-05
 7702.600000 -2.386118e-05 -4.759120e-06 -7.631849e-07 -2.015579e-07 -1.237898e-04 -4.913494e-05 -8.082713e-05 -5.616704e-05
 7702.800000 -2.386093e-05 -4.760520e-06 -7.629923e-07 -2.016166e-07 -1.253260e-04 -5.521227e-05 -7.127061e-05 -5.530083e-05
 7703.000000 -2.385828e-05 -4.760678e-06 -7.624248e-07 -2.016456e-07 -1.275534e-04 -5.065633e-05 -8.163836e-05 -5.887769e-05
 7703.200000 -2.385490e-05 -4.760693e-06 -7.619578e-07 -2.018665e-07 -1.372924e-04 -4.986045e-05 -8.465106e-05 -6.979084e-05
 7703.400000 -2.385091e-05 -4.760355e-06 -7.613631e-07 -2.018640e-07 -1.327560e-04 -5.144629e-05 -8.782539e-05 -6.683087e-05
 7703.600000 -2.387325e-05 -4.765441e-06 -7.616024e-07 -2.021002e-07 -1.380666e-04 -5.556741e-05 -6.288713e-05 -5.449332e-05
 7703.800000 -2.384320e-05 -4.759280e-06 -7.600404e-07 -2.019802e-07 -1.357581e-04 -6.053563e-05 -8.230879e-05 -6.767628e-05
 7704.000000 -2.384894e-05 -4.761832e-06 -7.597801e-07 -2.021515e-07 -1.277487e-04 -5.698448e-05 -7.606621e-05 -6.442145e-05
 7704.200000 -2.383538e-05 -4.759035e-06 -7.587621e-07 -2.022137e-07 -1.295473e-04 -6.066681e-05 -7.971526e-05 -6.210356e-05
 7704.400000 -2.383289e-05 -4.759387e-06 -7.581006e-07 -2.023812e-07 -1.316585e-04 -6.753756e-05 -8.253023e-05 -5.584833e-05
 7704.600000 -2.385186e-05 -4.764257e-06 -7.579322e-07 -2.026639e-07 -1.275404e-04 -6.363781e-05 -8.999474e-05 -5.428290e-05
 7704.800000 -2.379698e-05 -4.753370e-06 -7.553637e-07 -2.022309e-07 -1.295213e-04 -5.635477e-05 -9.302064e-05 -6.396755e-05
 7705.000000 -2.382072e-05 -4.758260e-06 -7.550496e-07 -2.024939e-07 -1.344843e-04 -5.702892e-05 -9.390148e-05 -6.659841e-05
 7705.200000 -2.381873e-05 -4.758008e-06 -7.540488e-07 -2.026003e-07 -1.286563e-04 -6.170704e-05 -8.494694e-05 -5.853499e-05
 7705.400000 -2.389641e-05 -4.774890e-06 -7.553974e-07 -2.034895e-07 -1.270156e-04 -5.572866e-05 -8.040188e-05 -5.625001e-05
 7705.600000 -2.385306e-05 -4.766294e-06 -7.528156e-07 -2.032545e-07 -1.251988e-04 -5.497918e-05 -8.747975e-05 -6.034699e-05
 7705.800000 -2.389582e-05 -4.776467e-06 -7.528371e-07 -2.036951e-07 -1.266287e-04 -5.773581e-05 -9.816743e-05 -6.740961e-05
 7706.000000 -2.384819e-05 -4.766504e-06 -7.496455e-07 -2.034974e-07 -1.215053e-04 -6.632713e-05 -9.364355e-05 -6.478809e-05
 7706.200000 -2.387838e-05 -4.773601e-06 -7.485160e-07 -2.038980e-07 -1.242079e-04 -6.360563e-05 -9.037118e-05 -6.331898e-05
 7706.400000 -2.384065e-05 -4.765821e-06 -7.450817e-07 -2.038724e-07 -1.292944e-04 -6.142232e-05 -8.488662e-05 -5.888812e-05
 7706.600000 -2.383442e-05 -4.764270e-06 -7.422892e-07 -2.040054e-07 -1.131032e-04 -5.740922e-05 -8.860799e-05 -5.172256e-05
 7706.800000 -2.385040e-05 -4.768053e-06 -7.395025e-07 -2.044537e-07 -1.249219e-04 -6.165997e-05 -9.868378e-05 -6.317564e-05
 7707.000000 -2.385529e-05 -4.769096e-06 -7.359768e-07 -2.047236e-07 -1.228878e-04 -5.572028e-05 -9.114233e-05 -6.710301e-05
 7707.200000 -2.385548e-05 -4.769468e-06 -7.314166e-07 -2.050319e-07 -1.323372e-04 -5.722245e-05 -9.272655e-05 -6.308764e-05
 7707.400000 -2.386609e-05 -4.771066e-06 -7.257889e-07 -2.054645e-07 -1.275320e-04 -4.978584e-05 -7.836777e-05 -6.118906e-05
 7707.600000 -2.387675e-05 -4.773569e-06 -7.188663e-07 -2.060294e-07 -1.195402e-04 -4.675391e-05 -8.859260e-05 -5.416786e-05
 7707.800000 -2.389159e-05 -4.776144e-06 -7.102245e-07 -2.065921e-07 -1.206914e-04 -4.908804e-05 -9.448160e-05 -4.900205e-05
 7708.000000 -2.389014e-05 -4.774618e-06 -6.987723e-07 -2.071377e-07 -1.220395e-04 -4.705091e-05 -9.360011e-05 -4.336253e-05
 7708.200000 -2.392066e-05 -4.780263e-06 -6.860994e-07 -2.083315e-07 -1.252130e-04 -4.937816e-05 -9.141944e-05 -4.693487e-05
 7708.400000 -2.392074e-05 -4.778436e-06 -6.702677e-07 -2.095220e-07 -1.259091e-04 -5.333719e-05 -8.710784e-05 -4.307779e-05
 7708.600000 -2.390939e-05 -4.773185e-06 -6.525460e-07 -2.105987e-07 -1.214578e-04 -5.150060e-05 -8.861309e-05 -4.389435e-05
 7708.800000 -2.388180e-05 -4.763006e-06 -6.335966e-07 -2.119723e-07 -1.172376e-04 -3.743232e-05 -8.514622e-05 -5.727058e-05
 7709.000000 -2.384422e-05 -4.749361e-06 -6.139857e-07 -2.137213e-07 -1.270551e-04 -2.738786e-05 -8.659153e-05 -4.751046e-05
 7709.200000 -2.383092e-05 -4.741463e-06 -5.958067e-07 -2.159718e-07 -1.337567e-04 -3.355998e-05 -9.394976e-05 -5.211657e-05
 7709.400000 -2.385689e-05 -4.740532e-06 -5.797817e-07 -2.187800e-07 -1.331229e-04 -4.378684e-05 -9.397837e-05 -4.686787e-05
 7709.600000 -2.384246e-05 -4.732223e-06 -5.640493e-07 -2.208158e-07 -1.266994e-04 -3.830443e-05 -8.818127e-05 -5.077273e-05
 7709.800000 -2.388895e-05 -4.738111e-06 -5.511888e-07 -2.228204e-07 -1.267120e-04 -3.436783e-05 -9.049498e-05 -5.221343e-05
 7710.000000 -2.386116e-05 -4.729999e-06 -5.373324e-07 -2.234435e-07 -1.159716e-04 -4.426577e-05 -7.876958e-05 -4.304534e-05
 7710.200000 -2.385711e-05 -4.729786e-06 -5.255397e-07 -2.235966e-07 -1.215944e-04 -4.911798e-05 -8.330981e-05 -3.825472e-05
 7710.400000 -2.393311e-05 -4.748786e-06 -5.166070e-07 -2.239032e-07 -1.255249e-04 -5.969639e-05 -9.635786e-05 -4.809749e-05
