# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.74339353455935
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.7320777175
# ISS.sample_y_position: 13.9011291965
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:33:30
# Scan.end_time: 02/21/2022  13:33:53
# Scan.duration: 00:23
# Scan.transient_id: 196882
# Scan.uid: 6d903fff-f5ba-46e4-ac70-8e3f207395a1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.817648e-05 -4.459820e-06 -2.668728e-07 -2.638390e-07 -9.195862e-05 -5.281144e-05 -7.557839e-05 -3.748377e-05
 8238.000000 -2.612396e-05 -6.427805e-06 -3.851996e-07 -3.790176e-07 -1.322340e-04 -8.332188e-05 -1.142042e-04 -5.431258e-05
 8243.000000 -2.623954e-05 -6.480808e-06 -3.887979e-07 -3.798116e-07 -1.284020e-04 -8.596395e-05 -1.210456e-04 -5.086854e-05
 8248.000000 -2.628934e-05 -6.517447e-06 -3.910813e-07 -3.798127e-07 -1.260304e-04 -8.946724e-05 -1.252371e-04 -5.436587e-05
 8253.000000 -2.625574e-05 -6.532407e-06 -3.918993e-07 -3.798125e-07 -1.234132e-04 -8.419844e-05 -1.213332e-04 -5.284905e-05
 8258.000000 -2.618946e-05 -6.539622e-06 -3.922084e-07 -3.798127e-07 -1.367054e-04 -8.903051e-05 -1.178961e-04 -5.350694e-05
 8263.000000 -2.618180e-05 -6.562287e-06 -3.938521e-07 -3.798134e-07 -1.349318e-04 -8.137492e-05 -1.144605e-04 -5.744165e-05
 8268.000000 -2.623122e-05 -6.600061e-06 -3.970068e-07 -3.798138e-07 -1.320725e-04 -8.365381e-05 -1.156418e-04 -5.754984e-05
 8273.000000 -2.612214e-05 -6.594590e-06 -3.982601e-07 -3.798133e-07 -1.326250e-04 -8.694456e-05 -1.067239e-04 -5.483253e-05
 8278.000000 -2.619643e-05 -6.638615e-06 -4.028746e-07 -3.798127e-07 -1.258913e-04 -8.371456e-05 -1.082917e-04 -5.091419e-05
 8283.000000 -2.629616e-05 -6.688876e-06 -4.080405e-07 -3.798142e-07 -1.196265e-04 -8.030545e-05 -1.088266e-04 -5.133432e-05
