# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.42478641385867
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.732630848999996
# ISS.sample_y_position: 13.8967041445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:11:00
# Scan.end_time: 02/21/2022  13:11:24
# Scan.duration: 00:23
# Scan.transient_id: 196842
# Scan.uid: 9864f23f-28eb-4e84-bfff-1aa4573db687
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.437263e-06 -6.355343e-07 -5.048036e-08 -2.312555e-09 -7.891771e-05 -4.462194e-05 -5.618660e-05 -7.104367e-05
 6444.000000 -1.284567e-05 -9.730726e-07 -7.752541e-08 -3.554009e-09 -1.194589e-04 -7.359761e-05 -8.378642e-05 -1.080885e-04
 6449.000000 -1.297521e-05 -9.902337e-07 -7.920412e-08 -3.622878e-09 -1.225162e-04 -7.174373e-05 -8.874300e-05 -1.038559e-04
 6454.000000 -1.295688e-05 -9.963358e-07 -8.000671e-08 -3.656810e-09 -1.283075e-04 -6.876410e-05 -8.912122e-05 -9.974257e-05
 6459.000000 -1.307963e-05 -1.013304e-06 -8.169279e-08 -3.726535e-09 -1.306313e-04 -6.518207e-05 -9.323746e-05 -1.037621e-04
 6464.000000 -1.317426e-05 -1.027880e-06 -8.322454e-08 -3.787879e-09 -1.324232e-04 -7.070797e-05 -9.278330e-05 -1.124268e-04
 6469.000000 -1.318468e-05 -1.036014e-06 -8.416570e-08 -3.830591e-09 -1.345708e-04 -7.021939e-05 -1.095358e-04 -1.138529e-04
 6474.000000 -1.322132e-05 -1.046953e-06 -8.537274e-08 -3.881901e-09 -1.331181e-04 -7.065941e-05 -1.115976e-04 -1.142610e-04
 6479.000000 -1.331633e-05 -1.062033e-06 -8.693198e-08 -3.947298e-09 -1.296368e-04 -6.607184e-05 -1.073597e-04 -1.202517e-04
 6484.000000 -1.343832e-05 -1.078990e-06 -8.868659e-08 -4.035985e-09 -1.299651e-04 -7.273025e-05 -9.761883e-05 -1.135754e-04
 6489.000000 -1.342619e-05 -1.085689e-06 -8.958315e-08 -4.074909e-09 -1.266213e-04 -7.864840e-05 -9.782929e-05 -1.108094e-04
 6494.000000 -1.351878e-05 -1.101537e-06 -9.124306e-08 -4.150212e-09 -1.203314e-04 -8.213609e-05 -9.590665e-05 -1.085458e-04
 6499.000000 -1.360258e-05 -1.116180e-06 -9.279463e-08 -4.236908e-09 -1.254635e-04 -7.609202e-05 -1.013389e-04 -1.139030e-04
 6504.000000 -1.365922e-05 -1.128360e-06 -9.419336e-08 -4.312490e-09 -1.278094e-04 -7.027013e-05 -1.031865e-04 -1.096450e-04
 6509.000000 -1.367997e-05 -1.138347e-06 -9.535961e-08 -4.389126e-09 -1.358441e-04 -6.229672e-05 -1.026639e-04 -9.962130e-05
 6513.000000 -1.365586e-05 -1.142696e-06 -9.601463e-08 -4.450988e-09 -1.466433e-04 -6.797101e-05 -1.004266e-04 -1.000355e-04
 6516.000000 -1.378793e-05 -1.158635e-06 -9.760006e-08 -4.534960e-09 -1.432427e-04 -6.856533e-05 -1.024658e-04 -9.039276e-05
 6518.000000 -1.380216e-05 -1.162385e-06 -9.808998e-08 -4.569766e-09 -1.385929e-04 -8.191920e-05 -1.142570e-04 -1.011092e-04
 6519.000000 -1.379695e-05 -1.163510e-06 -9.826758e-08 -4.587077e-09 -1.324278e-04 -7.970518e-05 -1.069139e-04 -1.039186e-04
 6519.200000 -1.376773e-05 -1.161460e-06 -9.811883e-08 -4.585464e-09 -1.295627e-04 -7.778071e-05 -1.005196e-04 -1.007845e-04
 6519.400000 -1.381089e-05 -1.165564e-06 -9.847425e-08 -4.602352e-09 -1.418810e-04 -7.573305e-05 -9.291470e-05 -1.003460e-04
 6519.600000 -1.382844e-05 -1.167300e-06 -9.872927e-08 -4.617535e-09 -1.421116e-04 -7.449013e-05 -9.762567e-05 -1.035604e-04
 6519.800000 -1.384253e-05 -1.168207e-06 -9.880689e-08 -4.649925e-09 -1.258452e-04 -8.270060e-05 -1.024178e-04 -1.066572e-04
 6520.000000 -1.385367e-05 -1.169883e-06 -9.888344e-08 -4.648738e-09 -1.287604e-04 -8.395291e-05 -1.044914e-04 -1.078210e-04
 6520.200000 -1.384896e-05 -1.170003e-06 -9.873144e-08 -4.631472e-09 -1.312855e-04 -7.722943e-05 -9.420031e-05 -1.026435e-04
 6520.400000 -1.383585e-05 -1.168916e-06 -9.885771e-08 -4.645823e-09 -1.262924e-04 -7.719982e-05 -9.070513e-05 -9.581504e-05
 6520.600000 -1.380529e-05 -1.166676e-06 -9.872831e-08 -4.635463e-09 -1.364467e-04 -8.059480e-05 -9.129925e-05 -9.997250e-05
 6520.800000 -1.383985e-05 -1.169750e-06 -9.895835e-08 -4.651998e-09 -1.343379e-04 -7.296086e-05 -9.970473e-05 -1.055105e-04
 6521.000000 -1.383153e-05 -1.169911e-06 -9.887488e-08 -4.640359e-09 -1.409558e-04 -7.431703e-05 -1.064514e-04 -1.132185e-04
 6521.200000 -1.382242e-05 -1.169791e-06 -9.891720e-08 -4.648238e-09 -1.380200e-04 -6.846828e-05 -9.751064e-05 -1.124435e-04
 6521.400000 -1.382254e-05 -1.169167e-06 -9.888069e-08 -4.633240e-09 -1.326992e-04 -6.944330e-05 -9.779655e-05 -1.010739e-04
 6521.600000 -1.381940e-05 -1.169408e-06 -9.886718e-08 -4.643457e-09 -1.342482e-04 -7.031103e-05 -1.062332e-04 -1.017563e-04
 6521.800000 -1.378257e-05 -1.166723e-06 -9.875265e-08 -4.658840e-09 -1.406341e-04 -7.537685e-05 -1.135977e-04 -1.107188e-04
 6522.000000 -1.380122e-05 -1.168295e-06 -9.890686e-08 -4.667287e-09 -1.341218e-04 -7.449383e-05 -8.514449e-05 -1.111478e-04
 6522.200000 -1.383728e-05 -1.171760e-06 -9.923527e-08 -4.669030e-09 -1.408698e-04 -7.698983e-05 -9.710802e-05 -1.121112e-04
 6522.400000 -1.385562e-05 -1.174059e-06 -9.945532e-08 -4.697959e-09 -1.332414e-04 -7.581035e-05 -9.461949e-05 -1.027630e-04
 6522.600000 -1.385137e-05 -1.174024e-06 -9.952821e-08 -4.701377e-09 -1.201373e-04 -6.794363e-05 -8.993005e-05 -1.064519e-04
 6522.800000 -1.382709e-05 -1.172408e-06 -9.940586e-08 -4.702667e-09 -1.215521e-04 -7.045501e-05 -7.897150e-05 -9.555846e-05
 6523.000000 -1.388959e-05 -1.177986e-06 -9.976683e-08 -4.691704e-09 -1.279877e-04 -7.262417e-05 -8.191936e-05 -9.780843e-05
 6523.200000 -1.389862e-05 -1.178896e-06 -9.983171e-08 -4.717878e-09 -1.287163e-04 -7.061376e-05 -8.242539e-05 -9.533959e-05
 6523.400000 -1.391309e-05 -1.180526e-06 -1.000351e-07 -4.741709e-09 -1.309130e-04 -7.607413e-05 -8.546217e-05 -9.987655e-05
 6523.600000 -1.390378e-05 -1.179984e-06 -9.994909e-08 -4.742047e-09 -1.268677e-04 -7.906525e-05 -9.341831e-05 -1.005749e-04
 6523.800000 -1.389457e-05 -1.179276e-06 -9.990145e-08 -4.748507e-09 -1.242437e-04 -7.524225e-05 -8.994825e-05 -1.105676e-04
 6524.000000 -1.386462e-05 -1.176687e-06 -9.977994e-08 -4.714823e-09 -1.333164e-04 -7.639757e-05 -7.602292e-05 -1.092800e-04
 6524.200000 -1.388717e-05 -1.179080e-06 -9.994145e-08 -4.726614e-09 -1.354290e-04 -8.250984e-05 -7.844331e-05 -1.048407e-04
 6524.400000 -1.388363e-05 -1.179282e-06 -9.992182e-08 -4.744740e-09 -1.397775e-04 -8.118371e-05 -8.531257e-05 -1.113421e-04
 6524.600000 -1.386237e-05 -1.178226e-06 -9.996672e-08 -4.740296e-09 -1.474791e-04 -7.994571e-05 -9.980019e-05 -1.212836e-04
 6524.800000 -1.379412e-05 -1.171972e-06 -9.944956e-08 -4.719027e-09 -1.497759e-04 -8.001579e-05 -9.793148e-05 -1.153852e-04
 6525.000000 -1.381375e-05 -1.173778e-06 -9.952017e-08 -4.731784e-09 -1.430547e-04 -7.628500e-05 -9.142817e-05 -1.091589e-04
 6525.200000 -1.381676e-05 -1.174323e-06 -9.960938e-08 -4.744402e-09 -1.382698e-04 -7.374964e-05 -8.352185e-05 -1.095911e-04
 6525.400000 -1.385508e-05 -1.178028e-06 -9.993684e-08 -4.775822e-09 -1.332709e-04 -7.411564e-05 -8.008880e-05 -1.081326e-04
 6525.600000 -1.388874e-05 -1.181400e-06 -1.002582e-07 -4.784277e-09 -1.327158e-04 -7.403467e-05 -8.372108e-05 -1.095949e-04
 6525.800000 -1.388900e-05 -1.181279e-06 -1.002850e-07 -4.820255e-09 -1.434189e-04 -6.809103e-05 -8.525469e-05 -1.119497e-04
 6526.000000 -1.389477e-05 -1.183093e-06 -1.003518e-07 -4.822764e-09 -1.515428e-04 -6.640342e-05 -9.661823e-05 -1.155579e-04
 6526.200000 -1.386706e-05 -1.180613e-06 -1.003631e-07 -4.818127e-09 -1.540487e-04 -6.135942e-05 -8.670001e-05 -1.099175e-04
 6526.400000 -1.387679e-05 -1.181404e-06 -1.004972e-07 -4.817297e-09 -1.601206e-04 -5.595689e-05 -8.403922e-05 -1.004933e-04
 6526.600000 -1.385638e-05 -1.180016e-06 -1.003021e-07 -4.795352e-09 -1.490274e-04 -6.271581e-05 -8.870978e-05 -1.013480e-04
 6526.800000 -1.386351e-05 -1.181192e-06 -1.004108e-07 -4.832843e-09 -1.403492e-04 -6.083387e-05 -9.307732e-05 -1.008831e-04
 6527.000000 -1.384679e-05 -1.179467e-06 -1.003237e-07 -4.835786e-09 -1.419457e-04 -5.588696e-05 -9.613229e-05 -1.035190e-04
 6527.200000 -1.383739e-05 -1.178710e-06 -1.002041e-07 -4.821129e-09 -1.440853e-04 -6.491794e-05 -9.859806e-05 -9.165211e-05
 6527.400000 -1.383537e-05 -1.179367e-06 -1.001911e-07 -4.817051e-09 -1.532348e-04 -7.231573e-05 -1.072771e-04 -9.747366e-05
 6527.600000 -1.386958e-05 -1.182902e-06 -1.005483e-07 -4.829580e-09 -1.505761e-04 -7.398574e-05 -1.034757e-04 -1.021740e-04
 6527.800000 -1.382809e-05 -1.179416e-06 -1.002566e-07 -4.834704e-09 -1.525946e-04 -8.104317e-05 -1.006527e-04 -1.082008e-04
 6528.000000 -1.383976e-05 -1.180555e-06 -1.003426e-07 -4.832402e-09 -1.515954e-04 -7.950298e-05 -9.274736e-05 -1.072611e-04
 6528.200000 -1.383795e-05 -1.180552e-06 -1.004537e-07 -4.857661e-09 -1.566205e-04 -7.057347e-05 -1.049702e-04 -1.232543e-04
 6528.400000 -1.385154e-05 -1.182553e-06 -1.006285e-07 -4.846443e-09 -1.572511e-04 -6.761559e-05 -1.112418e-04 -1.234567e-04
 6528.600000 -1.387206e-05 -1.184557e-06 -1.008548e-07 -4.897879e-09 -1.539885e-04 -6.038002e-05 -1.107176e-04 -1.220297e-04
 6528.800000 -1.387171e-05 -1.184835e-06 -1.008229e-07 -4.853732e-09 -1.559320e-04 -5.820849e-05 -1.057734e-04 -1.181950e-04
 6529.000000 -1.389084e-05 -1.186629e-06 -1.008864e-07 -4.899060e-09 -1.548803e-04 -7.096341e-05 -1.046227e-04 -1.192353e-04
 6529.200000 -1.389269e-05 -1.186572e-06 -1.009663e-07 -4.902116e-09 -1.483947e-04 -8.492531e-05 -9.192741e-05 -1.138095e-04
 6529.400000 -1.390561e-05 -1.187629e-06 -1.011162e-07 -4.927790e-09 -1.441252e-04 -8.399564e-05 -9.138836e-05 -1.165983e-04
 6529.600000 -1.392040e-05 -1.189689e-06 -1.013460e-07 -4.946419e-09 -1.499969e-04 -7.192704e-05 -9.285968e-05 -1.201872e-04
 6529.800000 -1.393331e-05 -1.191395e-06 -1.015735e-07 -4.959146e-09 -1.592631e-04 -7.706740e-05 -8.296199e-05 -1.202705e-04
 6530.000000 -1.392271e-05 -1.190926e-06 -1.014232e-07 -4.970807e-09 -1.673211e-04 -8.287265e-05 -7.534072e-05 -1.127410e-04
 6530.200000 -1.390110e-05 -1.189189e-06 -1.012378e-07 -4.957280e-09 -1.630086e-04 -8.003722e-05 -7.072278e-05 -1.096247e-04
 6530.400000 -1.391999e-05 -1.190599e-06 -1.014934e-07 -4.970113e-09 -1.548792e-04 -8.471483e-05 -7.913569e-05 -1.183820e-04
 6530.600000 -1.391954e-05 -1.190822e-06 -1.015314e-07 -4.991907e-09 -1.390124e-04 -8.761728e-05 -8.079095e-05 -1.278363e-04
 6530.800000 -1.391046e-05 -1.190850e-06 -1.014541e-07 -4.991639e-09 -1.468168e-04 -7.827239e-05 -7.931431e-05 -1.223820e-04
 6531.000000 -1.393580e-05 -1.192650e-06 -1.015557e-07 -5.002550e-09 -1.473409e-04 -7.043153e-05 -8.150159e-05 -1.145828e-04
 6531.200000 -1.393984e-05 -1.193783e-06 -1.017568e-07 -5.026914e-09 -1.534201e-04 -7.688791e-05 -8.071123e-05 -1.200429e-04
 6531.400000 -1.393909e-05 -1.194051e-06 -1.018251e-07 -5.021639e-09 -1.594593e-04 -7.339945e-05 -7.602138e-05 -1.086533e-04
 6531.600000 -1.394409e-05 -1.195269e-06 -1.019219e-07 -5.032056e-09 -1.498870e-04 -7.375672e-05 -8.031770e-05 -1.093661e-04
 6531.800000 -1.393423e-05 -1.194313e-06 -1.018750e-07 -5.046228e-09 -1.518236e-04 -7.080375e-05 -8.529787e-05 -1.058707e-04
 6532.000000 -1.394605e-05 -1.195184e-06 -1.019926e-07 -5.047920e-09 -1.526151e-04 -6.793560e-05 -8.669194e-05 -1.038756e-04
 6532.200000 -1.390835e-05 -1.192343e-06 -1.017495e-07 -5.064077e-09 -1.581241e-04 -6.779068e-05 -8.798564e-05 -1.129486e-04
 6532.400000 -1.391583e-05 -1.193658e-06 -1.019252e-07 -5.081189e-09 -1.585255e-04 -7.774877e-05 -8.924414e-05 -1.131393e-04
 6532.600000 -1.388730e-05 -1.190923e-06 -1.016672e-07 -5.089958e-09 -1.478721e-04 -8.370034e-05 -8.450630e-05 -1.173792e-04
 6532.800000 -1.391202e-05 -1.194024e-06 -1.018763e-07 -5.112643e-09 -1.485421e-04 -7.227862e-05 -9.568575e-05 -1.143565e-04
 6533.000000 -1.389961e-05 -1.192762e-06 -1.017640e-07 -5.116554e-09 -1.455919e-04 -6.682861e-05 -1.024267e-04 -1.130238e-04
 6533.200000 -1.392304e-05 -1.194795e-06 -1.019678e-07 -5.124859e-09 -1.514858e-04 -6.776814e-05 -9.476717e-05 -1.106946e-04
 6533.400000 -1.393283e-05 -1.195485e-06 -1.020409e-07 -5.150805e-09 -1.546206e-04 -7.882509e-05 -9.553666e-05 -1.070079e-04
 6533.600000 -1.393820e-05 -1.196629e-06 -1.022056e-07 -5.159679e-09 -1.568676e-04 -7.502415e-05 -8.868179e-05 -1.130175e-04
 6533.800000 -1.395065e-05 -1.198026e-06 -1.023604e-07 -5.182048e-09 -1.543640e-04 -8.085066e-05 -9.068441e-05 -1.188193e-04
 6534.000000 -1.397038e-05 -1.200102e-06 -1.025184e-07 -5.210188e-09 -1.536718e-04 -8.132004e-05 -8.409682e-05 -1.174442e-04
 6534.200000 -1.396714e-05 -1.199685e-06 -1.024367e-07 -5.231257e-09 -1.488223e-04 -8.901401e-05 -8.865468e-05 -1.194522e-04
 6534.400000 -1.394998e-05 -1.197794e-06 -1.023094e-07 -5.240278e-09 -1.501145e-04 -8.061131e-05 -8.087760e-05 -1.177032e-04
 6534.600000 -1.395894e-05 -1.199273e-06 -1.025527e-07 -5.252989e-09 -1.605627e-04 -7.392585e-05 -7.670261e-05 -1.181912e-04
 6534.800000 -1.394931e-05 -1.198318e-06 -1.024744e-07 -5.285300e-09 -1.628531e-04 -7.986602e-05 -7.338544e-05 -1.138173e-04
 6535.000000 -1.397654e-05 -1.200458e-06 -1.026193e-07 -5.291088e-09 -1.604547e-04 -8.445231e-05 -7.222157e-05 -1.095013e-04
 6535.200000 -1.396065e-05 -1.199396e-06 -1.025833e-07 -5.315336e-09 -1.507851e-04 -7.747152e-05 -8.093018e-05 -1.113742e-04
 6535.400000 -1.398427e-05 -1.201548e-06 -1.029289e-07 -5.382175e-09 -1.602161e-04 -7.668081e-05 -7.424465e-05 -1.118715e-04
 6535.600000 -1.398188e-05 -1.201819e-06 -1.028807e-07 -5.407192e-09 -1.614214e-04 -7.891185e-05 -8.619446e-05 -1.005329e-04
 6535.800000 -1.397349e-05 -1.201012e-06 -1.027158e-07 -5.427596e-09 -1.483891e-04 -8.048805e-05 -6.714597e-05 -9.972024e-05
 6536.000000 -1.394452e-05 -1.198554e-06 -1.025155e-07 -5.439700e-09 -1.548232e-04 -8.832573e-05 -8.299144e-05 -1.110523e-04
 6536.200000 -1.395568e-05 -1.199456e-06 -1.026835e-07 -5.484799e-09 -1.597437e-04 -8.643502e-05 -9.226026e-05 -1.176646e-04
 6536.400000 -1.393565e-05 -1.197864e-06 -1.025495e-07 -5.501528e-09 -1.538186e-04 -7.842081e-05 -8.476932e-05 -1.150732e-04
 6536.600000 -1.395786e-05 -1.199385e-06 -1.026802e-07 -5.566134e-09 -1.540117e-04 -8.352192e-05 -8.341590e-05 -1.126883e-04
 6536.800000 -1.394618e-05 -1.197590e-06 -1.025297e-07 -5.635983e-09 -1.483227e-04 -8.165912e-05 -8.315380e-05 -1.153759e-04
 6537.000000 -1.391886e-05 -1.195232e-06 -1.023445e-07 -5.664742e-09 -1.483192e-04 -8.233962e-05 -8.088923e-05 -1.151784e-04
 6537.200000 -1.392310e-05 -1.194659e-06 -1.022678e-07 -5.732798e-09 -1.393525e-04 -8.423234e-05 -7.301802e-05 -1.101760e-04
 6537.400000 -1.389624e-05 -1.191777e-06 -1.021130e-07 -5.849867e-09 -1.486269e-04 -8.631631e-05 -7.687132e-05 -1.070115e-04
 6537.600000 -1.392354e-05 -1.193719e-06 -1.022561e-07 -6.001398e-09 -1.526555e-04 -8.364658e-05 -8.198940e-05 -1.070045e-04
 6537.800000 -1.388481e-05 -1.189246e-06 -1.018501e-07 -6.169815e-09 -1.486722e-04 -8.549882e-05 -6.558693e-05 -1.158120e-04
 6538.000000 -1.393470e-05 -1.191391e-06 -1.020386e-07 -6.392303e-09 -1.567561e-04 -7.665458e-05 -7.727954e-05 -1.169002e-04
 6538.200000 -1.392417e-05 -1.187872e-06 -1.017848e-07 -6.727611e-09 -1.455329e-04 -7.242841e-05 -8.889432e-05 -1.166076e-04
 6538.400000 -1.394354e-05 -1.184875e-06 -1.015150e-07 -7.167202e-09 -1.395761e-04 -8.107266e-05 -8.233012e-05 -1.078480e-04
 6538.600000 -1.393951e-05 -1.179746e-06 -1.011372e-07 -7.704420e-09 -1.311726e-04 -1.025273e-04 -9.306763e-05 -1.206701e-04
 6538.800000 -1.394291e-05 -1.173986e-06 -1.006972e-07 -8.230579e-09 -1.274545e-04 -1.037404e-04 -8.341025e-05 -1.122942e-04
