# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.3545759712418
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.729750750499996
# ISS.sample_y_position: 13.896036572
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:22:56
# Scan.end_time: 02/21/2022  13:23:19
# Scan.duration: 00:23
# Scan.transient_id: 196863
# Scan.uid: 5e0619f5-29a5-4d42-89f2-085dfc39f2bf
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.568642e-05 -2.883757e-06 -4.550862e-07 -1.231609e-07 -8.365970e-05 -5.417324e-05 -5.715729e-05 -7.118715e-05
 7614.000000 -2.314119e-05 -4.268871e-06 -6.747362e-07 -1.820817e-07 -1.252907e-04 -7.676211e-05 -7.695271e-05 -1.115097e-04
 7619.000000 -2.325894e-05 -4.311286e-06 -6.826820e-07 -1.835910e-07 -1.261226e-04 -7.873327e-05 -7.247856e-05 -1.149032e-04
 7624.000000 -2.339946e-05 -4.358784e-06 -6.914742e-07 -1.852717e-07 -1.252827e-04 -7.615667e-05 -8.312618e-05 -1.142242e-04
 7629.000000 -2.342665e-05 -4.383737e-06 -6.967531e-07 -1.860973e-07 -1.256685e-04 -8.443924e-05 -8.131269e-05 -1.227517e-04
 7634.000000 -2.346394e-05 -4.410654e-06 -7.024564e-07 -1.869513e-07 -1.251577e-04 -7.503746e-05 -9.544286e-05 -1.258203e-04
 7639.000000 -2.350130e-05 -4.437862e-06 -7.081468e-07 -1.878294e-07 -1.230208e-04 -7.832144e-05 -9.931081e-05 -1.276973e-04
 7644.000000 -2.343217e-05 -4.444373e-06 -7.105310e-07 -1.878243e-07 -1.285213e-04 -7.797423e-05 -9.550071e-05 -1.195271e-04
 7649.000000 -2.352490e-05 -4.483380e-06 -7.179426e-07 -1.891372e-07 -1.216143e-04 -7.396264e-05 -8.159153e-05 -1.202283e-04
 7654.000000 -2.346627e-05 -4.491399e-06 -7.204798e-07 -1.892405e-07 -1.116088e-04 -7.910292e-05 -7.828131e-05 -1.172160e-04
 7659.000000 -2.352204e-05 -4.522601e-06 -7.267701e-07 -1.903432e-07 -1.107430e-04 -7.857528e-05 -7.837843e-05 -1.187025e-04
 7664.000000 -2.362662e-05 -4.563701e-06 -7.345373e-07 -1.918604e-07 -1.217389e-04 -7.341356e-05 -8.877429e-05 -1.213069e-04
 7669.000000 -2.371700e-05 -4.602326e-06 -7.418805e-07 -1.932638e-07 -1.165884e-04 -7.822523e-05 -9.231943e-05 -1.145294e-04
 7674.000000 -2.371713e-05 -4.622073e-06 -7.461552e-07 -1.940030e-07 -1.164220e-04 -7.708027e-05 -8.759672e-05 -1.110733e-04
 7679.000000 -2.364426e-05 -4.626643e-06 -7.478719e-07 -1.941246e-07 -1.302948e-04 -7.056018e-05 -8.483020e-05 -1.060039e-04
 7683.000000 -2.372756e-05 -4.659890e-06 -7.537208e-07 -1.954705e-07 -1.448693e-04 -7.291554e-05 -7.688772e-05 -9.596971e-05
 7686.000000 -2.367154e-05 -4.659677e-06 -7.540353e-07 -1.955005e-07 -1.446996e-04 -7.306463e-05 -7.656082e-05 -7.575739e-05
 7688.000000 -2.374896e-05 -4.683279e-06 -7.580205e-07 -1.964989e-07 -1.415684e-04 -7.229253e-05 -8.027465e-05 -6.778091e-05
 7689.000000 -2.371543e-05 -4.680619e-06 -7.574848e-07 -1.963403e-07 -1.479443e-04 -6.803695e-05 -7.064404e-05 -7.049470e-05
 7689.200000 -2.373508e-05 -4.685068e-06 -7.581265e-07 -1.964218e-07 -1.460014e-04 -7.267321e-05 -7.348108e-05 -8.035991e-05
 7689.400000 -2.371467e-05 -4.681295e-06 -7.576553e-07 -1.965133e-07 -1.442781e-04 -7.070414e-05 -7.317990e-05 -8.179051e-05
 7689.600000 -2.364599e-05 -4.668068e-06 -7.555761e-07 -1.958724e-07 -1.420154e-04 -7.812499e-05 -7.164183e-05 -7.960741e-05
 7689.800000 -2.357875e-05 -4.654376e-06 -7.534311e-07 -1.953073e-07 -1.473811e-04 -7.895742e-05 -8.451848e-05 -8.894844e-05
 7690.000000 -2.363115e-05 -4.666598e-06 -7.554259e-07 -1.959466e-07 -1.496894e-04 -7.978850e-05 -8.565012e-05 -7.965376e-05
 7690.200000 -2.364166e-05 -4.669788e-06 -7.558828e-07 -1.960803e-07 -1.499227e-04 -7.368020e-05 -8.493689e-05 -6.893002e-05
 7690.400000 -2.374047e-05 -4.691017e-06 -7.592969e-07 -1.969057e-07 -1.461111e-04 -7.595193e-05 -8.719442e-05 -6.917345e-05
 7690.600000 -2.367574e-05 -4.678605e-06 -7.571912e-07 -1.963864e-07 -1.483285e-04 -6.826960e-05 -7.675744e-05 -6.580725e-05
 7690.800000 -2.370427e-05 -4.684841e-06 -7.582776e-07 -1.968301e-07 -1.473059e-04 -6.304838e-05 -7.620108e-05 -7.215671e-05
 7691.000000 -2.372265e-05 -4.688390e-06 -7.588159e-07 -1.968185e-07 -1.407107e-04 -6.840060e-05 -7.285315e-05 -6.388809e-05
 7691.200000 -2.375084e-05 -4.696283e-06 -7.599076e-07 -1.972271e-07 -1.400351e-04 -6.051313e-05 -6.968562e-05 -6.139835e-05
 7691.400000 -2.377836e-05 -4.702352e-06 -7.610804e-07 -1.974678e-07 -1.456289e-04 -6.342905e-05 -7.415908e-05 -7.279409e-05
 7691.600000 -2.378661e-05 -4.704918e-06 -7.614497e-07 -1.975636e-07 -1.405804e-04 -7.005981e-05 -7.723916e-05 -7.721678e-05
 7691.800000 -2.379483e-05 -4.706925e-06 -7.617963e-07 -1.976963e-07 -1.335601e-04 -7.416257e-05 -7.427671e-05 -6.208281e-05
