# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.41288775458446
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.72969353
# ISS.sample_y_position: 13.895998425
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:34:01
# Scan.end_time: 02/21/2022  13:34:24
# Scan.duration: 00:22
# Scan.transient_id: 196883
# Scan.uid: ae8ff531-3ac2-40d8-b2b4-648e4a8e7e41
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.807176e-05 -4.433228e-06 -2.653936e-07 -2.630259e-07 -8.937266e-05 -4.264518e-05 -5.930562e-05 -3.106441e-05
 8238.000000 -2.607752e-05 -6.414941e-06 -3.845566e-07 -3.790146e-07 -1.251426e-04 -6.230021e-05 -9.497015e-05 -4.692203e-05
 8243.000000 -2.615880e-05 -6.458415e-06 -3.875732e-07 -3.798252e-07 -1.255579e-04 -6.346836e-05 -9.866886e-05 -4.909517e-05
 8248.000000 -2.620442e-05 -6.494634e-06 -3.898369e-07 -3.798257e-07 -1.243059e-04 -7.217766e-05 -8.359993e-05 -5.390999e-05
 8253.000000 -2.617572e-05 -6.511087e-06 -3.906960e-07 -3.798268e-07 -1.231840e-04 -8.104164e-05 -8.587479e-05 -4.842881e-05
 8258.000000 -2.618046e-05 -6.537666e-06 -3.920831e-07 -3.798272e-07 -1.228815e-04 -7.365377e-05 -9.020847e-05 -4.697187e-05
 8263.000000 -2.620381e-05 -6.568838e-06 -3.941355e-07 -3.798270e-07 -1.319420e-04 -7.769357e-05 -1.000182e-04 -5.139137e-05
 8268.000000 -2.623797e-05 -6.602829e-06 -3.970189e-07 -3.798270e-07 -1.360311e-04 -7.418504e-05 -1.042022e-04 -4.953195e-05
 8273.000000 -2.620024e-05 -6.617397e-06 -3.993761e-07 -3.798275e-07 -1.327721e-04 -7.340213e-05 -1.111085e-04 -5.508094e-05
 8278.000000 -2.617490e-05 -6.634735e-06 -4.023400e-07 -3.798263e-07 -1.376871e-04 -6.741536e-05 -1.072172e-04 -6.045811e-05
 8283.000000 -2.631807e-05 -6.696125e-06 -4.081666e-07 -3.798266e-07 -1.279806e-04 -7.056160e-05 -1.156963e-04 -6.101529e-05
