# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 401.0416935482551
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.729750750499996
# ISS.sample_y_position: 13.8959793515
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:11:33
# Scan.end_time: 02/21/2022  13:11:59
# Scan.duration: 00:26
# Scan.transient_id: 196843
# Scan.uid: 6b8aa124-fd2b-41e1-abeb-6189cfda09e2
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.502469e-06 -6.399165e-07 -5.086155e-08 -2.334795e-09 -8.739383e-05 -5.187968e-05 -3.960739e-05 -5.899062e-05
 6444.000000 -1.292320e-05 -9.787478e-07 -7.798737e-08 -3.578901e-09 -1.233731e-04 -7.979734e-05 -5.920800e-05 -9.857537e-05
 6449.000000 -1.300211e-05 -9.919303e-07 -7.933014e-08 -3.623342e-09 -1.186132e-04 -7.373222e-05 -5.684327e-05 -1.062378e-04
 6454.000000 -1.299922e-05 -9.986324e-07 -8.023088e-08 -3.657999e-09 -1.201829e-04 -7.325014e-05 -5.819996e-05 -1.040629e-04
 6459.000000 -1.310619e-05 -1.014761e-06 -8.180153e-08 -3.726550e-09 -1.199622e-04 -7.222100e-05 -7.702695e-05 -1.115472e-04
 6464.000000 -1.317377e-05 -1.027735e-06 -8.320334e-08 -3.786036e-09 -1.104041e-04 -7.114469e-05 -8.402875e-05 -1.029441e-04
 6469.000000 -1.321203e-05 -1.038111e-06 -8.436636e-08 -3.837137e-09 -1.123696e-04 -6.005215e-05 -8.125939e-05 -9.356737e-05
 6474.000000 -1.329825e-05 -1.052576e-06 -8.583979e-08 -3.906383e-09 -1.202938e-04 -5.502790e-05 -8.048011e-05 -9.493561e-05
 6479.000000 -1.336448e-05 -1.065345e-06 -8.721840e-08 -3.961848e-09 -1.267781e-04 -6.667102e-05 -8.891728e-05 -9.677397e-05
 6484.000000 -1.342975e-05 -1.078235e-06 -8.861962e-08 -4.024511e-09 -1.249576e-04 -7.611306e-05 -8.146700e-05 -8.768168e-05
 6489.000000 -1.347891e-05 -1.089559e-06 -8.995719e-08 -4.097902e-09 -1.178652e-04 -7.305110e-05 -8.291854e-05 -9.144632e-05
